Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Ke Pemasok/Untuk Pembiayaan Piutang,Pembayaran Kas Untuk Biaya Operasi,Penerimaan Pendapatan Bunga,Penerimaan Kas Atas Restitusi Pajak,Pembayaran Untuk Beban Bunga Dan Biaya Finansial Lainnya,Pembayaran Beban Pajak,Penerimaan Dari Operasi Lainnya-Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Hasil Penjualan Investasi,Penerimaan Setoran Modal Dari Kepentingan Non-Pengendali,Penerimaan Hasil Penjualan Aset Tetap,Perolehan Aset Hak Guna,Uang Jaminan Atas Tanah,Perolehan Aset Tak Berwujud,Penambahan Piutang Pihak Berelasi,Penerimaan Hasil Penjualan Saham Di Entitas Anak Ke Kepentingan Non Pengendali,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Entitas Anak Yang Diakuisisi",Penjualan (Pembelian) Portfolio Efek,Kas Diperoleh Dari Entitas Anak - Neto Harga Perolehan,Penerimaan Pendapatan Bunga,Penambahan Investasi Jangka Pendek,Penerimaan Dari Investasi Jangka Pendek,Penambahan Investasi Saham,Perolehan Aset Tetap,Perolehan Saham Entitas Anak Dari Pihak Ketiga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penerimaan Dari Penambahan Modal Saham,Penerimaan Utang Dari Pihak Berelasi,Uang Muka Setoran Modal,Penerimaan Setoran Modal Dari Kepentingan Non Pengendali,Pembayaran Wesel Jangka Menengah,Penerimaan Penerbitan Obligasi,Peningkatan Modal Melalui Hak Memesan Efek Terlebih Dahulu,Penerimaan Utang Jangka Pendek - Non Bank,Pembayaran Utang Bank,Pembayaran Obligasi,Pembayaran Biaya Emisi Saham,Pembayaran Beban Emisi Obligasi,Penerimaan Bunga Dari Pinjaman Pada Pihak Berelasi,Pembayaran Dividen Kas:,Pemilik Entitas Induk,Entitas Anak,Total Pembayaran Dividen Kas:,Pembayaran Beban Bungan Dan Pembiayaan,Pembayaran Liabilitas Sewa,Pembayaran Dari Aktivitas Pendanaan Lainnya-Neto,Pembayaran Utang Ke Pihak Berelasi,Pembayaran Dari Bank-Bank Sehubungan Dengan Transaksi Refinancing Dan Pembiayaan Bersama,Penerimaan Dari Bank-Bank Sehubungan Dengan Transaksi Refinancing Dan Pembiayaan Bersama,Penerimaan Dari Aktivitas Pendanaan Lainnya-Neto,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Donsolidasi Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2012,-670435530287.000000,2083284268539.000000,-2136748100530.000000,-310559922991.000000,,,-363584108846.000000,-37344435667.000000,94516769208.000000,-670435530287.000000,-424181735742.000000,38250260880.000000,,6973828228.000000,,,,,,,,,,,,,-446585824850.000000,-22820000000.000000,-424181735742.000000,1024539719762.000000,2426237313092.000000,50000000000.000000,,,,,1300000000000.000000,,,-2480970548918.000000,-279000000000.000000,,-5258768386.000000,,,,-5000000000.000000,-5000000000.000000,,,-160755712615.000000,,,,179287436589.000000,1024539719762.000000,-70077546267.000000,320230562500.000000,,660831246.000000,250813847479.000000
12M 2013,-1699774521528.000000,4151787708927.000000,-5303888178812.000000,-340232842107.000000,,,-340637871612.000000,-28666290467.000000,161862952543.000000,-1699774521528.000000,-1287638369858.000000,54379195888.000000,,2200288001.000000,,,,,,,,,,,,-770776066857.000000,-573441786890.000000,,-1287638369858.000000,2936277251910.000000,5575773820696.000000,999100000000.000000,,,,,822000000000.000000,,,-3957717922289.000000,-319000000000.000000,-15676656952.000000,-3122025977.000000,,,,-25000000000.000000,-25000000000.000000,,,-150324169051.000000,,,,10244205483.000000,2936277251910.000000,-51135639476.000000,250813847477.000000,,5312828826.000000,204991036827.000000
12M 2014,-493846370774.000000,4827137382539.000000,-5419606195798.000000,-47819478148.000000,10367956589.000000,7941222825.000000,-134867432704.000000,-29825165469.000000,292825339392.000000,-493846370774.000000,-483753867892.000000,,,5830995499.000000,,,,,,1488921041.000000,,,,,,-120000000000.000000,-371073784432.000000,,-483753867892.000000,950487548554.000000,7179913521791.000000,,218000000000.000000,,112000000000.000000,-253599800000.000000,440000000000.000000,,,-6151768134904.000000,-560000000000.000000,,-1595573680.000000,,,-24220000000.000000,-24975000.000000,-24244975000.000000,,,-56254728950.000000,,,,48037239297.000000,950487548554.000000,-27112690112.000000,204991036827.000000,,649566644.000000,178527913359.000000
12M 2015,-388548116450.000000,5684486102175.000000,-6092005616002.000000,-67441718590.000000,8846791641.000000,33186348461.000000,-129402087094.000000,-91691219895.000000,265473282854.000000,-388548116450.000000,-566758755779.000000,,,10499600055.000000,,,,,,,,,,,,-105000000000.000000,-472258355834.000000,,-566758755779.000000,1158052168497.000000,12956027132621.000000,,52000000000.000000,,62000000.000000,,1090000000000.000000,,,-11729903401987.000000,-1139000000000.000000,,-6049594242.000000,,,-25085000000.000000,-51250000.000000,-25136250000.000000,,,-42472266943.000000,,,,2524549048.000000,1158052168497.000000,202745296268.000000,178527913359.000000,,72297790.000000,381345507417.000000
12M 2016,-280814229990.000000,7452582036360.000000,-7182005778064.000000,-610688812959.000000,30195473722.000000,4741723849.000000,-141590749830.000000,-142112297772.000000,308064174704.000000,-280814229990.000000,-678463075534.000000,,,7605510294.000000,,,,,,,,,,,,-134780300500.000000,-551288285328.000000,,-678463075534.000000,1204291945864.000000,9286928127492.000000,,335000000000.000000,,36801000000.000000,,1500000000000.000000,,,-8444421776043.000000,-1284500000000.000000,,-4636898498.000000,,,,-10000000.000000,-10000000.000000,,,-868507087.000000,-220000000000.000000,,,,1204291945864.000000,245014640340.000000,381345507417.000000,,-11849495850.000000,614510651907.000000
12M 2017,-618632856332.000000,6977101007793.000000,-6344741515516.000000,-484518848410.000000,,,-909468795756.000000,-76422620029.000000,219417915586.000000,-618632856332.000000,-862975522799.000000,75000000000.000000,,77647005600.000000,,,,,,,,,,,,-37000000000.000000,-978622528399.000000,,-862975522799.000000,1225535233352.000000,15276929593449.000000,,1250000000.000000,,,,910000000000.000000,346000000000.000000,,-13790882052367.000000,-1117000000000.000000,,-9362593116.000000,,,-6920000000.000000,-18800000.000000,-6938800000.000000,,,-990229564.000000,-384750000000.000000,,,1279314950.000000,1225535233352.000000,-256073145779.000000,614510651907.000000,,906742097.000000,359344248225.000000
12M 2018,-2151241507830.000000,8579175706051.000000,-9224151740447.000000,-574175865078.000000,,,-1149542300337.000000,-75637797784.000000,293090489765.000000,-2151241507830.000000,-2561717424630.000000,,,8093032235.000000,,,,,22616511000.000000,,,,,-419449757794.000000,,-80000000000.000000,-2092977210071.000000,,-2561717424630.000000,4691336877831.000000,23422337632320.000000,,100000000000.000000,,52758975000.000000,,2082000000000.000000,,,-20493570272013.000000,-872000000000.000000,,-6684133697.000000,,,-6020400000.000000,-15500000.000000,-6035900000.000000,,,-138993431335.000000,-24000000000.000000,,,575524007556.000000,4691336877831.000000,-21622054629.000000,359344248225.000000,,1649260123.000000,339371453719.000000
12M 2019,-819053035332.000000,11551355241244.000000,-10799681558434.000000,-669195760539.000000,,,-1046686542016.000000,-77107767325.000000,222263351738.000000,-819053035332.000000,-3625754506533.000000,,,5751318528.000000,,,,,,,,,,419449757794.000000,,-80000000000.000000,-3970955582855.000000,,-3625754506533.000000,4715325907634.000000,28057822131577.000000,,70000000000.000000,,125937000000.000000,,,526785000000.000000,,-21680214869611.000000,-2044500000000.000000,,-3285000000.000000,,,-5769550000.000000,-12900000.000000,-5782450000.000000,,,-321912211615.000000,-100000000000.000000,,,90476307283.000000,4715325907634.000000,270518365769.000000,339371453719.000000,,-3899359921.000000,605990459567.000000
12M 2020,3704182419689.000000,10900926441145.000000,-5752417782648.000000,-608673575898.000000,,,-1071670731212.000000,-79837924301.000000,315855992603.000000,3704182419689.000000,-1501794455511.000000,,,6800617064.000000,-16666049536.000000,-512000000000.000000,-62908109.000000,,,,,,,,,-40000000000.000000,-939866114930.000000,,-1501794455511.000000,-1446874148647.000000,15244616805029.000000,,147000000000.000000,,136000000.000000,,336000000000.000000,663498250000.000000,,-16361871361252.000000,-665000000000.000000,,-4404725578.000000,1937500000.000000,,,-34500000.000000,-34500000.000000,-551546984814.000000,-29982002844.000000,-168522405954.000000,-70000000000.000000,,,11299276766.000000,-1446874148647.000000,755513815531.000000,605990459567.000000,,103479056091.000000,1464983331189.000000
12M 2021,941184101367.000000,12589180322434.000000,-10533096172432.000000,-545335006867.000000,,,-878255805827.000000,-98780704612.000000,407471468671.000000,941184101367.000000,-929556450205.000000,,,9419523138.000000,-17730858379.000000,320900000000.000000,-22000000000.000000,,,,-6734670500.000000,393476129399.000000,,,,-380000000000.000000,-1226886573863.000000,,-929556450205.000000,115880385026.000000,31611104437859.000000,,267000000000.000000,,,,1925340000000.000000,,,-31676143059729.000000,-899000000000.000000,,-5468627520.000000,,,-2163581250.000000,-34500000.000000,-2198081250.000000,-623284742932.000000,-44270529696.000000,-39913920596.000000,-414000000000.000000,,,16714908890.000000,115880385026.000000,127508036188.000000,1464983331189.000000,,-10205981086.000000,1582285386291.000000
