Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,1347262985.33,0.00,1347262985.33,"1,303 B","2,994 B","4,297 B","4,046 B","1,115 B"
12M 2013,1.58,372.83,1.58,372.83,"2,600 B","3,870 B","6,471 B","6,266 B",640 B
12M 2014,1.78,391.83,1.78,391.83,"3,807 B","3,588 B","7,395 B","7,216 B",156 B
12M 2015,1.20,408.99,1.20,408.99,"4,614 B","3,998 B","8,612 B","8,231 B",(152 B)
12M 2016,0.72,437.45,0.72,437.45,"4,460 B","5,051 B","9,510 B","8,896 B",(77 B)
12M 2017,0.56,469.29,0.56,469.29,"5,947 B","4,878 B","10,825 B","10,466 B","(1,176 B)"
12M 2018,1.28,508.14,1.28,508.14,"8,725 B","6,869 B","15,594 B","15,255 B","(3,266 B)"
12M 2019,0.56,515.44,0.56,515.44,"8,405 B","11,863 B","20,269 B","19,663 B","(1,407 B)"
12M 2020,1.06,388.35,1.06,388.35,"8,901 B","10,263 B","19,164 B","17,699 B","(1,351 B)"
12M 2021,1.02,412.24,1.02,412.24,"9,523 B","10,324 B","19,846 B","18,264 B","(1,803 B)"
12M 2022,0.70,450.84,0.70,450.84,"12,320 B","8,862 B","21,182 B","19,116 B","(3,737 B)"
12M 2023,0.56,501.78,0.56,501.78,"9,974 B","13,120 B","23,093 B","21,423 B",(905 B)
12M 2024,0.29,522.44,0.29,522.44,"10,632 B","13,114 B","23,746 B","21,514 B","(1,231 B)"
