Period,Aset,Aset Lancar,Kas Dan Setara Kas,Portofolio Efek,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Pembiayaan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pembiayaan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,250813847477.000000,,,43962668434.000000,2103437509.000000,41859230925.000000,43962668434.000000,2169541981495.000000,7243497056.000000,2644045212.000000,4599451844.000000,7243497056.000000,20483783006.000000,,69297825309.000000,2561343602777.000000,,2076077950933.000000,,,,,54377384868.000000,23750419150.000000,941873178483.000000,,19483297114.000000,3115562230548.000000,5676905833325.000000,,,1446721437959.000000,241914569125.000000,,28741003115.000000,8621952461.000000,37362955576.000000,,19329072633.000000,42756285115.000000,62085357748.000000,31831289332.000000,3455286697.000000,20048908.000000,,660894797939.000000,316202264568.000000,30357346287.000000,,53112031297.000000,1060566440091.000000,9485490482.000000,1446721437959.000000,3017647708568.000000,12483603162.000000,,,987281565799.000000,1902981333859.000000,34730817476.000000,,69404653488.000000,2994398370622.000000,10765734784.000000,3017647708568.000000,4464369146527.000000,,900000000.000000,,-241094190.000000,,,-241094190.000000,,1211877780988.000000,1212536686798.000000,5676905833325.000000,900.000000
12M 2013,,,204991036827.000000,,,68231620918.000000,7070817064.000000,61160803854.000000,68231620918.000000,3037766220134.000000,11916982374.000000,9014128600.000000,2902853774.000000,11916982374.000000,20905701867.000000,,73095101011.000000,3416906663131.000000,,3400079651583.000000,,,,,45953041890.000000,16132651276.000000,1283037463558.000000,,138426863743.000000,4883629672050.000000,8300536335181.000000,,,2777076287012.000000,689449821503.000000,,30601335637.000000,9841399710.000000,40442735347.000000,,27964253485.000000,42132738412.000000,70096991897.000000,52675508610.000000,6286595637.000000,251528311.000000,,1320378203156.000000,557063263295.000000,12006089002.000000,,21323139912.000000,1910770695365.000000,7102410342.000000,2777076287012.000000,3910245964091.000000,26900575475.000000,798769750.000000,,1689409800493.000000,2164829079945.000000,7120306093.000000,,8117869566.000000,3869477056097.000000,13069562769.000000,3910245964091.000000,6687322251103.000000,,865000000000.000000,612485237586.000000,121291687368.000000,,,121291687368.000000,721624220.000000,13715534904.000000,1613214084078.000000,8300536335181.000000,4325000000.000000
12M 2014,,,178527913359.000000,,,59216729845.000000,16967325977.000000,42249403868.000000,59216729845.000000,4033604658912.000000,8717097118.000000,2598111880.000000,6118985238.000000,8717097118.000000,27648372764.000000,,119604107964.000000,4427318879962.000000,,3383061331558.000000,,,,,158086678760.000000,17329542576.000000,1611673828096.000000,,129828236924.000000,5299979617914.000000,9727298497876.000000,,,4271148451048.000000,856926361651.000000,,18695245066.000000,10883711833.000000,29578956899.000000,,71653944624.000000,127127578385.000000,198781523009.000000,52526739436.000000,10129542266.000000,75671243.000000,,1774445474432.000000,1136739683882.000000,7061529950.000000,,32138761916.000000,2950385450180.000000,172744206364.000000,4271148451048.000000,3647697968359.000000,44150907975.000000,1649633694.000000,,2117691315102.000000,1467395454186.000000,,,873209393.000000,3585959978681.000000,15937448009.000000,3647697968359.000000,7918846419407.000000,,865000000000.000000,612485237586.000000,221587649359.000000,500000000.000000,221087649359.000000,221587649359.000000,113774649724.000000,-4395458200.000000,1808452078469.000000,9727298497876.000000,4325000000.000000
12M 2015,,,381345507417.000000,,,67577407261.000000,19189425430.000000,48387981831.000000,67577407261.000000,4190440122623.000000,13399301505.000000,1039796029.000000,12359505476.000000,13399301505.000000,50829982705.000000,,318710877734.000000,5022303199245.000000,,3894121843481.000000,,,,,265857302518.000000,14786499305.000000,1749741868811.000000,,187844581521.000000,6112352095636.000000,11134655294881.000000,,,5174770279397.000000,1132424654991.000000,,29241009246.000000,40863089983.000000,70104099229.000000,,50185504065.000000,119692829592.000000,169878333657.000000,84284139315.000000,8556055063.000000,68975.000000,,2389769658861.000000,1092273330348.000000,,,,3482042989209.000000,227479938958.000000,5174770279397.000000,4076170658007.000000,53172981721.000000,,,2537067569326.000000,1460538883129.000000,,,,3997606452455.000000,25391223831.000000,4076170658007.000000,9250940937404.000000,,865000000000.000000,612485237586.000000,277646356249.000000,1000000000.000000,276646356249.000000,277646356249.000000,114842634619.000000,13740129023.000000,1883714357477.000000,11134655294881.000000,4325000000.000000
12M 2016,,,614510651907.000000,,,98953704246.000000,44522422460.000000,54431281786.000000,98953704246.000000,4067841073853.000000,19343895548.000000,1169745742.000000,18174149806.000000,19343895548.000000,60189735443.000000,,330703549715.000000,5191542610712.000000,,4847509362876.000000,,,,,397551698218.000000,15826867231.000000,1934034241203.000000,,82544244740.000000,7277466414268.000000,12469009024980.000000,,,5269002998880.000000,1018864232399.000000,,37352381023.000000,155991914768.000000,193344295791.000000,,74090768663.000000,6696017420.000000,80786786083.000000,108033118696.000000,9849350695.000000,,,2325546182800.000000,1114165788391.000000,,974748039.000000,,3440686719230.000000,417438495986.000000,5269002998880.000000,5154761709643.000000,70452112101.000000,19000981410.000000,,3375847653308.000000,1654801510057.000000,,1091244874.000000,,5031740408239.000000,33568207893.000000,5154761709643.000000,10423764708523.000000,,865000000000.000000,612647737586.000000,415311201130.000000,1100000000.000000,414211201130.000000,415311201130.000000,153277132512.000000,-991754771.000000,2045244316457.000000,12469009024980.000000,4325000000.000000
12M 2017,,,359344248225.000000,,,158213691508.000000,72575388035.000000,85638303473.000000,158213691508.000000,4501080124156.000000,29149407008.000000,7738578276.000000,21410828732.000000,29149407008.000000,33906870270.000000,,255193826196.000000,5336888167363.000000,,5527295523110.000000,,,,,363967586624.000000,23745171645.000000,2701487249909.000000,,58905711044.000000,8675401242332.000000,14012289409695.000000,,,6512538173572.000000,800618011667.000000,,93816882775.000000,235751448040.000000,329568330815.000000,,60915203522.000000,5720044737.000000,66635248259.000000,116615458780.000000,20570608139.000000,15499228951.000000,,4262397836283.000000,867273903150.000000,,1123452654.000000,,5130795192087.000000,32236094874.000000,6512538173572.000000,4993532041168.000000,69960435669.000000,6394912741.000000,,3176868206429.000000,1693494060727.000000,,1231625645.000000,,4871593892801.000000,45582799957.000000,4993532041168.000000,11506070214740.000000,,1003400000000.000000,822215468939.000000,602476013329.000000,1200000000.000000,601276013329.000000,602476013329.000000,151805730772.000000,-73678018085.000000,2506219194955.000000,14012289409695.000000,5017000000.000000
12M 2018,,,339371453719.000000,,,221368057939.000000,79943423523.000000,141424634416.000000,221368057939.000000,5733826942777.000000,51782775215.000000,10827946764.000000,40954828451.000000,51782775215.000000,44280029152.000000,,562700193437.000000,6953329452239.000000,,7294589923971.000000,,,,,425845002834.000000,22517900454.000000,5062236875916.000000,,242467895015.000000,13047657598190.000000,20000987050429.000000,,,10219692647961.000000,2908972585522.000000,,108068480654.000000,945971143101.000000,1054039623755.000000,,84945736580.000000,97424535613.000000,182370272193.000000,126937315544.000000,22462005219.000000,4563115440.000000,,3574472963037.000000,2040613227187.000000,,196155179991.000000,,5811241370215.000000,109106360073.000000,10219692647961.000000,7004472544515.000000,88789124496.000000,11994183084.000000,,4883935548428.000000,1730798967749.000000,,242729834347.000000,,6857464350524.000000,46224886411.000000,7004472544515.000000,17224165192476.000000,,1003400000000.000000,824775153939.000000,755031472002.000000,1300000000.000000,753731472002.000000,755031472002.000000,227508279559.000000,-33893047547.000000,2776821857953.000000,20000987050429.000000,5017000000.000000
12M 2019,,,605990459567.000000,,,266301427726.000000,82017170389.000000,184284257337.000000,266301427726.000000,6188618783517.000000,352653799365.000000,35893537373.000000,316760261992.000000,352653799365.000000,54448396908.000000,,120250421200.000000,7588263288283.000000,,8392712251935.000000,20897875356.000000,,20897875356.000000,20897875356.000000,508485089260.000000,113127963837.000000,7601630973344.000000,,71022890713.000000,16707877044445.000000,24296140332728.000000,,,8994809317527.000000,2171619732294.000000,,99633971329.000000,65830589470.000000,165464560799.000000,,76396719682.000000,36796504093.000000,113193223775.000000,205634834850.000000,26011032992.000000,3049929027.000000,,5435464600577.000000,663485185705.000000,,131666325905.000000,,6230616112187.000000,79219891603.000000,8994809317527.000000,12019422704702.000000,104126975129.000000,427523669588.000000,,10292583775884.000000,1066841519844.000000,,76464684101.000000,,11435889979829.000000,51882080156.000000,12019422704702.000000,21014232022229.000000,,1153910000000.000000,1198197113939.000000,825815889204.000000,1400000000.000000,824415889204.000000,825815889204.000000,308048652860.000000,-204063345504.000000,3281908310499.000000,24296140332728.000000,5769550000.000000
12M 2020,,,1464744192381.000000,,,297221458705.000000,113917978380.000000,183303480325.000000,297221458705.000000,5932226419406.000000,411721478893.000000,8889006853.000000,402832472040.000000,411721478893.000000,82300449809.000000,,80433780568.000000,8268647779762.000000,,5872454650405.000000,24120208422.000000,,24120208422.000000,24120208422.000000,552387893152.000000,157835043733.000000,8197218014829.000000,,567215741855.000000,15371231552396.000000,23639879332158.000000,,,9619428981410.000000,2050538000000.000000,,166578229616.000000,66839690672.000000,233417920288.000000,,69314127385.000000,32891675915.000000,102205803300.000000,214203789509.000000,12158878096.000000,24170004554.000000,,5856450813935.000000,896318585982.000000,,73401892874.000000,,6826171292791.000000,156563292872.000000,9619428981410.000000,10416082482762.000000,74867781386.000000,711376377287.000000,,9002895237144.000000,504100429001.000000,,44821971834.000000,,9551817637979.000000,78020686110.000000,10416082482762.000000,20035511464172.000000,,1730865000000.000000,1282241894734.000000,655730557198.000000,1500000000.000000,654230557198.000000,655730557198.000000,243437913229.000000,-307907497175.000000,3604367867986.000000,23639879332158.000000,8654325000.000000
12M 2021,,,1582013234112.000000,7442670500.000000,,304527339066.000000,128001479535.000000,176525859531.000000,304527339066.000000,6368078264146.000000,189410915018.000000,2602609089.000000,186808305929.000000,189410915018.000000,50435306606.000000,,120547702347.000000,8622455431795.000000,,6070411288888.000000,107802154685.000000,,107802154685.000000,107802154685.000000,503073347939.000000,156623949250.000000,8976667999601.000000,,278360154370.000000,16092938894733.000000,24715394326528.000000,,,10425774038841.000000,2431812500000.000000,,344027733455.000000,143333051516.000000,487360784971.000000,,110566582787.000000,16500007484.000000,127066590271.000000,263065861267.000000,14762688817.000000,50227512035.000000,,5533619796970.000000,1460488189263.000000,,46580791845.000000,,7040688778078.000000,10789323402.000000,10425774038841.000000,10479503159956.000000,106874948633.000000,304432996951.000000,,9032379736703.000000,963547394722.000000,,23316091599.000000,,10019243223024.000000,48951991348.000000,10479503159956.000000,20905277198797.000000,,1730865000000.000000,1282241894734.000000,647436023251.000000,1600000000.000000,645836023251.000000,647436023251.000000,242431954607.000000,-92857744861.000000,3810117127731.000000,24715394326528.000000,8654325000.000000
