Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,999232949734.000000,-442302138467.000000,556930811267.000000,,556930811267.000000,-93418813836.000000,-93418813836.000000,-93418813836.000000,463511997431.000000,972278457.000000,-23755326196.000000,24727604653.000000,972278457.000000,464484275888.000000,-98921197830.000000,-85743125.000000,130562028.000000,-98966016733.000000,-98921197830.000000,365563078058.000000,,365563078058.000000,,365563078058.000000,365563078058.000000,365561786978.000000,1291080.000000,365563078058.000000,365563078058.000000,365561786978.000000,1291080.000000,365563078058.000000
12M 2014,1154895387803.000000,-513486151740.000000,641409236063.000000,,641409236063.000000,-115204855996.000000,-115204855996.000000,-115204855996.000000,526204380067.000000,24957305285.000000,-21534592044.000000,46491897329.000000,24957305285.000000,551161685352.000000,-113696691531.000000,-140292375.000000,48961466.000000,-113605360622.000000,-113696691531.000000,437464993821.000000,,437464993821.000000,,437464993821.000000,437464993821.000000,437465400305.000000,-406484.000000,437464993821.000000,437464993821.000000,437465400305.000000,-406484.000000,437464993821.000000
12M 2015,2094490911234.000000,-1006671321769.000000,1087819589465.000000,,1087819589465.000000,-142190305200.000000,-142190305200.000000,-142190305200.000000,945629284265.000000,109645019762.000000,-16657462254.000000,126302482016.000000,109645019762.000000,1055274304027.000000,-165645438295.000000,-696356750.000000,65396431.000000,-165014477976.000000,-165645438295.000000,889628865732.000000,,889628865732.000000,,894443457732.000000,889628865732.000000,889629216567.000000,-350835.000000,889628865732.000000,894443457732.000000,894443808567.000000,-350835.000000,894443457732.000000
12M 2016,2564831067149.000000,-1115507380190.000000,1449323686959.000000,,1449323686959.000000,-162884133491.000000,-162884133491.000000,-162884133491.000000,1286439553468.000000,105795432586.000000,-10959149016.000000,116754581602.000000,105795432586.000000,1392234986054.000000,-192861238466.000000,-480033000.000000,53911468.000000,-192435116934.000000,-192861238466.000000,1199373747588.000000,,1199373747588.000000,,1191768267588.000000,1199373747588.000000,1199373904622.000000,-157034.000000,1199373747588.000000,1191768267588.000000,1191768424622.000000,-157034.000000,1191768267588.000000
12M 2017,2541602115027.000000,-1112888900664.000000,1428713214363.000000,,1428713214363.000000,-169605904504.000000,-169605904504.000000,-169605904504.000000,1259107309859.000000,95580989450.000000,-5147056328.000000,100728045778.000000,95580989450.000000,1354688299309.000000,-161048475416.000000,-154432250.000000,64049916.000000,-160958093082.000000,-161048475416.000000,1193639823893.000000,,1193639823893.000000,,1186586955893.000000,1193639823893.000000,1193640010172.000000,-186279.000000,1193639823893.000000,1186586955893.000000,1186587142172.000000,-186279.000000,1186586955893.000000
12M 2018,2217086119506.000000,-977862414267.000000,1239223705239.000000,,1239223705239.000000,-176053281542.000000,-176053281542.000000,-176053281542.000000,1063170423697.000000,103520301186.000000,-2571937010.000000,106092238196.000000,103520301186.000000,1166690724883.000000,-148131188064.000000,-163196625.000000,8786207250.000000,-156754198689.000000,-148131188064.000000,1018559536819.000000,,1018559536819.000000,,1029941012819.000000,1018559536819.000000,1018586218367.000000,-26681548.000000,1018559536819.000000,1029941012819.000000,1029967694367.000000,-26681548.000000,1029941012819.000000
12M 2019,1872934497082.000000,-986556008341.000000,886378488741.000000,,886378488741.000000,-165205811520.000000,-165205811520.000000,-165205811520.000000,721172677221.000000,-1948549948.000000,-60903651929.000000,58955101981.000000,-1948549948.000000,719224127273.000000,-104584735114.000000,-2944362000.000000,48260659135.000000,-149901032249.000000,-104584735114.000000,614639392159.000000,,614639392159.000000,,621821417159.000000,614639392159.000000,614784427703.000000,-145035544.000000,614639392159.000000,621821417159.000000,621966452703.000000,-145035544.000000,621821417159.000000
12M 2020,1219793949348.000000,-772657595134.000000,447136354214.000000,,447136354214.000000,-158411906362.000000,-158411906362.000000,-158411906362.000000,288724447852.000000,11888570785.000000,-43155615147.000000,55044185932.000000,11888570785.000000,300613018637.000000,-69499101794.000000,-85866440.000000,36078629022.000000,-105491864376.000000,-69499101794.000000,231113916843.000000,,231113916843.000000,,255489707843.000000,231113916843.000000,231273751285.000000,-159834442.000000,231113916843.000000,255489707843.000000,255649542285.000000,-159834442.000000,255489707843.000000
12M 2021,1318001428423.000000,-813046724903.000000,504954703520.000000,,504954703520.000000,-108372465095.000000,-108372465095.000000,-108372465095.000000,396582238425.000000,15996261626.000000,-41431996510.000000,57428258136.000000,15996261626.000000,412578500051.000000,-87908780841.000000,-698819880.000000,23436300613.000000,-110646261574.000000,-87908780841.000000,324669719210.000000,,324669719210.000000,,329547326210.000000,324669719210.000000,324752617186.000000,-82897976.000000,324669719210.000000,329547326210.000000,329630224186.000000,-82897976.000000,329547326210.000000
12M 2022,1950931780269.000000,-1014786845629.000000,936144934640.000000,,936144934640.000000,-135836982948.000000,-135836982948.000000,-135836982948.000000,800307951692.000000,54614530328.000000,-32748825245.000000,87363355573.000000,54614530328.000000,854922482020.000000,-153586750735.000000,-1257379750.000000,6851691415.000000,-159181062400.000000,-153586750735.000000,701335731285.000000,,701335731285.000000,,704218283285.000000,701335731285.000000,701360125804.000000,-24394519.000000,701335731285.000000,704218283285.000000,704242677804.000000,-24394519.000000,704218283285.000000
