Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Pembayaran Kepada Direksi Dan Karyawan,Pembayaran Beban Bungan Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembebasan Tanah,Perolehan Aset Real Estat,Hasil Penjualan Aset Tetap,Penurunan Hutang Pihak Berelasi,Pembayaran Utang Atas Pembelian Aset Tetap,Penerimaan Dividen Bersih,Perolehan Investasi Dalam Saham,Penempatan Investasi Dalam Bentuk Saham,Penurunan (Peningkatan) Piutang (Utang) Kepada Pihak Yang Mempunyai Hubungan Istimewa,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank,Penambahan Investasi,Pembayaran Dividen,Penambahan Pinjaman Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Rekening Yang Dibatasi Penggunaannya,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,517490249474.000000,1083334154523.000000,-325315030239.000000,-113103577198.000000,-23494734436.000000,-103930563176.000000,517490249474.000000,-463230728418.000000,-349840459549.000000,-110947699394.000000,,135122066.000000,,-10499385193.000000,598500000.000000,,,,7323193652.000000,-463230728418.000000,-175480413621.000000,-50167832168.000000,75000000.000000,-156452010000.000000,31064428547.000000,-175480413621.000000,-121220892565.000000,234584159078.000000,-1588688060.000000,3863536688.000000,115638115141.000000
12M 2014,1245051970651.000000,2322687416990.000000,-758021744526.000000,-131137934014.000000,-21548651661.000000,-166927116138.000000,1245051970651.000000,-374140253246.000000,-311370172547.000000,-85571695392.000000,,7926137.000000,,-8558975181.000000,770000000.000000,,,,30582663737.000000,-374140253246.000000,-114113924116.000000,-81212260714.000000,,-194379770000.000000,161478106598.000000,-114113924116.000000,756797793289.000000,115638115141.000000,-153846573.000000,9126364581.000000,881408426438.000000
12M 2015,1516474095392.000000,2680757668826.000000,-802810139041.000000,-151231214554.000000,-16793645032.000000,-193448574807.000000,1516474095392.000000,-426450884319.000000,-294217839810.000000,-53109551846.000000,,306834300.000000,,-5208460155.000000,936470588.000000,-150000000000.000000,,,74841662604.000000,-426450884319.000000,-122090844465.000000,-171649148604.000000,,-212110997800.000000,261669301939.000000,-122090844465.000000,967932366608.000000,881408426438.000000,-4611066724.000000,26982093723.000000,1871711820045.000000
12M 2016,827687677023.000000,2339953092480.000000,-1159520963755.000000,-160252641923.000000,-11143097734.000000,-181348712045.000000,827687677023.000000,-469943048449.000000,-511758103797.000000,-61720700735.000000,,74367700.000000,,-8559868276.000000,798000000.000000,,,,111223256659.000000,-469943048449.000000,-101751499956.000000,-252712797379.000000,,-310059438000.000000,461020735423.000000,-101751499956.000000,255993128618.000000,1871711820045.000000,-10718905718.000000,-4344567115.000000,2112641475830.000000
12M 2017,494278964207.000000,1767013203500.000000,-948773841148.000000,-176227512950.000000,-5292882396.000000,-142440002799.000000,494278964207.000000,-517999055393.000000,-520792720827.000000,-76155598573.000000,,4545455.000000,,-19025568042.000000,770000000.000000,-1300000000.000000,,,98500286594.000000,-517999055393.000000,-197150871804.000000,-256403232381.000000,,-349883586000.000000,409135946577.000000,-197150871804.000000,-220870962990.000000,2112641475830.000000,-19281502332.000000,2767128787.000000,1875256139295.000000
12M 2018,773917401605.000000,1769102174615.000000,-650490741443.000000,-197284351929.000000,-874173120.000000,-146535506518.000000,773917401605.000000,-929816982201.000000,-890812243858.000000,-86870271444.000000,,221000000.000000,,-23686176551.000000,937058824.000000,-400000000.000000,,,70793650828.000000,-929816982201.000000,-419166205713.000000,-163890941131.000000,,-349883586000.000000,94608321418.000000,-419166205713.000000,-575065786309.000000,1875256139295.000000,17674675009.000000,23119774750.000000,1340984802745.000000
12M 2019,882176701105.000000,1971763925877.000000,-636836831175.000000,-242684063605.000000,-60823431234.000000,-149242898758.000000,882176701105.000000,-925991370423.000000,-804169357647.000000,-149841170090.000000,,,,-18294269283.000000,840000000.000000,-8510000000.000000,,,53983426597.000000,-925991370423.000000,-403657711111.000000,-153919079584.000000,,-349883586000.000000,100144954473.000000,-403657711111.000000,-447472380429.000000,1340984802745.000000,-3892885961.000000,-14703883651.000000,874915652704.000000
12M 2020,406979906375.000000,1376215521125.000000,-625341104438.000000,-215318475113.000000,-29051215786.000000,-99524819413.000000,406979906375.000000,-772861908766.000000,-725737413104.000000,-45206862653.000000,,,,-20232762611.000000,684235290.000000,-14100000000.000000,,,31730894312.000000,-772861908766.000000,53654024263.000000,-117023699308.000000,,-150004290800.000000,320682014371.000000,53654024263.000000,-312227978128.000000,874915652704.000000,3909827391.000000,4731031230.000000,571328533197.000000
12M 2021,753106871434.000000,1716305966960.000000,-601633771005.000000,-201432512282.000000,-37720127994.000000,-122412684245.000000,753106871434.000000,-500780650354.000000,-404273294009.000000,-45812230653.000000,,50000000.000000,,-61601335813.000000,991529412.000000,50000000.000000,,,9814680709.000000,-500780650354.000000,-102008554625.000000,-67175393669.000000,,-100508564000.000000,65675403044.000000,-102008554625.000000,150317666455.000000,571328533197.000000,-12228030446.000000,4076375529.000000,713494544735.000000
12M 2022,1110016332485.000000,2425569963370.000000,-853863952003.000000,-243951992112.000000,-48118093933.000000,-169619592837.000000,1110016332485.000000,-248657338327.000000,-172619761699.000000,-31256400953.000000,,,,-60496415485.000000,469614117.000000,3197998894.000000,-4500000000.000000,,16547626799.000000,-248657338327.000000,-682688679250.000000,-571749981250.000000,,-110938698000.000000,,-682688679250.000000,178670314908.000000,713494544735.000000,5345429738.000000,38051568258.000000,935561857639.000000
