Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok,Direksi Dan Karyawan,Total Pembayaran Kas Kepada:,Adjustment,Penerimaan Dari Piutang Lain-Lain,Pembayaran Beban Usaha,Penerimaan (Pembayaran) Pajak,Pembayaran Beban Operasi,Kegiatan Operasi Lainnya,Arus Kas Neto Aktivitas Operasi Yang Dihentikan,Penerimaan Utang Uang Muka Penjualan,Penerimaan Bunga,Pembayaran Bunga,Lain-Lain - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Dari Investasi Jangka Pendek,Penyertaan Modal Kepentingan Non Pengendali,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Lain-Lain,Penyertaan Entitas Anak,Pelepasan Entitas Anak,Akuisisi Entitas Anak,Pembayaran Uang Muka Pembelian Tanah,Penerimaan Divestasi Entitas Anak (Apy),Pembayaran Akuisisi Entitas Anak (Bmk),Pembayaran Setoran Modal Pada Smj Dan Ess,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Pengurangan Utang Bank,Penambahan Utang Lain-Lain Pihak Ketiga,Pembayaran Utang Lain-Lain Pihak Ketiga,Penerimaan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Penerimaan (Pembayaran) Piutang Berelasi,Penerimaan Piutang Lainnya Dari Pihak Ketiga,Pemberian Pinjaman Kepada Pihak Ketiga,Pembayaran Utang Dan Bunga Pinjaman Ke Bank,Penambahan (Pembayaran) Utang Surat Berharga Yang Diterbitkan,Pembayaran Bunga Utang Surat Berharga Yang Diterbitkan,Tambahan Modal Disetor Dari Penerbitan Modal Saham,Penambahan Modal Saham,Penerimaan Atas Setoran Modal Entitas Anak Yang Menjadi Kepentingan Non Pengendali,Pembayaran Bunga Sewa Pembiayaan,Pembayaran Liabilitas Sewa Pembiayaan,Kenaikan (Penurunan) Utang Pemegang Saham,Pembayaran Bunga,Pinjaman Jangka Pendek,Penambahan (Pengurangan) Sewa Guna Usaha,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Sebelum Akuisisi,Kas Dan Setara Kas Akhir Periode
12M 2008,1018816173.000000,10243782882.000000,,,-6588931866.000000,-6588931866.000000,,,-2065068940.000000,498429394.000000,,,,,,,-1069395297.000000,1018816173.000000,-1816326.000000,-1816326.000000,,,,,,,,,,,,-1816326.000000,-915317791.000000,,-915317791.000000,,,,,,,,,,,,,,,,,,,,,-915317791.000000,101682056.000000,175748174.000000,,,277430230.000000
12M 2009,-293116246.000000,7514709559.000000,,-4861932309.000000,-1187046051.000000,-6048978360.000000,,,-974071449.000000,-964870673.000000,,,,,,,180094677.000000,-293116246.000000,,,,,,,,,,,,,,,245924115.000000,,-2346303429.000000,,,,,,,,,,,,,,,,,,2666666667.000000,-74439123.000000,,245924115.000000,-47192131.000000,277430230.000000,,,230238099.000000
12M 2010,-1494101808.000000,3047337426.000000,,-4207443106.000000,-433996128.000000,-4641439234.000000,,100000000.000000,,,,,,,,,,-1494101808.000000,,,,,,,,,,,,,,,1639927240.000000,,-7904668415.000000,,,10182043403.000000,,,,,,,,,,,,,,-637447748.000000,,,,1639927240.000000,145825432.000000,230238099.000000,,,376063531.000000
12M 2011,-1943391233.000000,2573712035.000000,,-4178347914.000000,-338755354.000000,-4517103268.000000,,,,,,,,,,,,-1943391233.000000,9764000000.000000,,,,9764000000.000000,,,,,,,,,9764000000.000000,-7998736157.000000,,,,,,-7998736157.000000,,,,,,,,,,,,,,,,,-7998736157.000000,-178127390.000000,376063531.000000,,,197936141.000000
12M 2012,-766625682.000000,1686491228.000000,,-976113225.000000,-1477003685.000000,-2453116910.000000,,,,,,,,,,,,-766625682.000000,,,,,,,,,,,,,,,636986280.000000,,,,,636986280.000000,,,,,,,,,,,,,,,,,,636986280.000000,-129639402.000000,197936141.000000,,,68296739.000000
12M 2013,2889118555.000000,3744460557.000000,-858023705.000000,,,-858023705.000000,,,,,,,,,2681703.000000,,,2889118555.000000,-4831801.000000,,,,,,,,,,1561493607.000000,-1566325408.000000,,-4831801.000000,-2939921602.000000,,,,,144375200.000000,-5800599581.000000,,,,,5000000000.000000,,,,200.000000,-2452937.000000,-2281244484.000000,,,,,,-2939921602.000000,-55634848.000000,68296740.000000,,,12661892.000000
12M 2014,-48898432659.000000,,-48898526921.000000,,,-48898526921.000000,,,,-297716.000000,,,,,391978.000000,,,-48898432659.000000,,,,,,,,,,,,,,,48957050206.000000,36303600000.000000,,12491592587.000000,,,,,,,,-5000000000.000000,-1191577381.000000,5060000000.000000,2300000000.000000,,,,,-1006565000.000000,,,,48957050206.000000,58617547.000000,12661892.000000,-877022.000000,,70402417.000000
12M 2015,-2961159793.000000,3689742757.000000,,,,,,,-6469224525.000000,-184104149.000000,,,,,2426124.000000,,,-2961159793.000000,-677360395.000000,,,,,,,1620839576.000000,-2298199971.000000,,,,,-677360395.000000,4311061338.000000,,-37320000000.000000,,-8890655626.000000,51546260630.000000,,,,,,,,,,,,,,-1024543666.000000,,,,4311061338.000000,672541150.000000,70402417.000000,,,742943567.000000
12M 2016,-27631986759.000000,113145962448.000000,,,,,,,-138470523155.000000,-2346286295.000000,,,,,38860243.000000,,,-27631986759.000000,-561325253650.000000,,,-1195253651.000000,,-14750000000.000000,-474999999999.000000,,,-70380000000.000000,,,,-561325253650.000000,589217912992.000000,23500000000.000000,-3333356249.000000,,,82198892229.000000,-111586536352.000000,,,,,,,,,625847827236.000000,,,,-27408913872.000000,,,,589217912992.000000,260672583.000000,742943567.000000,,7325097528.000000,8328713678.000000
12M 2017,14644804437.000000,54606263989.000000,,,,,,,-38318364453.000000,-1733753932.000000,,,,,90658833.000000,,,14644804437.000000,-92277365964.000000,,,-30840000.000000,,-300800000.000000,,,,-91945725964.000000,,,,-92277365964.000000,78332933907.000000,20515724517.000000,,,,395617879596.000000,-322801209792.000000,,,,,,,,,,,,,-14999460414.000000,,,,78332933907.000000,700372380.000000,8328713678.000000,,,9029086058.000000
