Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Pendapatan Komisi,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,8069528042.000000,-13097823318.000000,-5028295276.000000,-3214681938.000000,-89162292.000000,-3125519646.000000,,-3214681938.000000,-8242977214.000000,-3526055568.000000,1669075.000000,,-1858423853.000000,-4016922.000000,,-1665283868.000000,-3526055568.000000,-11769032782.000000,3647739880.000000,,,,3647739880.000000,-8121292902.000000,,-8121292902.000000,,,-8121292902.000000,-8121292902.000000,,-8121292902.000000,,,,
12M 2009,2562014001.000000,-6740304604.000000,-4178290603.000000,-1305181585.000000,-48734164.000000,-1256447421.000000,,-1305181585.000000,-5483472188.000000,-2520632251.000000,645486.000000,,-1256428133.000000,167420.000000,,-1265017024.000000,-2520632251.000000,-8004104439.000000,2340040510.000000,,,,2340040510.000000,-5664063929.000000,,-5664063929.000000,,,-5664063929.000000,-5664063929.000000,,-5664063929.000000,,,,
12M 2010,2948900092.000000,-4695355985.000000,-1746455893.000000,-783770677.000000,-113596193.000000,-670174484.000000,,-783770677.000000,-2530226570.000000,-116572455.000000,405619.000000,,-637447748.000000,-59825.000000,,520529499.000000,-116572455.000000,-2646799025.000000,-2036477230.000000,,,,-2036477230.000000,-4683276255.000000,,-4683276255.000000,,,-4683276255.000000,-4683276255.000000,,-4683276255.000000,,,,
12M 2011,2568047363.000000,-4386701317.000000,-1818653954.000000,-844146024.000000,-81315825.000000,-762830199.000000,,-844146024.000000,-2662799978.000000,-3794848252.000000,1770562.000000,,-486241045.000000,-787837.000000,-2505884130.000000,-803705802.000000,-3794848252.000000,-6457648230.000000,-2435676997.000000,,,,-2435676997.000000,-8893325227.000000,,-8893325227.000000,,-8893325227.000000,-8893325227.000000,-8893324837.000000,-390.000000,-8893325227.000000,-8893325227.000000,-8893324837.000000,-390.000000,-8893325227.000000
12M 2012,1602611454.000000,-3112179620.000000,-1509568166.000000,-912508665.000000,-98293520.000000,-814215145.000000,,-912508665.000000,-2422076831.000000,-263452551.000000,1228872.000000,,-252217207.000000,-367331.000000,,-12096885.000000,-263452551.000000,-2685529382.000000,658524283.000000,,,,658524283.000000,-2027005099.000000,,-2027005099.000000,,-2027005099.000000,-2027005099.000000,-2027004092.000000,-1007.000000,-2027005099.000000,-2027005099.000000,-2027004092.000000,-1007.000000,-2027005099.000000
12M 2013,6319113328.000000,-1956500258.000000,4362613070.000000,-2124892352.000000,-138600.000000,-2124753752.000000,,-2124892352.000000,2237720718.000000,-1270672172.000000,2681703.000000,,-486626574.000000,-6103025603.000000,,5316298302.000000,-1270672172.000000,967048546.000000,-2433001031.000000,,,,-2433001031.000000,-1465952485.000000,5621072.000000,-1460331413.000000,,-1460331413.000000,-1460331413.000000,-1459261071.000000,-1070342.000000,-1460331413.000000,-1460331413.000000,-1459261071.000000,-1070342.000000,-1460331413.000000
12M 2014,4261435256.000000,-4829341513.000000,-567906257.000000,-4339018805.000000,,-4339018805.000000,,-4339018805.000000,-4906925062.000000,-1338633768.000000,391978.000000,2108391439.000000,-2018718090.000000,1344384240.000000,,-2773083335.000000,-1338633768.000000,-6245558830.000000,300518886.000000,,,,300518886.000000,-5945039944.000000,,-5945039944.000000,,-5945039944.000000,-5945039944.000000,-5944332153.000000,-707791.000000,-5945039944.000000,-5945039944.000000,-5944332153.000000,-707791.000000,-5945039944.000000
12M 2015,5285277438.000000,,5285277438.000000,-6845947132.000000,-524035946.000000,-6370392529.000000,48481343.000000,-6845947132.000000,-1560669694.000000,,,,,,,,,-1560669694.000000,209258685.000000,,,,209258685.000000,-1351411009.000000,,-1351411009.000000,65365453.000000,-1286045556.000000,-1351411009.000000,-1353181862.000000,1770853.000000,-1351411009.000000,-1286045555.000000,-1287816408.000000,1770853.000000,-1286045555.000000
12M 2016,101375300385.000000,-64809219138.000000,36566081247.000000,-15692657519.000000,-2656566754.000000,-21763904851.000000,8727814086.000000,-15692657519.000000,20873423728.000000,,,,,,,,,20873423728.000000,-351442500.000000,,,,-351442500.000000,20521981228.000000,,20521981228.000000,88141132.000000,20610122360.000000,20521981228.000000,20519417989.000000,2563239.000000,20521981228.000000,20610122360.000000,20607559121.000000,2563239.000000,20610122360.000000
12M 2017,17132008657.000000,-9053751648.000000,8078257009.000000,-17524616942.000000,-971558073.000000,-16553058869.000000,,-17524616942.000000,-9446359933.000000,-9387440033.000000,,,-13321057426.000000,,,3933617393.000000,-9387440033.000000,-18833799966.000000,-619931373.000000,,,,-619931373.000000,-19453731339.000000,,-19453731339.000000,-196716784.000000,-19650448123.000000,-19453731339.000000,-19454051042.000000,319703.000000,-19453731339.000000,-19650448123.000000,-19650767826.000000,319703.000000,-19650448123.000000
