Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.15,114.90,0.15,114.90,10 B,0 B,10 B,10 B,(4 B)
12M 2009,0.59,84.83,0.59,84.83,8 B,,8 B,8 B,(10 B)
12M 2010,0.67,64.47,0.67,64.47,,,,(0 B),(11 B)
12M 2011,1.98,25.80,1.98,25.80,,,,(0 B),(4 B)
12M 2012,3.18,16.99,3.18,16.99,,,,(0 B),(5 B)
12M 2013,9.39,10.65,9.39,10.65,22 B,,22 B,22 B,(6 B)
12M 2014,6.55,15.27,6.55,15.27,29 B,26 B,55 B,55 B,33 B
12M 2015,9.68,10.23,14.22,6.96,,,,(1 B),5 B
12M 2016,0.61,120.93,0.62,118.40,42 B,177 B,219 B,211 B,423 B
12M 2017,0.46,117.87,0.47,115.33,71 B,181 B,252 B,243 B,266 B
12M 2018,0.43,116.42,0.44,113.89,71 B,174 B,245 B,239 B,253 B
12M 2019,0.55,91.08,0.56,88.54,71 B,4 B,75 B,64 B,(87 B)
12M 2020,0.55,91.74,0.56,89.20,71 B,10 B,81 B,75 B,(84 B)
12M 2021,0.69,72.89,0.71,70.35,71 B,15 B,87 B,80 B,(206 B)
12M 2022,0.74,67.35,0.77,64.82,71 B,7 B,78 B,72 B,(246 B)
12M 2023,0.75,66.71,0.78,64.18,,72 B,72 B,67 B,(132 B)
