Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Adjustment,Aset Tidak Lancar,Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Properti Investasi,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Pendek,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,504588201.000000,,31247588201.000000,,87886154706.000000,15144495121.000000,134782826229.000000,,,,344357970325.000000,,,2916252316.000000,347274222641.000000,,482057048870.000000,,,129243362968.000000,,27489193445.000000,27489193445.000000,53567816679.000000,12777291292.000000,9290694625.000000,,2016365666.000000,17672000000.000000,,19688365666.000000,6430001261.000000,129243362968.000000,147405610267.000000,,129957161984.000000,1152115900.000000,,131109277884.000000,10646798855.000000,5649533528.000000,147405610267.000000,276648973235.000000,,395691893000.000000,429747488.000000,-192627043617.000000,1913478764.000000,,205408075635.000000,482057048870.000000,791383786.000000
12M 2014,,,1106176064.000000,,44453295315.000000,,114180905444.000000,13494744146.000000,173235120969.000000,,,,343182508003.000000,,,2129026154.000000,345311534157.000000,,518546655126.000000,,,207131011654.000000,,42696484087.000000,42696484087.000000,52461543758.000000,36225690735.000000,13452541423.000000,,3554457276.000000,24575056000.000000,,28129513276.000000,34165238375.000000,207131011654.000000,132758421318.000000,,112039824675.000000,3705161994.000000,,115744986669.000000,10407764748.000000,6605669901.000000,132758421318.000000,339889432972.000000,,395691893000.000000,429747488.000000,-219144089655.000000,1679671321.000000,,178657222154.000000,518546655126.000000,791383786.000000
12M 2015,,,223103464.000000,,32460011814.000000,,93897154470.000000,16737494800.000000,143317764548.000000,,,,244673072998.000000,,,2051780238.000000,246724853236.000000,,390042617784.000000,,,177269594413.000000,,14071421174.000000,14071421174.000000,64174734009.000000,30446112267.000000,28572690889.000000,,1449712002.000000,24575056000.000000,,26024768002.000000,13979868072.000000,177269594413.000000,143740082274.000000,,120583712331.000000,4709813739.000000,,125293526070.000000,10175388154.000000,8271168050.000000,143740082274.000000,321009676687.000000,,395691893000.000000,429747488.000000,-328361500297.000000,1272800906.000000,,69032941097.000000,390042617784.000000,791383786.000000
12M 2016,,,135845649.000000,,10137283268.000000,,24653766125.000000,3558185623.000000,38485080665.000000,,,,224563346236.000000,,,1980134322.000000,226543480558.000000,,265028561223.000000,,,191371169326.000000,,26435708911.000000,26435708911.000000,4213316996.000000,32992124476.000000,55564570467.000000,,1449712002.000000,19258292756.000000,,20708004758.000000,51457443718.000000,191371169326.000000,135506428124.000000,,113483255647.000000,2425777515.000000,,115909033162.000000,9640941725.000000,9956453237.000000,135506428124.000000,326877597450.000000,,395691893000.000000,14454551545.000000,-472180807276.000000,185326503.000000,,-61849036228.000000,265028561222.000000,791383786.000000
12M 2017,,,225392000.000000,,1286740000.000000,,3454842000.000000,3110795000.000000,8077769000.000000,,,,125173141000.000000,,,96574272000.000000,221747413000.000000,,229825182000.000000,,,239659851000.000000,,25007164000.000000,25007164000.000000,5235396000.000000,73942339000.000000,54125532000.000000,,4633098000.000000,31291971000.000000,,35925069000.000000,45424351000.000000,239659851000.000000,95592387000.000000,,82991468000.000000,,,82991468000.000000,,12600919000.000000,95592387000.000000,335252238000.000000,,395691893000.000000,,-501523954000.000000,-78495000.000000,483500000.000000,-105427056000.000000,229825182000.000000,791383786.000000
12M 2018,,,76001833000.000000,,1323705000.000000,10270147000.000000,3276345000.000000,1338996000.000000,92211026000.000000,,,,885612633000.000000,5597936000.000000,,353594514000.000000,1244805083000.000000,,1337016109000.000000,,,196634638000.000000,,22406831000.000000,22406831000.000000,11189145000.000000,61103107000.000000,34277014000.000000,,,27165952000.000000,,27165952000.000000,40492589000.000000,196634638000.000000,346249703000.000000,,316701922000.000000,,,316701922000.000000,11936801000.000000,17610980000.000000,346249703000.000000,542884341000.000000,,921362577000.000000,,-440373887000.000000,23904710000.000000,289238368000.000000,794131768000.000000,1337016109000.000000,12096181262.000000
12M 2019,,,71144557000.000000,,5810031000.000000,55000000.000000,34297054000.000000,3512982000.000000,114819624000.000000,,,,877901236000.000000,4548464000.000000,48676206000.000000,311587560000.000000,1242713466000.000000,,1357533090000.000000,,,145834280000.000000,,26475045000.000000,26475045000.000000,5497371000.000000,7147000000.000000,35895143000.000000,,,44384096000.000000,,44384096000.000000,26435625000.000000,145834280000.000000,295149461000.000000,,271585629000.000000,,,271585629000.000000,10678220000.000000,12885612000.000000,295149461000.000000,440983741000.000000,,981843484000.000000,,-507948883000.000000,13456493000.000000,429198255000.000000,916549349000.000000,1357533090000.000000,13305799387.000000
12M 2020,,,7479791000.000000,5000000000.000000,18892731000.000000,95909000.000000,41909617000.000000,2854436000.000000,76232484000.000000,,,68993677000.000000,829045949000.000000,3533073000.000000,,307396030000.000000,1208968729000.000000,,1285201213000.000000,,,158875581000.000000,,37298892000.000000,37298892000.000000,6393546000.000000,6193472000.000000,48041223000.000000,,,28745125000.000000,,28745125000.000000,32203323000.000000,158875581000.000000,285086852000.000000,,267209308000.000000,,874538000.000000,268083846000.000000,8435422000.000000,8567584000.000000,285086852000.000000,443962433000.000000,,981843484000.000000,,-578894126000.000000,9155743000.000000,429133679000.000000,841238780000.000000,1285201213000.000000,13305799387.000000
12M 2021,,,3647160000.000000,5000000000.000000,15679610000.000000,82697927000.000000,26705222000.000000,31154672000.000000,164884591000.000000,,,,787829357000.000000,3770112000.000000,,286639915000.000000,1078239384000.000000,,1243123975000.000000,,,188648971000.000000,,52845728000.000000,52845728000.000000,6534536000.000000,10346813000.000000,54245988000.000000,,,34654109000.000000,,34654109000.000000,30021797000.000000,188648971000.000000,270846011000.000000,,254680870000.000000,,254975000.000000,254935845000.000000,10729788000.000000,5180378000.000000,270846011000.000000,459494982000.000000,,981843484000.000000,,-634869418000.000000,20587754000.000000,416067173000.000000,783628993000.000000,1243123975000.000000,13305799387.000000
12M 2022,,,2639290000.000000,,17420320000.000000,94840611000.000000,20772552000.000000,5773933000.000000,141446706000.000000,,,1000000000.000000,779249823000.000000,,,290472383000.000000,1070722206000.000000,,1212168912000.000000,,,406221489000.000000,,48199498000.000000,48199498000.000000,15463829000.000000,11298950000.000000,60710544000.000000,,1451307000.000000,225490104000.000000,59333000.000000,227000744000.000000,43547924000.000000,406221489000.000000,58762688000.000000,,41594038000.000000,,1785523000.000000,43379561000.000000,8216527000.000000,7166600000.000000,58762688000.000000,464984177000.000000,,981843484000.000000,,-672230756000.000000,22619555000.000000,414952452000.000000,747184735000.000000,1212168912000.000000,13305799387.000000
