Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penyusutan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Penyusutan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,211523292543.000000,-191325451045.000000,20197841498.000000,-32288112464.000000,-12321085344.000000,-19967027120.000000,,-32288112464.000000,-12090270966.000000,-14054898195.000000,76469980.000000,-11473783908.000000,,,,,-2657584267.000000,-14054898195.000000,-26145169161.000000,446618589.000000,,446618589.000000,-25698550572.000000,-17785467751.000000,-43484018323.000000,-25698550572.000000,-25441565066.000000,-256985506.000000,,-25698550572.000000,-43484018323.000000,-43088205688.000000,-395812635.000000,,-43484018323.000000
12M 2014,262321356543.000000,-235884781640.000000,26436574903.000000,-30316405573.000000,-10729480320.000000,-19586925253.000000,,-30316405573.000000,-3879830670.000000,-22870274897.000000,89292984.000000,-12011587879.000000,,,,,-10947980002.000000,-22870274897.000000,-26750105567.000000,239034093.000000,,239034093.000000,-26511071474.000000,-239782006.000000,-26750853480.000000,-26511071474.000000,-26245960759.000000,-265110715.000000,,-26511071474.000000,-26750853479.000000,-26517046038.000000,-233807441.000000,,-26750853479.000000
12M 2015,141199773647.000000,-135524717438.000000,5675056209.000000,-28176330194.000000,-7001762241.000000,-21174567953.000000,,-28176330194.000000,-22501273985.000000,-86619391894.000000,36199819.000000,-12491992273.000000,-8406202411.000000,,,,-65757397029.000000,-86619391894.000000,-109120665879.000000,232376594.000000,,232376594.000000,-108888289285.000000,-1419855575.000000,-110308144860.000000,-108888289285.000000,-107799406392.000000,-1088882893.000000,,-108888289285.000000,-110308144860.000000,-109928136899.000000,-380007961.000000,,-110308144860.000000
12M 2016,83772635083.000000,-102612889248.000000,-18840254165.000000,-137995405335.000000,-7388266124.000000,-130607139211.000000,,-137995405335.000000,-156835659500.000000,10941931162.000000,1447196.000000,-6964561746.000000,2658254488.000000,,,,15246791224.000000,10941931162.000000,-145893728338.000000,534446429.000000,,534446429.000000,-145359281909.000000,452500528.000000,-144906781381.000000,-145359281909.000000,-143905689090.000000,-1453592819.000000,,-145359281909.000000,-144906781381.000000,-143819306978.000000,-1087474403.000000,,-144906781381.000000
12M 2017,13297423000.000000,-41222622000.000000,-27925199000.000000,-23793644000.000000,-5992302000.000000,-17801342000.000000,,-23793644000.000000,-51718843000.000000,-1500119000.000000,,-214446000.000000,-1014165000.000000,,,,-271508000.000000,-1500119000.000000,-53218962000.000000,9640942000.000000,,9640942000.000000,-43578020000.000000,,-43578020000.000000,-43578020000.000000,-43140787000.000000,-437233000.000000,,-43578020000.000000,-43578020000.000000,-43140787000.000000,-437233000.000000,,-43578020000.000000
12M 2018,11276672000.000000,-5532938000.000000,5743734000.000000,-37596029000.000000,-2525269000.000000,-35070760000.000000,,-37596029000.000000,-31852295000.000000,101907860000.000000,,-5088937000.000000,-8798946000.000000,441880000.000000,-20587088000.000000,,135940951000.000000,101907860000.000000,70055565000.000000,1228781000.000000,,1228781000.000000,71284346000.000000,60989000.000000,71345335000.000000,71284346000.000000,71643601000.000000,-359255000.000000,,71284346000.000000,71345335000.000000,71684807000.000000,-339472000.000000,,71345335000.000000
12M 2019,84524926000.000000,-22619668000.000000,61905258000.000000,-118343146000.000000,-5013872000.000000,-113329274000.000000,,-118343146000.000000,-56437888000.000000,-15488333000.000000,,-30575949000.000000,2672783000.000000,,,,12414833000.000000,-15488333000.000000,-71926221000.000000,209109000.000000,,209109000.000000,-71717112000.000000,921176000.000000,-70795936000.000000,-71717112000.000000,-67574996000.000000,-4142116000.000000,,-71717112000.000000,-70795936000.000000,-66662711000.000000,-4133225000.000000,,-70795936000.000000
12M 2020,92586834000.000000,-48163316000.000000,44423518000.000000,-95951627000.000000,-4982097000.000000,-90969530000.000000,,-95951627000.000000,-51528109000.000000,-24755337000.000000,,-21793788000.000000,-1448951000.000000,,,,-1512598000.000000,-24755337000.000000,-76283446000.000000,1227404000.000000,,1227404000.000000,-75056042000.000000,-101072000.000000,-75157114000.000000,-75056042000.000000,-70776918000.000000,-4279124000.000000,,-75056042000.000000,-75157114000.000000,-70874776000.000000,-4282338000.000000,,-75157114000.000000
12M 2021,186298319000.000000,-105210493000.000000,81087826000.000000,-96578175000.000000,-10250548000.000000,-86327627000.000000,,-96578175000.000000,-15490349000.000000,-39992311000.000000,,-17529481000.000000,-911847000.000000,,,,-21550983000.000000,-39992311000.000000,-55482660000.000000,-2063900000.000000,,-2063900000.000000,-57546560000.000000,-63227000.000000,-57609787000.000000,-57546560000.000000,-55975292000.000000,-1571268000.000000,,-57546560000.000000,-57609787000.000000,-56002661000.000000,-1607126000.000000,,-57609787000.000000
12M 2022,227978382000.000000,-126053309000.000000,101925073000.000000,-99901452000.000000,-9653902000.000000,-90247550000.000000,,-99901452000.000000,2023621000.000000,-36051003000.000000,232082000.000000,-17344800000.000000,-6388386000.000000,,,,-12549899000.000000,-36051003000.000000,-34027382000.000000,-1263423000.000000,,-1263423000.000000,-35290805000.000000,-1153453000.000000,-36444258000.000000,-35290805000.000000,-37361338000.000000,2070533000.000000,,-35290805000.000000,-36444258000.000000,-38476059000.000000,2031801000.000000,,-36444258000.000000
12M 2023,208393296000.000000,-107178028000.000000,101215268000.000000,-100947817000.000000,-9577082000.000000,-91370735000.000000,,-100947817000.000000,267451000.000000,17242660000.000000,76732000.000000,-4906857000.000000,1461859000.000000,,,,20610926000.000000,17242660000.000000,17510111000.000000,-10754509000.000000,,-10754509000.000000,6755602000.000000,232728000.000000,6988330000.000000,6755602000.000000,9074153000.000000,-2318551000.000000,,6755602000.000000,6988330000.000000,9272753000.000000,-2284423000.000000,,6988330000.000000
