Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Jaminan Pelanggan Dan Uang Muka,Pembayaran Dari Jaminan Pelanggan Dan Uang Muka,Pembayaran Kas Kepada Pemasok & Lainnya :,Pembayaran Kas Kepada Karyawan,Biaya Transaksi Dari Akuisisi Entitas Anak,Pembayaran Untuk :,Bunga Dan Lain-Lain Bersih,Pajak,Total Pembayaran Untuk :,Penerimaan (Pengembalian) Dari :,Jaminan Pelanggan,Pengembalian Pajak,Pendapatan Lain-Lain,Pendapatan Bunga,Total Penerimaan (Pengembalian) Dari :,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Deposito,Perolehan Aset Tetap,Penjualan Aset Tetap,Hasil Penjualan Aset Yang Dimiliki Untuk Dijual,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Aset Dari Akuisisi Anak Perusahaan,Penurunan (Kenaikan) Aset Tidak Lancar Lain-Lain,Penurunan (Kenaikan) Uang Muka,Perolehan Properti Investasi,Pengembalian Uang Muka Konstruksi Aset Tetap,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Lain-Lain,Pinjaman Kepada Entitas Berelasi,Pembayaran Utang Bank Dan Lembaga Keuangan,Penerimaan Utang Bank,Penerimaan Pinjaman Lainnya,Penerimaan Dari Penawaran Umum Terbatas I,Pembayaran Biaya Penerbitan Saham,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Pembelian Saham Dari Kepentingan Nonpengendali,Penerimaan Dana Refinancing Aset Tetap,Penerimaan Piutang Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,-11911956773.000000,231155475502.000000,,,-209997912909.000000,,,,-29248769643.000000,-3897219703.000000,-33145989346.000000,,,,,76469980.000000,76469980.000000,,-11911956773.000000,24405577951.000000,,-17433577447.000000,39927006100.000000,,,,,1912149298.000000,,,,,24405577951.000000,-12288028974.000000,,,-12288028974.000000,,,,,,,,,,,-12288028974.000000,205592204.000000,298995998.000000,,504588202.000000
12M 2014,-15834747541.000000,249115649429.000000,,,-240661393067.000000,,,,-12253535477.000000,-12341493410.000000,-24595028887.000000,,,,216732000.000000,89292984.000000,306024984.000000,,-15834747541.000000,7022340384.000000,,-19696323278.000000,,,25931437500.000000,,,787226162.000000,,,,,7022340384.000000,9413995019.000000,24954316000.000000,,-15540320981.000000,,,,,,,,,,,9413995019.000000,601587862.000000,504588201.000000,,1106176063.000000
12M 2015,-16480938391.000000,152698089014.000000,,,-158140264890.000000,,,,-4567087471.000000,-6507874863.000000,-11074962334.000000,,,,,36199819.000000,36199819.000000,,-16480938391.000000,5597865791.000000,,-1580000.000000,6315000000.000000,,,,,-715554209.000000,,,,,5597865791.000000,10000000000.000000,10000000000.000000,,,,,,,,,,,,,10000000000.000000,-883072600.000000,1106176064.000000,,223103464.000000
12M 2016,12666211330.000000,106095363629.000000,37477575647.000000,,-115541886005.000000,,,,-6150010000.000000,-9216279137.000000,-15366289137.000000,,,,,1447196.000000,1447196.000000,,12666211330.000000,2168342467.000000,,,2000000000.000000,,,,,168342467.000000,,,,,2168342467.000000,-14921811613.000000,,,-14921811613.000000,,,,,,,,,,,-14921811613.000000,-87257816.000000,223103464.000000,,135845648.000000
12M 2017,-22052766000.000000,10377401000.000000,,,-32215721000.000000,,,,-214446000.000000,,-214446000.000000,,,,,,,,-22052766000.000000,434489000.000000,,-76600000.000000,,,,,,511089000.000000,,,,,434489000.000000,21707823000.000000,,,-19242392000.000000,,40950215000.000000,,,,,,,,,21707823000.000000,89546000.000000,135846000.000000,,225392000.000000
12M 2018,-69560019000.000000,13016599000.000000,,,-55296889000.000000,,-6557745000.000000,,-20721984000.000000,,-20721984000.000000,,,,,,,,-69560019000.000000,-477322410000.000000,,-6066902000.000000,441880000.000000,,-234264534000.000000,,-237432854000.000000,,,,,,-477322410000.000000,622656560000.000000,-155676113000.000000,-10270147000.000000,-27921743000.000000,,,819542660000.000000,-3018097000.000000,,,,,,,622656560000.000000,75774131000.000000,225392000.000000,2310000.000000,76001833000.000000
12M 2019,-55279005000.000000,80191600000.000000,,,-104894656000.000000,,,,-30575949000.000000,,-30575949000.000000,,,,,,,,-55279005000.000000,-50113762000.000000,,-44808574000.000000,220990000.000000,,43368068000.000000,,,,,-48894246000.000000,,,-50113762000.000000,100537101000.000000,-10398546000.000000,-55000000.000000,-57268554000.000000,,,169346538000.000000,-1087337000.000000,,,,,,,100537101000.000000,-4855666000.000000,76001833000.000000,-1610000.000000,71144557000.000000
12M 2020,-17674355000.000000,84924202000.000000,,,-82830528000.000000,,,,-19768029000.000000,,-19768029000.000000,,,,,,,,-17674355000.000000,-35874489000.000000,-5000000000.000000,-7627967000.000000,,,-23246522000.000000,,,,,,,,-35874489000.000000,-10110384000.000000,,,-13292339000.000000,3856055000.000000,,,,,-674100000.000000,,,,,-10110384000.000000,-63659228000.000000,71144557000.000000,-5538000.000000,7479791000.000000
12M 2021,26556381000.000000,187017232000.000000,,,-150660568000.000000,,,,-9800283000.000000,,-9800283000.000000,,,,,,,,26556381000.000000,-18196005000.000000,,-14278395000.000000,,,-3917610000.000000,,,,,,,,-18196005000.000000,-12192814000.000000,,,-12452689000.000000,879438000.000000,,,,,-619563000.000000,,,,,-12192814000.000000,-3832438000.000000,7479791000.000000,-193000.000000,3647160000.000000
12M 2022,25435179000.000000,226407540000.000000,,,-152186861000.000000,-51649052000.000000,,,-7440582000.000000,-419413000.000000,-7859995000.000000,,10491465000.000000,,,232082000.000000,10723547000.000000,,25435179000.000000,-16445770000.000000,,-17068986000.000000,16216000.000000,2857000000.000000,-2250000000.000000,,,,,,,,-16445770000.000000,-10000887000.000000,,,-8978191000.000000,,,,,,-1022696000.000000,,,,,-10000887000.000000,-1011478000.000000,3647160000.000000,3608000.000000,2639290000.000000
12M 2023,25527961000.000000,215355304000.000000,,,-127202386000.000000,-48488701000.000000,,,-4816899000.000000,-127299000.000000,-4944198000.000000,,-9449908000.000000,181118000.000000,,76732000.000000,-9192058000.000000,,25527961000.000000,-4575112000.000000,,-4584571000.000000,9459000.000000,,,,,,,,,,-4575112000.000000,-22533536000.000000,,,-19487684000.000000,,,,,,-1245852000.000000,-1800000000.000000,,,,-22533536000.000000,-1580687000.000000,2639290000.000000,-717000.000000,1057886000.000000
12M 2024,27255524000.000000,183836566000.000000,,,-96227707000.000000,-48323167000.000000,,,-8107960000.000000,-66000000.000000,-8173960000.000000,,-3882526000.000000,,,26318000.000000,-3856208000.000000,,27255524000.000000,-1754309000.000000,,-2385489000.000000,631180000.000000,,,,,,,,,,-1754309000.000000,-25601329000.000000,2257534000.000000,,-27049841000.000000,849728000.000000,,,,,-708750000.000000,-950000000.000000,,,,-25601329000.000000,-100114000.000000,1057886000.000000,1884000.000000,959656000.000000
