Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.54,257.14,0.54,257.14,20 B,131 B,151 B,150 B,6 B
12M 2014,0.51,223.63,0.51,223.63,28 B,116 B,144 B,143 B,(34 B)
12M 2015,1.30,85.62,1.30,85.62,26 B,125 B,151 B,151 B,(34 B)
12M 2016,-0.88,-78.39,-0.88,-78.39,21 B,116 B,137 B,136 B,(153 B)
12M 2017,-0.53,-133.12,-0.53,-133.12,36 B,83 B,119 B,119 B,(232 B)
12M 2018,2.67,63.68,2.67,63.68,27 B,317 B,344 B,268 B,(104 B)
12M 2019,1.08,67.87,1.08,67.87,44 B,272 B,316 B,245 B,(31 B)
12M 2020,0.80,62.54,0.80,62.54,29 B,267 B,296 B,288 B,(83 B)
12M 2021,0.87,57.35,0.87,57.35,35 B,255 B,289 B,286 B,(24 B)
12M 2022,0.92,54.45,0.92,54.45,227 B,42 B,269 B,266 B,(265 B)
12M 2023,0.91,55.15,0.91,55.15,66 B,156 B,222 B,221 B,(132 B)
12M 2024,0.22,50.14,0.22,50.14,67 B,138 B,206 B,205 B,(171 B)
