Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Obligasi Pemerintah,Others,Total Pihak Berelasi,Others,Total Pihak Ketiga,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Piutang Sewa Pembiayaan,Pihak Ketiga,Others,Total Piutang Sewa Pembiayaan,Piutang Pembiayaan Konsumen,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Pembiayaan Konsumen,Goodwill,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Deposito Berjangka,Others,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Derivatif,Liabilitas Akseptasi,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Akseptasi,Surat Berharga Yang Diterbitkan,Surat Berharga Yang Diterbitkan,Others,Total Surat Berharga Yang Diterbitkan,Pinjaman Yang Diterima,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Yang Diterima,Utang Pajak,Liabilitas Pajak Tangguhan,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Obligasi Subordinasi,Obligasi Subordinasi,Others,Total Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,928108000000.000000,1921074000000.000000,,49500000000.000000,5244061000000.000000,,5293561000000.000000,,,,12983292000000.000000,12983292000000.000000,,12621000000.000000,35269835000000.000000,,35282456000000.000000,,878882000000.000000,,878882000000.000000,,,821096000000.000000,,821096000000.000000,,1671786000000.000000,114541000000.000000,,17480411000000.000000,64391915000000.000000,,,286231000000.000000,,,,,,,1334578000000.000000,29298000000.000000,1305280000000.000000,1334578000000.000000,94549000000.000000,,,94549000000.000000,690439000000.000000,42042000000.000000,648397000000.000000,690439000000.000000,1623516000000.000000,1623516000000.000000,,1623516000000.000000,3191603000000.000000,2646603000000.000000,545000000000.000000,3191603000000.000000,94822000000.000000,,728945000000.000000,728945000000.000000,728945000000.000000,1489350000000.000000,1489350000000.000000,,1489350000000.000000,46130927000000.000000,55664960000000.000000,,2033530000000.000000,2318626000000.000000,3847271000000.000000,100000000000.000000,3747271000000.000000,3847271000000.000000,791939000000.000000,-264411000000.000000,8726955000000.000000,64391915000000.000000,20335300386.000000
12M 2009,,900900000000.000000,2480939000000.000000,,485100000000.000000,7621983000000.000000,,8107083000000.000000,,40000000000.000000,40000000000.000000,19084787000000.000000,19084787000000.000000,,13023000000.000000,39954075000000.000000,,39967098000000.000000,,864914000000.000000,,864914000000.000000,,,1084829000000.000000,,1084829000000.000000,,1702829000000.000000,127198000000.000000,,22621628000000.000000,77857418000000.000000,,,164729000000.000000,,,,,,,2259800000000.000000,30864000000.000000,2228936000000.000000,2259800000000.000000,5295000000.000000,,,5295000000.000000,516905000000.000000,,516905000000.000000,516905000000.000000,2303760000000.000000,2303760000000.000000,,2303760000000.000000,1631918000000.000000,1631918000000.000000,,1631918000000.000000,227052000000.000000,,779304000000.000000,779304000000.000000,779304000000.000000,1491856000000.000000,1491856000000.000000,,1491856000000.000000,56829790000000.000000,66210409000000.000000,,2408765000000.000000,3444330000000.000000,4762569000000.000000,100000000000.000000,4662569000000.000000,4762569000000.000000,905229000000.000000,126116000000.000000,11647009000000.000000,77857418000000.000000,24087645998.000000
12M 2010,,1076074000000.000000,5403656000000.000000,,180200000000.000000,16808876000000.000000,,16989076000000.000000,,41652000000.000000,41652000000.000000,20656667000000.000000,20656667000000.000000,,14058000000.000000,55668504000000.000000,,55682562000000.000000,,926382000000.000000,,926382000000.000000,,,1949424000000.000000,,1949424000000.000000,,1763280000000.000000,114616000000.000000,,25042885000000.000000,108947955000000.000000,,,138272000000.000000,75279720000000.000000,,,,,75279720000000.000000,3567326000000.000000,30000000000.000000,3537326000000.000000,3567326000000.000000,7216000000.000000,,,7216000000.000000,503849000000.000000,,503849000000.000000,503849000000.000000,2789842000000.000000,2789842000000.000000,,2789842000000.000000,3582389000000.000000,3582389000000.000000,,3582389000000.000000,136305000000.000000,,953658000000.000000,953658000000.000000,953658000000.000000,3886111000000.000000,3886111000000.000000,,3886111000000.000000,4790889000000.000000,95635577000000.000000,,2408765000000.000000,3444330000000.000000,6420867000000.000000,100000000000.000000,6320867000000.000000,6420867000000.000000,1072769000000.000000,-34353000000.000000,13312378000000.000000,108947955000000.000000,24087645998.000000
12M 2011,,1392325000000.000000,7490081000000.000000,,,15968557000000.000000,,15968557000000.000000,,58524000000.000000,58524000000.000000,15538002000000.000000,15538002000000.000000,,14398000000.000000,69064913000000.000000,,69079311000000.000000,,1152711000000.000000,,1152711000000.000000,,,3533672000000.000000,,3533672000000.000000,,1805408000000.000000,43485000000.000000,,24288629000000.000000,124754179000000.000000,,,255962000000.000000,85748532000000.000000,,,,,85748532000000.000000,5315229000000.000000,10155000000.000000,5305074000000.000000,5315229000000.000000,2951000000.000000,,,2951000000.000000,849994000000.000000,4139000000.000000,845855000000.000000,849994000000.000000,4591701000000.000000,4591701000000.000000,,4591701000000.000000,2985155000000.000000,2985155000000.000000,,2985155000000.000000,268626000000.000000,,1291121000000.000000,1291121000000.000000,1291121000000.000000,3891614000000.000000,3891614000000.000000,,3891614000000.000000,3665163000000.000000,108866048000000.000000,,2408765000000.000000,3444330000000.000000,8435575000000.000000,120000000000.000000,8315575000000.000000,8435575000000.000000,1647074000000.000000,-47613000000.000000,15888131000000.000000,124754179000000.000000,24087645998.000000
12M 2012,,1438005000000.000000,8963338000000.000000,,,7095246000000.000000,-250000000.000000,7094996000000.000000,,,,,11888209000000.000000,,17219000000.000000,92944021000000.000000,-1309299000000.000000,91651941000000.000000,,1442476000000.000000,-7146000000.000000,1435330000000.000000,,,3596819000000.000000,-44989000000.000000,3551830000000.000000,,2114288000000.000000,96958000000.000000,,32445929000000.000000,148792615000000.000000,,,312780000000.000000,102695260000000.000000,,,,,102695260000000.000000,6782240000000.000000,111657000000.000000,6670583000000.000000,6782240000000.000000,1415000000.000000,,,1415000000.000000,1063267000000.000000,,1063267000000.000000,1063267000000.000000,4909505000000.000000,4909505000000.000000,,4909505000000.000000,2554943000000.000000,2554943000000.000000,,2554943000000.000000,254787000000.000000,,1284027000000.000000,1284027000000.000000,1284027000000.000000,5924079000000.000000,5924079000000.000000,,5924079000000.000000,5362547000000.000000,131144850000000.000000,,2408765000000.000000,3444330000000.000000,10543118000000.000000,140000000000.000000,10403118000000.000000,10543118000000.000000,1243386000000.000000,8166000000.000000,17647765000000.000000,148792615000000.000000,24087645998.000000
12M 2013,,1562167000000.000000,10431217000000.000000,,,7911508000000.000000,,7911508000000.000000,,,,,22122378000000.000000,,677035000000.000000,104152839000000.000000,-1757943000000.000000,103071931000000.000000,,1885517000000.000000,-21169000000.000000,1864348000000.000000,,,3755421000000.000000,-58847000000.000000,3696574000000.000000,9918000000.000000,2440744000000.000000,209845000000.000000,,32857326000000.000000,164055578000000.000000,,,259028000000.000000,120256653000000.000000,,,,,120256653000000.000000,4875737000000.000000,40859000000.000000,4834878000000.000000,4875737000000.000000,2085000000.000000,,,2085000000.000000,1838152000000.000000,149227000000.000000,1688925000000.000000,1838152000000.000000,4778076000000.000000,4778076000000.000000,,4778076000000.000000,3409660000000.000000,3409660000000.000000,,3409660000000.000000,269083000000.000000,,,,,4429977000000.000000,,,4429977000000.000000,3978694000000.000000,144097145000000.000000,,2408765000000.000000,3444330000000.000000,12803047000000.000000,140000000000.000000,12663047000000.000000,12803047000000.000000,1408415000000.000000,-106124000000.000000,19958433000000.000000,164055578000000.000000,24087645998.000000
12M 2014,,1521150000000.000000,10886187000000.000000,,,4340457000000.000000,,4340457000000.000000,,,,,24673712000000.000000,,659998000000.000000,113276970000000.000000,-1992666000000.000000,111944302000000.000000,,2013775000000.000000,-26466000000.000000,1987309000000.000000,,,4632288000000.000000,-56853000000.000000,4575435000000.000000,9918000000.000000,2501839000000.000000,181853000000.000000,,34633217000000.000000,172581667000000.000000,,,266274000000.000000,126105253000000.000000,,,,,126105253000000.000000,4752896000000.000000,12097000000.000000,4740799000000.000000,4752896000000.000000,199000000.000000,,,199000000.000000,1675217000000.000000,172982000000.000000,1502235000000.000000,1675217000000.000000,2826541000000.000000,2826541000000.000000,,2826541000000.000000,3819513000000.000000,3819513000000.000000,,3819513000000.000000,300564000000.000000,,,,,4434768000000.000000,,,4434768000000.000000,5171739000000.000000,149352964000000.000000,,2408765000000.000000,3444330000000.000000,15158819000000.000000,140000000000.000000,15018819000000.000000,15158819000000.000000,2253137000000.000000,-36348000000.000000,23228703000000.000000,172581667000000.000000,24087645998.000000
12M 2015,,1372501000000.000000,10800209000000.000000,,,8475461000000.000000,,8475461000000.000000,,,,,19301367000000.000000,,502193000000.000000,119900921000000.000000,-2659541000000.000000,117743573000000.000000,,1890263000000.000000,-42889000000.000000,1847374000000.000000,,,4969656000000.000000,-88350000000.000000,4881306000000.000000,9918000000.000000,9134396000000.000000,252584000000.000000,,28603218000000.000000,183120540000000.000000,,,196301000000.000000,128316409000000.000000,,,,,128316409000000.000000,5494636000000.000000,106139000000.000000,5388497000000.000000,5494636000000.000000,821000000.000000,,,821000000.000000,1577080000000.000000,22035000000.000000,1555045000000.000000,1577080000000.000000,2000912000000.000000,2000912000000.000000,,2000912000000.000000,3308999000000.000000,3308999000000.000000,,3308999000000.000000,242473000000.000000,,,,,4441903000000.000000,,,4441903000000.000000,6734797000000.000000,152314331000000.000000,,2408765000000.000000,3444330000000.000000,16622118000000.000000,140000000000.000000,16482118000000.000000,16622118000000.000000,2455010000000.000000,5875986000000.000000,30806209000000.000000,183120540000000.000000,24087645998.000000
12M 2016,,1433984000000.000000,10248678000000.000000,,,12528047000000.000000,,12528047000000.000000,,,,,21378759000000.000000,,462648000000.000000,127646821000000.000000,-3060349000000.000000,125049120000000.000000,,1712429000000.000000,-52628000000.000000,1659801000000.000000,,,5159176000000.000000,-104109000000.000000,5055067000000.000000,9918000000.000000,9851752000000.000000,335480000000.000000,,33003206000000.000000,199175053000000.000000,,,256477000000.000000,142654215000000.000000,,,,,142654215000000.000000,1718140000000.000000,9000000.000000,1718131000000.000000,1718140000000.000000,23930000000.000000,,,23930000000.000000,1801972000000.000000,10423000000.000000,1791549000000.000000,1801972000000.000000,5960556000000.000000,5960556000000.000000,,5960556000000.000000,3269131000000.000000,3269131000000.000000,,3269131000000.000000,251771000000.000000,,,,,4495146000000.000000,,,4495146000000.000000,4542915000000.000000,164974253000000.000000,,2408765000000.000000,3444330000000.000000,19029464000000.000000,140000000000.000000,18889464000000.000000,19029464000000.000000,2585907000000.000000,6732334000000.000000,34200800000000.000000,199175053000000.000000,24087645998.000000
12M 2017,,1169008000000.000000,10496182000000.000000,,,5705849000000.000000,,5705849000000.000000,,,,,32172521000000.000000,,626603000000.000000,131327771000000.000000,-3302647000000.000000,128651727000000.000000,,2897430000000.000000,-68534000000.000000,2828896000000.000000,,,7246993000000.000000,-126847000000.000000,7120146000000.000000,,9688314000000.000000,343389000000.000000,,47538286000000.000000,213541797000000.000000,,,499439000000.000000,145670584000000.000000,,,,,145670584000000.000000,3631533000000.000000,7000000.000000,3631526000000.000000,3631533000000.000000,9426000000.000000,,9426000000.000000,9426000000.000000,2276597000000.000000,7057000000.000000,2269540000000.000000,2276597000000.000000,4848813000000.000000,4848813000000.000000,,4848813000000.000000,4479606000000.000000,4479606000000.000000,,4479606000000.000000,163470000000.000000,,,,,4482195000000.000000,,,4482195000000.000000,11191403000000.000000,177253066000000.000000,,2408765000000.000000,3444330000000.000000,21447516000000.000000,140000000000.000000,21307516000000.000000,21447516000000.000000,2306833000000.000000,6681287000000.000000,36288731000000.000000,213541797000000.000000,24087645998.000000
