Period,Arus Kas Dari Aktivitas Operasi,"Bunga,Provisi Dan Komisi Kredit Yang Diterima","Bunga,Hadiah Provisi Dan Komisi Dana Yang Dibayar",Penerimaan Pendapatan Operasional Lainnya,Pembayaran Beban Operasional Lainnya,Keuntungan Dari Transaksi Valuta Asing - Bersih,Penerimaan Kembali Kredit Yang Dihapusbukukan,Penerimaan Pendapatan (Pembayaran Beban) Non Operasional - Bersih,Pembayaran Beban Pajak,Penurunan (Kenaikan) Aset Operasi :,Penempatan Pada Bank Indonesia Dan Bank Lain,Efek-Efek,Kredit,Efek Yang Dibeli Dengan Janji Dijual Kembali,Investasi Neto Sewa Pembiayaan,Piutang Pembiayaan Konsumen,Tagihan Anjak Piutang,Piutang Jual Dan Sewa Balik,Sinking Fund Untuk Pelunasan Obligasi Dan Obligasi Subordinasi,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi :,Kenaikan (Penurunan) Liabilitas Operasi :,Giro,Liabilitas Segera,Simpanan,Deposito Berjangka,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Efek Yang Dijual Dengan Janji Dibeli Kembali,Kenaikan Dana Syirkah Temporer,Liabilitas Lain-Lain,Selisih Kurs Karena Penjabaran Laporan Keuangan,Total Kenaikan (Penurunan) Liabilitas Operasi :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akusisi Anak Perusahaan,Hasil Penyertaan Entitas Anak,Hasil Penjualan Aset Tetap,Hasil Penjualan Saham Entitas Anak,Penerimaan Dividen,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Efek-Efek (Selain Diukur Pada Nilai Wajar Melalui Laba Rugi),Penurunan (Penambahan) Penyertaan Dalam Bentuk Saham,Penyertaan Pada Entitas Asosiasi,Pembelian Saham Dari Entitas Non-Pengendali,Hasil Penjualan Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerbitan (Pembayaran) Surat Berharga Yang Diterbitkan,Pelunasan Surat Berharga Yang Diterbitkan,Penerbitan Saham Entitas Anak,Penerbitan Obligasi Entitas Anak,Penerbitan Obligasi Subordinasi Oleh Entitas Induk,Penerbitan Obligasi,Penerimaan Pinjaman Yang Diterima Dari Entitas Anak,Penerbitan Surat Berharga Di Entitas Anak,Pelunasan Obligasi Subordinasi,Pelunasan Surat Berharga Yang Diterbitkan Entitas Anak,Pembayaran Dividen Tunai Entitas Anak Kepada Non-Pengendali,Penambahan Modal Disetor,Pembayaran Dividen Tunai,Penambahan Agio Saham,Setoran Modal Entitas Non-Pengendali,Pembayaran Liabilitas Imbalan Pasca Kerja,Setoran Modal Dari Pemegang Saham Minoritas,Biaya Emisi Efek Hutang,Biaya Emisi Saham,Penambahan Modal Entitas Anak Dari Pelaksanaan Waran,Biaya Emisi Obligasi Yang Diterbitkan,Biaya Emisi Penerbitan Surat Berharga Di Entitas Anak,Biaya Emisi Obligasi Subordinasi Yang Diterbitkan,Biaya Emisi Obligasi Dan Obligasi Subordinasi Yang Diterbitkan,Obligasi Subordinasi Yang Diterbitkan,Pembayaran Liabilitas Sewa,Obligasi Yang Dibeli Kembali,Penjualan (Pembelian) Kembali Obligasi Yang Diterbitkan,Pembelian Kembali Saham Yang Diterbitkan,Penerimaan (Pembayaran) Pinjaman Yang Diterima,Hasil Penjualan Saham Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Penurunan Kas Dan Setara Kas Karena Pelepasan Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas,Giro Pada Bank Indonesia,Giro Pada Bank Lain,Total Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,1020145000000.000000,5846308000000.000000,-3302191000000.000000,547846000000.000000,-1626390000000.000000,230217000000.000000,294302000000.000000,-14973000000.000000,-506653000000.000000,,-2251811000000.000000,-201554000000.000000,-7777875000000.000000,259250000000.000000,-50271000000.000000,-467401000000.000000,-163377000000.000000,,5250000000.000000,557334000000.000000,-10090455000000.000000,,,9161000000.000000,14722546000000.000000,,-948670000000.000000,-31728000000.000000,-3346225000000.000000,,-749461000000.000000,-13489000000.000000,9642134000000.000000,1020145000000.000000,-316910000000.000000,-43523000000.000000,31408000000.000000,13993000000.000000,,49000000.000000,-318837000000.000000,,,,,,,-316910000000.000000,656851000000.000000,-449373000000.000000,,,,,,,,,,-24810000000.000000,49643000000.000000,,,,,-156184000000.000000,,,,-12530000000.000000,,-12530000000.000000,,200000000000.000000,,,,,1050105000000.000000,,12530000000.000000,656851000000.000000,1360086000000.000000,,2867730000000.000000,,,,2867730000000.000000,,4227816000000.000000
12M 2009,-384874000000.000000,7430638000000.000000,-4189457000000.000000,734809000000.000000,-1564457000000.000000,88959000000.000000,250778000000.000000,78786000000.000000,-237860000000.000000,,-2851554000000.000000,-5817964000000.000000,-5705797000000.000000,119927000000.000000,9100000000.000000,-287564000000.000000,-20325000000.000000,,,-12098000000.000000,-14566275000000.000000,,,-121688000000.000000,10195957000000.000000,,920072000000.000000,31728000000.000000,503887000000.000000,,59249000000.000000,,11589205000000.000000,-384874000000.000000,-277178000000.000000,,3284000000.000000,10220000000.000000,,5308000000.000000,-295990000000.000000,,,,,,,-277178000000.000000,681866000000.000000,800000000000.000000,,,,,,,,,,-5949000000.000000,1500939000000.000000,,,,,,,,,-9539000000.000000,,,,,,-43900000000.000000,,,-1559685000000.000000,,,681866000000.000000,19814000000.000000,,4227816000000.000000,,,,4227816000000.000000,,4247630000000.000000
12M 2010,11654489000000.000000,8276058000000.000000,-3922923000000.000000,915876000000.000000,-2397040000000.000000,122510000000.000000,228374000000.000000,92596000000.000000,-566388000000.000000,,,616151000000.000000,-14831890000000.000000,8000000000.000000,-50870000000.000000,-884818000000.000000,-283634000000.000000,,,-250252000000.000000,-15677313000000.000000,,,-26326000000.000000,19045835000000.000000,,1306922000000.000000,,4150005000000.000000,,106303000000.000000,,24582739000000.000000,11654489000000.000000,-318629000000.000000,,,38533000000.000000,,12722000000.000000,-367304000000.000000,,,,-20000000000.000000,,17420000000.000000,-318629000000.000000,4826342000000.000000,540000000000.000000,-50000000000.000000,,,,,,,,,-17959000000.000000,,,,21790000000.000000,,,,,,-5227000000.000000,,-29828000000.000000,,2460000000000.000000,,-42905000000.000000,,,1950471000000.000000,,,4826342000000.000000,16162202000000.000000,,20188160000000.000000,,,,20188160000000.000000,,36350362000000.000000
12M 2011,-9553020000000.000000,9838995000000.000000,-4970718000000.000000,1711481000000.000000,-3289986000000.000000,286501000000.000000,,135233000000.000000,-549520000000.000000,,-1805623000000.000000,-2996897000000.000000,-14089603000000.000000,-2798161000000.000000,-221059000000.000000,-1624952000000.000000,-509129000000.000000,,,-123485000000.000000,-24168909000000.000000,,,117672000000.000000,10468812000000.000000,,1747903000000.000000,1170000000.000000,-988728000000.000000,,107074000000.000000,,11453903000000.000000,-9553020000000.000000,-241288000000.000000,,,9770000000.000000,,19745000000.000000,-261803000000.000000,,,,-9000000000.000000,,,-241288000000.000000,1605548000000.000000,1785000000000.000000,,,,,,,,,,-30255000000.000000,,,,400323000000.000000,,,,-16960000000.000000,,-15231000000.000000,,,,,,79905000000.000000,,,-597234000000.000000,,,1605548000000.000000,-8188760000000.000000,,36350362000000.000000,,,,36350362000000.000000,,28161602000000.000000
12M 2012,-9464527000000.000000,11345950000000.000000,-5998880000000.000000,1534362000000.000000,-3031709000000.000000,251353000000.000000,,75399000000.000000,-831757000000.000000,,1805623000000.000000,406549000000.000000,-23209664000000.000000,-11407927000000.000000,-292788000000.000000,-81632000000.000000,-136687000000.000000,,,-282659000000.000000,-33199185000000.000000,,,56798000000.000000,16746729000000.000000,,1532011000000.000000,-13366000000.000000,1697383000000.000000,,370385000000.000000,,20389940000000.000000,-9464527000000.000000,-475363000000.000000,,,11224000000.000000,,21073000000.000000,-507660000000.000000,,,,,,,-475363000000.000000,1887040000000.000000,2100000000000.000000,-1713000000000.000000,,,,,,,,,-50683000000.000000,,,,,,,,,,-19838000000.000000,,-12227000000.000000,,2000000000000.000000,,,13000000000.000000,,-430212000000.000000,,,1887040000000.000000,-8052850000000.000000,-818362000000.000000,28161602000000.000000,,,,28161602000000.000000,,19290390000000.000000
12M 2013,8360282000000.000000,13106006000000.000000,-7302624000000.000000,1134432000000.000000,-2578868000000.000000,407906000000.000000,,43262000000.000000,-868465000000.000000,,,-6217460000000.000000,-12090900000000.000000,11183132000000.000000,-446847000000.000000,-215905000000.000000,-942412000000.000000,,,443925000000.000000,-8286467000000.000000,,,-53778000000.000000,17561392000000.000000,,-1906503000000.000000,16592000000.000000,-2793460000000.000000,,-119143000000.000000,,12705100000000.000000,8360282000000.000000,-555193000000.000000,,,11891000000.000000,,39334000000.000000,-601418000000.000000,,,-5000000000.000000,,,,-555193000000.000000,-832988000000.000000,153000000000.000000,-308000000000.000000,,,,,,,,,-30996000000.000000,,,,,,,,,,-1174000000.000000,,,,,,-1500000000000.000000,-535000000.000000,,854717000000.000000,,,-832988000000.000000,6972101000000.000000,,19290390000000.000000,,,,19290390000000.000000,,26262491000000.000000
12M 2014,-8294869000000.000000,15530870000000.000000,-9202877000000.000000,1526930000000.000000,-3671145000000.000000,32518000000.000000,,94172000000.000000,-942700000000.000000,,-547084000000.000000,-7397142000000.000000,303079000000.000000,-9320566000000.000000,-130314000000.000000,-929871000000.000000,304879000000.000000,,,-671084000000.000000,-18388103000000.000000,,,7246000000.000000,5848600000000.000000,,-122841000000.000000,228000000.000000,647840000000.000000,,344393000000.000000,,6725466000000.000000,-8294869000000.000000,206514000000.000000,,,47360000000.000000,,28724000000.000000,-338660000000.000000,,,480750000000.000000,-5000000000.000000,-6660000000.000000,,206514000000.000000,-1457756000000.000000,135000000000.000000,-2129000000000.000000,31700000000.000000,,,,,,,,,,,,,,,,-7359000000.000000,102596000000.000000,-1084000000.000000,,,,,,,535000000.000000,,409856000000.000000,,,-1457756000000.000000,-9546111000000.000000,,26262491000000.000000,,,,26262491000000.000000,,16716380000000.000000
12M 2015,5628708000000.000000,16868060000000.000000,-9557670000000.000000,903680000000.000000,-3999892000000.000000,185544000000.000000,,57314000000.000000,-1162486000000.000000,,-477966000000.000000,5298596000000.000000,401496000000.000000,-6871729000000.000000,92453000000.000000,-455302000000.000000,401744000000.000000,,,-286988000000.000000,-1897696000000.000000,,,-69973000000.000000,2211156000000.000000,,741740000000.000000,-2850000000.000000,1389585000000.000000,,-37804000000.000000,,4231854000000.000000,5628708000000.000000,-221196000000.000000,,,10498000000.000000,,92053000000.000000,-323747000000.000000,,,,,,,-221196000000.000000,-1378915000000.000000,700000000000.000000,-1570000000000.000000,,,,,,,,,,,,,,,,,,5337000000.000000,-3738000000.000000,,,,,,,,,-510514000000.000000,,,-1378915000000.000000,4028597000000.000000,,16716380000000.000000,,,,16716380000000.000000,,20744977000000.000000
12M 2016,529646000000.000000,17288351000000.000000,-8971757000000.000000,1062394000000.000000,-4029450000000.000000,98984000000.000000,,102817000000.000000,-887700000000.000000,,628490000000.000000,-2211042000000.000000,-1869056000000.000000,-8759549000000.000000,159714000000.000000,-331186000000.000000,108083000000.000000,,,-182277000000.000000,-12456823000000.000000,,,60177000000.000000,14337807000000.000000,,-3776496000000.000000,3455000000.000000,-2999636000000.000000,,697523000000.000000,,8322830000000.000000,529646000000.000000,-161648000000.000000,,,6209000000.000000,,16924000000.000000,-184781000000.000000,,,,,,,-161648000000.000000,4037117000000.000000,4225000000000.000000,-136000000000.000000,,,,,,,,,,,,,,,,,,5149000000.000000,-13801000000.000000,,,-3363000000.000000,,,,,,-39868000000.000000,,,4037117000000.000000,4405115000000.000000,,20744977000000.000000,,,,20744977000000.000000,,25150092000000.000000
12M 2017,-7087172000000.000000,17552673000000.000000,-8861177000000.000000,1790559000000.000000,-4543081000000.000000,87837000000.000000,,76538000000.000000,-1053098000000.000000,,-114834000000.000000,-10729592000000.000000,-3746110000000.000000,-5664003000000.000000,-1256748000000.000000,-2318665000000.000000,131595000000.000000,,,-93132000000.000000,-23791489000000.000000,,,242964000000.000000,3016369000000.000000,,1913393000000.000000,-487000000.000000,6531611000000.000000,,-49784000000.000000,,11654066000000.000000,-7087172000000.000000,-50093000000.000000,,,10163000000.000000,,40759000000.000000,-95765000000.000000,,,,-5250000000.000000,,,-50093000000.000000,208032000000.000000,100000000000.000000,-1172000000000.000000,58823000000.000000,,,,,,-2460000000000.000000,,,,,,,,,,-6181000000.000000,30339000000.000000,-1245000000.000000,,,-11614000000.000000,2400000000000.000000,,-44000000000.000000,50525000000.000000,,1210475000000.000000,52910000000.000000,,208032000000.000000,-6929233000000.000000,,25150092000000.000000,,,,25150092000000.000000,-441048000000.000000,17779811000000.000000
