Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,3.67,,0.09,,,0.0
12M 2009,,,,,,,,,4.37,4.36,0.1,0.1,,,0.0
12M 2010,,,,,,,,,4.72,4.64,0.09,0.08,,,0.0
12M 2011,,,,,,,,,5.57,5.52,0.09,0.08,,,0.0
12M 2012,,,,,,,,,5.87,5.75,0.08,0.08,,,0.0
12M 2013,,,,,,,,,5.7,5.84,0.08,0.08,,,0.0
12M 2014,,,,,,,,,6.27,6.25,0.09,0.09,,,0.0
12M 2015,,,,,,,,,2.91,1.89,0.1,0.09,,,0.0
12M 2016,,,,,,,,,1.84,1.77,0.09,0.09,,,0.0
12M 2017,,,,,,,,,1.79,1.8,0.08,0.08,,,0.0
12M 2018,,,,,,,,,1.73,1.73,0.08,0.08,,,0.0
12M 2019,,,,,,,,,1.72,1.74,0.08,0.08,,,0.0
12M 2020,,,,,,,,,1.57,1.56,0.08,0.07,,,0.0
12M 2021,,,,,,,,,1.37,1.38,0.07,0.07,,,0.0
12M 2022,,,,,,,,,1.34,1.34,0.07,0.07,,,0.0
12M 2023,,,,,,,,,1.45,1.46,0.07,0.07,,,0.0
12M 2024,,,,,,,,,1.55,1.57,0.07,0.07,,,0.0
