Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Direksi Dan Karyawan,Pembayaran Pajak Penghasilan Badan,Penerimaan Pendapatan Keuangan,Penerimaan Lainnya,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Perolehan Aset Tak Berwujud,Perolehan Aset Hak Guna,Perolehan Aset Keuangan Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi,Uang Muka Diterima,Peningkatan Investasi Jangka Pendek,Penjualan Aset Keuangan Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi,Perolehan Penjualan Aset Tetap Dan Aset Yang Dimiliki Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Bank Jangka Pendek:,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Pendek:,Biaya Tambahan Emisi Saham,Penerimaan Modal Disetor,Penerimaan Kas Dari Kepentingan Non Pengendali Atas Saham Di Entitas Anak,Pembayaran Beban Keuangan,Pembayaran Liabilitas Sewa,Transfer Ke Kas Yang Dibatasi Penggunaannya,Pembayaran Dividen,Perolehan Saham Treasuri,Penerimaan Dari Penjualan Saham Treasuri Kepada Manajemen Dan Karyawan,Pembayaran Biaya Transaksi Atas Pinjaman Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,8521534.000000,35931682.000000,-20629473.000000,-5474396.000000,-884650.000000,121223.000000,,-542852.000000,8521534.000000,-5241687.000000,-5242592.000000,,,,,,,,905.000000,-5241687.000000,-7989374.000000,,,-6800000.000000,-6800000.000000,,,,-1104569.000000,,,,,,-84805.000000,-7989374.000000,-4709527.000000,13449.000000,13232406.000000,8536328.000000
12M 2017,15833355.000000,45453046.000000,-23904456.000000,-5392378.000000,-397146.000000,144664.000000,,-70375.000000,15833355.000000,-15445940.000000,-15745940.000000,,,,,,,,300000.000000,-15445940.000000,5414951.000000,,,-8800000.000000,-8800000.000000,,17437296.000000,,-1154058.000000,,-2068287.000000,,,,,5414951.000000,5802366.000000,-24241.000000,8536328.000000,14314453.000000
12M 2018,21788898.000000,61768337.000000,-33058228.000000,-6249313.000000,-899941.000000,175506.000000,,52537.000000,21788898.000000,-10942744.000000,-22948602.000000,,,,,,,,12005858.000000,-10942744.000000,-11719921.000000,,,-6800000.000000,-6800000.000000,,,,-1206621.000000,,-156603.000000,-3556697.000000,,,,-11719921.000000,-873767.000000,52578.000000,14314453.000000,13493264.000000
12M 2019,24877899.000000,72873137.000000,-38723956.000000,-8281265.000000,-3165386.000000,59747.000000,,2115622.000000,24877899.000000,-44087186.000000,-44101426.000000,,,,,,,,14240.000000,-44087186.000000,9126375.000000,,31000000.000000,-16150000.000000,14850000.000000,,,,-1652962.000000,,-1579194.000000,-2491469.000000,,,,9126375.000000,-10082912.000000,16594.000000,13493264.000000,3426946.000000
12M 2020,26901929.000000,78291894.000000,-41979888.000000,-7856091.000000,-1665904.000000,61666.000000,,50252.000000,26901929.000000,-10712360.000000,-10712506.000000,,,,,,,,146.000000,-10712360.000000,-6945591.000000,,25000000.000000,-30530000.000000,-5530000.000000,,,,-1534720.000000,-447588.000000,2460531.000000,-1893814.000000,,,,-6945591.000000,9243978.000000,-24067.000000,3426946.000000,12646857.000000
12M 2021,36056513.000000,111178943.000000,-69517732.000000,-3949047.000000,-1698280.000000,42629.000000,,,36056513.000000,-10134706.000000,-10487645.000000,,,,-223056.000000,,,,575995.000000,-10134706.000000,-16470018.000000,,7008200.000000,-15685004.000000,-8676804.000000,,,,-1210714.000000,-1946112.000000,1277440.000000,-3039663.000000,-2874165.000000,,,-16470018.000000,9451789.000000,-191629.000000,12646857.000000,21907017.000000
12M 2022,47999539.000000,131825869.000000,-77202507.000000,-3749213.000000,-3176937.000000,302327.000000,,,47999539.000000,-6040457.000000,-38164876.000000,,,,-793212.000000,,,730134.000000,32187497.000000,-6040457.000000,-32359627.000000,,4712313.000000,-22100136.000000,-17387823.000000,,,,-1111377.000000,-2340233.000000,66114.000000,-10104370.000000,-1481938.000000,,,-32359627.000000,9599455.000000,-979947.000000,21907017.000000,30526525.000000
12M 2023,32929142.000000,102341387.000000,-60902313.000000,-5002566.000000,-4780580.000000,1273214.000000,,,32929142.000000,-27296022.000000,-13814319.000000,,,,-891308.000000,370096.000000,-46215108.000000,,33254617.000000,-27296022.000000,-11630896.000000,,22159024.000000,-13956861.000000,8202163.000000,,,17046.000000,-1251896.000000,-318878.000000,,-17347619.000000,-1569982.000000,638270.000000,,-11630896.000000,-5997776.000000,21854.000000,30526525.000000,24550603.000000
12M 2024,25284740.000000,85386493.000000,-52657793.000000,-5755742.000000,-4973997.000000,3285779.000000,,,25284740.000000,29639318.000000,-11337184.000000,-320842.000000,-261025.000000,,-1523824.000000,,17694875.000000,,25387318.000000,29639318.000000,-24890306.000000,,17466272.000000,-15769072.000000,1697200.000000,,,,-1524446.000000,-440728.000000,,-24830539.000000,,208207.000000,,-24890306.000000,30033752.000000,42585.000000,24550603.000000,54626940.000000
