Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Beban Operasi,Pembayaran Kas Untuk Operasi Lainnya,Penerimaan Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Pembayaran Uang Muka Pembelian,Perolehan Aset Hak-Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Tambahan Modal Disetor,Penambahan Utang Bank,Pembayaran Utang Bank,Penambahan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-1625071571.000000,98773487554.000000,-76300184924.000000,-13083032346.000000,-10660819682.000000,-8299550.000000,13323000.000000,-359545623.000000,-1625071571.000000,-2982330203.000000,-2026330203.000000,,,-956000000.000000,-2982330203.000000,,,,,,,,,-4607401774.000000,5773684952.000000,1166283178.000000
12M 2021,1007865372.000000,128708537112.000000,-101516477995.000000,-14727520356.000000,-11102220877.000000,-23519045.000000,4145150.000000,-335078617.000000,1007865372.000000,-847521849.000000,-523521849.000000,,,-324000000.000000,-847521849.000000,,,,,,,,,160343523.000000,1166283178.000000,1326626701.000000
12M 2022,9892429886.000000,151088948211.000000,-111972605225.000000,-15401333543.000000,-13239711843.000000,-43555714.000000,840010.000000,-540152010.000000,9892429886.000000,-26067880324.000000,-24096971235.000000,,-1800000000.000000,-170909089.000000,-26067880324.000000,20000000000.000000,20000000000.000000,,,,,,20000000000.000000,3824549562.000000,1326626701.000000,5151176263.000000
12M 2023,4982523456.000000,179038651641.000000,-128290097791.000000,-18962188815.000000,-15470171961.000000,-2612858345.000000,-176209266.000000,-8544602007.000000,4982523456.000000,-3535922520.000000,-2181422519.000000,-919000000.000000,,-435500001.000000,-3535922520.000000,-30106365.000000,,,,,,-30106365.000000,-30106365.000000,1416494571.000000,5151176263.000000,6567670834.000000
12M 2024,-35078782649.000000,202625972745.000000,-194598407991.000000,-18567426339.000000,-20487506918.000000,,-179936361.000000,-3871477785.000000,-35078782649.000000,-14143470082.000000,-11191914516.000000,,,-2951555566.000000,-14143470082.000000,63490439722.000000,11250000000.000000,51300000000.000000,450000000.000000,-36816892.000000,742744790.000000,-215488176.000000,63490439722.000000,14268186991.000000,6567670834.000000,20835857825.000000
