Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2020,,,,,,,,,,,,,48.89,,1.36
12M 2021,4.61,45.26,18.11,31.76,79.15,,8.06,,34.52,,5.81,,10.63,,2.21
12M 2022,6.95,81.46,20.65,67.76,52.51,,4.48,,10.34,,3.07,,6.34,,2.54
12M 2023,6.08,86.44,8.7,74.77,60.07,136.03,4.22,8.08,6.88,13.76,2.4,4.5,5.06,5.06,3.64
12M 2024,4.28,124.64,17.33,111.59,85.23,107.23,2.93,2.12,6.75,6.24,1.84,1.44,2.28,2.28,8.44
