Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,438677172510.000000,-326739561261.000000,111937611249.000000,-46810598084.000000,-11878171084.000000,-4654174432.000000,-30278252568.000000,-46810598084.000000,65127013165.000000,-104714191.000000,-104714191.000000,,-104714191.000000,65022298974.000000,-484366000.000000,,-484366000.000000,-484366000.000000,64537932974.000000,64537932974.000000,,64537932974.000000,64537932974.000000,64537932974.000000,,64537932974.000000,64537932974.000000,64537932974.000000,,64537932974.000000
12M 2019,808895668000.000000,-603260718795.000000,205634949205.000000,-51366894531.000000,-32769654272.000000,-8147746681.000000,-10449493578.000000,-51366894531.000000,154268054674.000000,-1842918898.000000,-1842918898.000000,,-1842918898.000000,152425135776.000000,-2113331454.000000,-1665739454.000000,-447592000.000000,-2113331454.000000,150311804322.000000,150311804322.000000,,150311804322.000000,150311804322.000000,150311804322.000000,,150311804322.000000,150311804322.000000,150311804322.000000,,150311804322.000000
12M 2020,977221009504.000000,-801582919316.000000,175638090188.000000,-35429065992.000000,-36205704160.000000,-14016367642.000000,14793005810.000000,-35429065992.000000,140209024196.000000,-7164444923.000000,-7164444923.000000,,-7164444923.000000,133044579273.000000,206603181.000000,,206603181.000000,206603181.000000,133251182454.000000,133251182454.000000,,133251182454.000000,133251182454.000000,133251330455.000000,-148001.000000,133251182454.000000,133251182454.000000,133251330455.000000,-148001.000000,133251182454.000000
12M 2021,563688066425.000000,-416880451565.000000,146807614860.000000,-3374795147.000000,-29421666935.000000,-10599927875.000000,36646799663.000000,-3374795147.000000,143432819713.000000,-13069191439.000000,-13069191439.000000,,-13069191439.000000,130363628274.000000,-3001640.000000,,-3001640.000000,-3001640.000000,130360626634.000000,130360626634.000000,,130360626634.000000,130360626634.000000,130360577564.000000,49070.000000,130360626634.000000,130360626634.000000,130360577564.000000,49070.000000,130360626634.000000
12M 2022,592687713783.000000,-439458758404.000000,153228955379.000000,-38551627318.000000,-33148239266.000000,-14332604692.000000,8929216640.000000,-38551627318.000000,114677328061.000000,-9657466393.000000,-9657466393.000000,,-9657466393.000000,105019861668.000000,-666466.000000,,-666466.000000,-666466.000000,105019195202.000000,105019195202.000000,,105019195202.000000,105019195202.000000,105019176258.000000,18944.000000,105019195202.000000,105019195202.000000,105019176258.000000,18944.000000,105019195202.000000
12M 2023,651958903770.000000,-480306927982.000000,171651975788.000000,-40179824876.000000,-36548681537.000000,-13496782494.000000,9865639155.000000,-40179824876.000000,131472150912.000000,-14232873011.000000,-14232873011.000000,,-14232873011.000000,117239277901.000000,-1073926436.000000,,-1073926436.000000,-1073926436.000000,116165351465.000000,116165351465.000000,,116165351465.000000,116165351465.000000,116165361945.000000,-10480.000000,116165351465.000000,116165351465.000000,116165361945.000000,-10480.000000,116165351465.000000
12M 2024,300316739862.000000,-207909638775.000000,92407101087.000000,-29132218003.000000,-36308671762.000000,-4365276450.000000,11541730209.000000,-29132218003.000000,63274883084.000000,-18624995549.000000,-18624995549.000000,,-18624995549.000000,44649887535.000000,-1846123735.000000,,-1846123735.000000,-1846123735.000000,42803763800.000000,42803763800.000000,,42803763800.000000,42803763800.000000,42803719399.000000,44401.000000,42803763800.000000,42803763800.000000,42803719399.000000,44401.000000,42803763800.000000
