Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Obligasi,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Obligasi,Utang Obligasi Dan Sukuk Ijarah,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lembaga Keuangan Lain,Utang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Utang Lain Jangka Panjang,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,114091593241.000000,31730921102.000000,659778526.000000,31071142576.000000,31730921102.000000,1243235670404.000000,533932487728.000000,1922990672475.000000,,2634489432.000000,2634489432.000000,,2634489432.000000,603577244315.000000,,,,78000000.000000,606289733747.000000,2529280406222.000000,,,1217581665248.000000,,535825300983.000000,179589079268.000000,715414380251.000000,462589486756.000000,9354336801.000000,,,,,,30223461440.000000,1217581665248.000000,112160808000.000000,,,,5000000000.000000,5000000000.000000,,107160808000.000000,,,,112160808000.000000,1329742473248.000000,,1135000000000.000000,,64537932974.000000,,64537932974.000000,64537932974.000000,,1199537932974.000000,2529280406222.000000,1135000.000000
12M 2019,,,297240127490.000000,133665965177.000000,1948146226.000000,131717818951.000000,133665965177.000000,1775868800261.000000,775592622489.000000,2982367515417.000000,,4801855335.000000,4801855335.000000,,4801855335.000000,1375637446692.000000,,3488442568.000000,,20000000.000000,1383947744595.000000,4366315260012.000000,,,1862317625693.000000,,718578304002.000000,239257940236.000000,957836244238.000000,821328719612.000000,10233745112.000000,,,,15000000000.000000,15000000000.000000,57918916731.000000,1862317625693.000000,289147897023.000000,,,,287482157569.000000,287482157569.000000,,,1665739454.000000,,,289147897023.000000,2151465522716.000000,,2000000000000.000000,,214849737296.000000,,214849737296.000000,214849737296.000000,,2214849737296.000000,4366315260012.000000,2000000.000000
12M 2020,,,44698876735.000000,42325334928.000000,358262486.000000,41967072442.000000,42325334928.000000,2779218533492.000000,332431537836.000000,3198674282991.000000,,9036213469.000000,8539795645.000000,496417824.000000,9036213469.000000,1439760880585.000000,,3065457434.000000,,25669992868.000000,1477532544356.000000,4676206827347.000000,,,2392142631190.000000,,956796603512.000000,110974264861.000000,1067770868373.000000,635132614682.000000,4805752583.000000,,,,130000000000.000000,130000000000.000000,554433395552.000000,2392142631190.000000,314229376287.000000,,,,311822544533.000000,311822544533.000000,,,1459136273.000000,,947695481.000000,314229376287.000000,2706372007477.000000,,2000000000000.000000,,-30173798194.000000,27938767026.000000,-58112565220.000000,-30173798194.000000,8618064.000000,1969834819870.000000,4676206827347.000000,2000000.000000
12M 2021,,,60530437116.000000,41696808428.000000,1971047897.000000,39725760531.000000,41696808428.000000,3233978346534.000000,299115912653.000000,3635321504731.000000,,11745428065.000000,11149640929.000000,595787136.000000,11745428065.000000,2258450446994.000000,,1915910894.000000,2924600000.000000,68316047453.000000,2343352433406.000000,5978673938137.000000,,,3519129820480.000000,,1159401716156.000000,348587609773.000000,1507989325929.000000,805264326906.000000,6151604173.000000,489027918753.000000,,,70000000000.000000,70000000000.000000,640696644719.000000,3519129820480.000000,359348671153.000000,8930113618.000000,,,348645829499.000000,348645829499.000000,,,1462137913.000000,,310590123.000000,359348671153.000000,3878478491633.000000,,2000000000000.000000,,100186779370.000000,27938767026.000000,72248012344.000000,100186779370.000000,8667134.000000,2100195446504.000000,5978673938137.000000,2000000.000000
12M 2022,,,26869792306.000000,29649759112.000000,3305904780.000000,26343854332.000000,29649759112.000000,3156184555111.000000,224916487335.000000,3437620593864.000000,,15559844348.000000,14877099753.000000,682744595.000000,15559844348.000000,2589018254309.000000,73559000000.000000,766364354.000000,2297900000.000000,202202524003.000000,2883403887014.000000,6321024480878.000000,,,3579040895194.000000,,1153307673089.000000,366802945101.000000,1520110618190.000000,652535326737.000000,3817090756.000000,204520643286.000000,,,300800000000.000000,300800000000.000000,897257216225.000000,3579040895194.000000,283986140506.000000,110020718434.000000,,,172281260361.000000,172281260361.000000,,,1462804379.000000,,221357332.000000,283986140506.000000,3863027035700.000000,,2222222220000.000000,56632698985.000000,179133840115.000000,54010882540.000000,125122957575.000000,179133840115.000000,8686078.000000,2457997445178.000000,6321024480878.000000,22222222200.000000
12M 2023,,,283694481906.000000,19253948616.000000,390912136.000000,18863036480.000000,19253948616.000000,3072471608954.000000,55163337217.000000,3430583376693.000000,,70513406835.000000,8412787844.000000,62100618991.000000,70513406835.000000,2664234341641.000000,189079000000.000000,,1671200000.000000,287733694019.000000,3213231642495.000000,6643815019188.000000,,,2574442426693.000000,,578459236048.000000,714951826197.000000,1293411062245.000000,328589083403.000000,37596825613.000000,8988388119.000000,,,85707250000.000000,85707250000.000000,820149817313.000000,2574442426693.000000,1495209795852.000000,592470699195.000000,234644877675.000000,,146107200000.000000,146107200000.000000,126912759425.000000,,1346553267.000000,,393727706290.000000,1495209795852.000000,4069652222545.000000,,2222222220000.000000,56632698985.000000,295299202060.000000,54010882540.000000,241288319520.000000,295299202060.000000,8675598.000000,2574162796643.000000,6643815019188.000000,22222222200.000000
12M 2024,,,35404621650.000000,28314748930.000000,731760347.000000,27582988583.000000,28314748930.000000,3383923511644.000000,198033229719.000000,3645676111943.000000,,65159081170.000000,9169847062.000000,55989234108.000000,65159081170.000000,2674175374453.000000,202721000000.000000,,1044500000.000000,232284771659.000000,3175384727282.000000,6821060839225.000000,,,2530417979851.000000,,579703923444.000000,537054899229.000000,1116758822673.000000,221620433998.000000,43915762288.000000,101837965301.000000,,,123500000000.000000,123500000000.000000,922784995591.000000,2530417979851.000000,1673676298931.000000,493007556592.000000,268414235028.000000,,125562000000.000000,125562000000.000000,126492500000.000000,,1374308582.000000,221148070439.000000,437677628290.000000,1673676298931.000000,4204094278782.000000,,2222222220000.000000,56632698985.000000,338102921459.000000,54010882540.000000,284092038919.000000,338102921459.000000,8719999.000000,2616966560443.000000,6821060839225.000000,22222222200.000000
