Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,7 B,(29 B),(21 B),-18792.20
12M 2019,14 B,(3 B),10 B,5199.05
12M 2020,(231 B),(1 B),(233 B),-116261.40
12M 2021,(164 B),,(164 B),-82194.53
12M 2022,122 B,,122 B,5.50
12M 2023,2 B,,2 B,0.09
12M 2024,(65 B),,(65 B),-2.92
