Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Restitusi Pajak,(Peningkatan) Penurunan Rekening Bank Yang Dibataasi Penggunaannya,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Dari Rekening Bank Yang Dibatasi Penggunaannya,Penerimaan Bunga,Pembayaran Beban Bunga,Pembayaran Bagi Hasil Hotel,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tak Berwujud,Perolehan Aset Tetap,Investasi Pada Operasi Bersama,Pelepasan Saham Entitas Anak,Akuisisi Entitas Anak Baru,Penempatan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penerimaan Bunga,Pelepasan (Penambahan) Tanah Yang Belum Dikembangkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Beban Pinjaman,Penerimaan Bunga,Penerimaan Utang Lembaga Keuangan,Pembayaran Utang Lembaga Keuangan,Penerimaan Sukuk,Pembayaran Sukuk,Penerimaan Ipo,Pembayaran Ipo,Penerimaan Obligasi,Pembayaran Obligasi,Pembayaran Biaya Emisi Obligasi,Penyertaan Modal,Pembayaran Profit Sharing Hotel,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Pembayaran Pinjaman Pihak Berelasi,Penerimaan Pinjaman Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kas Dan Setara Kas Operasi Bersama,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,7400891267.000000,153390982404.000000,,,-133508526111.000000,-8482708856.000000,,655318262.000000,,,-4654174432.000000,7400891267.000000,-117693586783.000000,,-28730035361.000000,,,,,,-88963551422.000000,-117693586783.000000,216374998289.000000,5000000000.000000,,,,,,,,,,,,,104214190289.000000,,,,,107160808000.000000,216374998289.000000,8009290468.000000,114091593241.000000,,114091593241.000000
12M 2019,13886547375.000000,692128160082.000000,,,-646435340827.000000,-26669950015.000000,,2127256208.000000,-1842918898.000000,,-5420659175.000000,13886547375.000000,-888709937412.000000,,-3488442568.000000,-18912477330.000000,,-86517357394.000000,,,-779791660120.000000,-888709937412.000000,1055321349569.000000,297719157569.000000,-237000000.000000,,,,,,,,,,,,142397119483.000000,,,,,615442072517.000000,1055321349569.000000,2650574717.000000,183148534249.000000,114091593241.000000,297240127490.000000
12M 2020,-231413053813.000000,468665960466.000000,,,-627446098596.000000,-29205054234.000000,,1564832298.000000,-38789431031.000000,,-6203262716.000000,-231413053813.000000,-150735600544.000000,,-1109743585.000000,-18836643370.000000,11000000.000000,,,,-130800213589.000000,-150735600544.000000,124174740511.000000,166997886964.000000,-27470500000.000000,,,,,,,,,,,,,,-12907586594.000000,-2445059859.000000,,,124174740511.000000,5432663090.000000,-252541250756.000000,297240127490.000000,44698876734.000000
12M 2021,-164389068474.000000,774055460528.000000,56498586185.000000,,-938016326743.000000,-41348397077.000000,,2172325287.000000,-13069191439.000000,,-4681525215.000000,-164389068474.000000,-292989543188.000000,-3133500000.000000,,,,,,,-289856043188.000000,-292989543188.000000,456745074117.000000,110436284966.000000,-133613000000.000000,,,,,,,,,500000000000.000000,,,-2500000000.000000,,-15031180276.000000,-2547030573.000000,,,456745074117.000000,16465097927.000000,15831560382.000000,44698876735.000000,60530437117.000000
12M 2022,122114790322.000000,874266121466.000000,798074075.000000,-140387316635.000000,-536818562325.000000,-52214349230.000000,,,,,-23529177029.000000,122114790322.000000,-216185967905.000000,,,,,,,,-216185967905.000000,-216185967905.000000,60410532772.000000,555891900000.000000,-501456469138.000000,-78004438935.000000,1585045027.000000,,,,,278854918985.000000,,307500000000.000000,-491000000000.000000,,-3517105862.000000,,-7292957306.000000,-2150359999.000000,,,60410532772.000000,,-33660644811.000000,60530437116.000000,26869792305.000000
12M 2023,1956752242.000000,723027213927.000000,,-47425860344.000000,-763453092284.000000,-25254742976.000000,115063233919.000000,,,,,1956752242.000000,-75216087332.000000,,,,,,,,-75216087332.000000,-75216087332.000000,330084024690.000000,192587500000.000000,-433854310361.000000,-81857954484.000000,,126912759425.000000,,233270000000.000000,,,,499900000000.000000,-205500000000.000000,,,,,-1373969890.000000,,,330084024690.000000,,256824689600.000000,26869792306.000000,283694481906.000000
12M 2024,-64794636672.000000,556137559392.000000,,-29807480675.000000,-609797203027.000000,-22859820912.000000,79722884397.000000,,,-33439963433.000000,-4750612414.000000,-64794636672.000000,-128061273072.000000,,,,,,-130000000000.000000,9884121263.000000,-7945394335.000000,-128061273072.000000,-55433950512.000000,124165530800.000000,-106917980800.000000,-85946823191.000000,,6237240575.000000,-6657500000.000000,,-3604600000.000000,,,,-9000000000.000000,,,,,-1424817896.000000,,27715000000.000000,-55433950512.000000,,-248289860256.000000,283694481906.000000,35404621650.000000
