Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Peneriman Dari Penghasilan Bunga,"Pembayaran Kepada Pemasok, Karyawan Dan Lain-Lain",Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Lain-Lain,"Total Pembayaran Kepada Pemasok, Karyawan Dan Lain-Lain",Pembayaran Pajak Penghasilan,Pembayaran Kepada Pemerintah,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Biaya Pengupasan,Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Aset Tidak Lancar Lainnya,Aset Lancar Lainnya,Aset Keuangan Lancar Lainnya,Penempatan (Penarikan) Deposito Berjangka Dan Kas Dibank Yang Dibatasi Penggunaanya,Pembayaran Biaya Eksplorasi Dan Evaluasi,Pembayaran Biaya Proyek Unit Usaha,Pembayaran Biaya Properti Pertambangan,Pembayaran Jaminan Restorasi,Pengembalian Deposit Atas Reklamasi,Pembayaran Biaya Proyek Pengembangan Usaha,Penarikan Deposito Berjangka,Mutasi Properti Pertambangan,Pembayaran Uang Muka Kepada Kontraktor,Penambahan Aset Eksplorasi Dan Evaluasi,Penarikan Atas Investasi Jangka Pendek,Penerimaan Dari Penjualan Investasi Jangka Pendek,Penempatan Wesel Tagih,Pengembalian Dari Biaya Proyek Pengembangan Usaha,Penambahan Aset Minyak Dan Gas Bumi,Penempatan Investasi Jangka Pendek,Pembelian Saham,Pembayaran Uang Muka Proyek,Penurunan (Kenaikan) Piutang Pihak Berelasi,Penerimaan Dari Penyelesaian Wesel Tagih,Penerimaan Dari Utang Lain-Lain,Penerimaan Dari Piutang Lain-Lain,Kenaikan Dari Piutang Lain-Lain,Pinjaman Yang Diberikan Kepada Pihak Ketiga,Penerimaan Dari Penjualan Entitas Anak,Penerimaan Dari Pinjaman Yang Diberikan Kepada Pihak Ketiga,Penerimaan Dividen,Uang Muka Investasi,Uang Muka Pembelian Ruang Kantor,Uang Muka Proyek Pengembangan Usaha,Uang Muka Pembayaran Obligasi,Perolehan Aset Derivatif,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Terbatas,Penerimaan Dari Penawaran Umum Terbatas Entitas Anak,Pembayaran Utang Lain-Lain,Penerimaan Dari Pinjaman,Pembayaran Atas Pinjaman,Penerimaan (Pelunasan) Dari Pinjaman,Kenaikan (Penurunan) Utang Pihak Berelasi,Penarikan (Penempatan) Kas Di Bank Yang Dibatasi Penggunaannya,Pembayaran Utang Sewa Pembiayaan,Pembayaran Dividen,Biayan Emisi Saham,Kenaikan (Penurunan) Piutang Pihak Berelasi,Pembayaran Obligasi Konversi,Penerimaan Dari Penerbitan Saham Melalui Hak Memesan Efek Terlebih Dahulu,Pembayaran Sehubungan Dengan Transaksi Pembelian Kembali Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Bank Pengaruh Cash And Bank Effect Akuisisi Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,959194485.000000,3342261103.000000,2489528.000000,-1862863777.000000,,,,-1862863777.000000,-232247544.000000,-249400705.000000,-41044120.000000,959194485.000000,-1688459574.000000,-140730895.000000,-288465848.000000,,,,,-41506433.000000,,,,,,,,,,-278141020.000000,,,,,-174043118.000000,-180261614.000000,-550549960.000000,,,,,,,,,,,-34760686.000000,,,,,-1688459574.000000,757516842.000000,,,,,,1046724933.000000,,,-54123009.000000,-80667211.000000,,3768828.000000,-400000.000000,-157786699.000000,,757516842.000000,28251753.000000,,,143695527.000000,171947280.000000
12M 2009,246038514.000000,3636225048.000000,1512504.000000,-2535640340.000000,,,,-2535640340.000000,-449353105.000000,-326979400.000000,-79726193.000000,246038514.000000,-1596965790.000000,-109715792.000000,-109751125.000000,,,,,66638296.000000,,,,,,,,,,-374633031.000000,,,,,-47708856.000000,,-696889595.000000,,,,,,,,,,,-38628741.000000,,,,-286276946.000000,-1596965790.000000,1239041531.000000,,,,,,1242000914.000000,,,-82774736.000000,-96574387.000000,,-139041964.000000,367500000.000000,-52068296.000000,,1239041531.000000,-111885745.000000,,,171947280.000000,60061535.000000
12M 2010,310733493.000000,4370510396.000000,48740220.000000,-2675194676.000000,,,,-2675194676.000000,-589181901.000000,-336156767.000000,-507983779.000000,310733493.000000,-701753857.000000,-246172698.000000,-151523306.000000,,,,,-126458968.000000,,,,,,,,,,-135161408.000000,10000000.000000,,-111262598.000000,,-31462931.000000,,-35711948.000000,,,,,,,,,,126000000.000000,,,,,,-701753857.000000,584373280.000000,,,,,,833949932.000000,,,-125518223.000000,-59200044.000000,,-30258385.000000,-394600000.000000,360000000.000000,,584373280.000000,193352916.000000,,,60061535.000000,253414451.000000
12M 2011,136507009.000000,3830469635.000000,54679477.000000,-2314577700.000000,,,,-2314577700.000000,-579774949.000000,-392605769.000000,-461683685.000000,136507009.000000,-247484507.000000,,-141622769.000000,,,,,-1420749.000000,,,,,,,,,,-87724941.000000,,,,,,,,,,,,,,,,,40800000.000000,,,-57516048.000000,,,-247484507.000000,-49788423.000000,,,,,-965097281.000000,1213500279.000000,,,-79167064.000000,-98639060.000000,,-112485297.000000,-7900000.000000,,,-49788423.000000,-160765921.000000,,,229855752.000000,69089831.000000
12M 2012,240028519.000000,3829280777.000000,5046706.000000,-2368362264.000000,,,,-2368362264.000000,-391384450.000000,-287912075.000000,-546640175.000000,240028519.000000,-392121309.000000,,-289068264.000000,,,,,,,,,,,,985747.000000,,,-48502289.000000,10000000.000000,,,,,,,,-65279714.000000,-464443.000000,,,,-8248002.000000,,8455656.000000,,,,,,,-392121309.000000,128158652.000000,,,,,-752041161.000000,838539934.000000,91419832.000000,65235008.000000,-87814857.000000,-27180104.000000,,,,,,128158652.000000,-23934138.000000,,,69089831.000000,45155693.000000
12M 2013,29290917.000000,3415479396.000000,7118938.000000,-2541503797.000000,,,,-2541503797.000000,-155341801.000000,-277686806.000000,-418775013.000000,29290917.000000,112716624.000000,,-86567740.000000,83141.000000,,,,,,,,,,,2052483.000000,,,-9465492.000000,,,81034424.000000,112778779.000000,,,,,13992946.000000,,,,,-1191917.000000,,,,,,,,,112716624.000000,-139997400.000000,,,,,-151152606.000000,79333332.000000,,27904326.000000,-75768973.000000,,,-20313479.000000,,,,-139997400.000000,2010141.000000,,-1612661.000000,45155693.000000,45553173.000000
12M 2014,61065639.000000,2517692793.000000,8030015.000000,,-1887132725.000000,,,-1887132725.000000,-58664985.000000,-372600073.000000,-146259386.000000,61065639.000000,-14733764.000000,,-39943936.000000,,,,,,,,,,,,,2852433.000000,,-13664759.000000,,,,,,,,,28577917.000000,,,,,,,,,,,,,7444581.000000,-14733764.000000,-58588885.000000,,,,,-36369461.000000,61800000.000000,,36344859.000000,-87111678.000000,,,-33252605.000000,,,,-58588885.000000,-12257010.000000,,-773175.000000,45553173.000000,32522988.000000
12M 2015,-31885164.000000,11582639.000000,141793.000000,-11464292.000000,,,,-11464292.000000,-19213578.000000,,-12931726.000000,-31885164.000000,55304873.000000,,-668103.000000,85911.000000,,,,,-4690413.000000,-3383053.000000,-1448434.000000,,,,,,,,,,,,,,,,-2441035.000000,,,,,,67850000.000000,,,,,,,,55304873.000000,-21669897.000000,,,,,-55330025.000000,,33714058.000000,-53930.000000,,,,,,,,-21669897.000000,1749812.000000,,-40198.000000,6777995.000000,8487609.000000
12M 2016,-53056974.000000,24296328.000000,94833.000000,-54105466.000000,,,,-54105466.000000,-19591424.000000,,-3751245.000000,-53056974.000000,66132448.000000,,-21534.000000,9939.000000,,,,,-9441680.000000,,-2498756.000000,,,,,,,,,,,,,,,,57543767.000000,,,,,,20540712.000000,,,,,,,,66132448.000000,-18748125.000000,,,,,-18601054.000000,,-260470.000000,113399.000000,,,,,,,,-18748125.000000,-5672651.000000,,-5251.000000,8487609.000000,2809707.000000
12M 2017,-127707513.000000,897273943.000000,145547.000000,-560366623.000000,,,,-560366623.000000,-316990842.000000,-147698949.000000,-70589.000000,-127707513.000000,-31577288.000000,,-1090528.000000,,,,,,-35710695.000000,,-3179149.000000,,,,,,,,,,,,,,,,8403084.000000,,,,,,,,,,,,,,-31577288.000000,188844944.000000,,,,,-94650.000000,,188939594.000000,,,,,,,,,188844944.000000,29560143.000000,9053971.000000,-6025.000000,2809707.000000,41417796.000000
