Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.38,657.70,6.55,138.99,"4,877 B","10,441 B","15,318 B","13,435 B","(5,150 B)"
12M 2009,3.40,712.59,4.53,535.35,"4,838 B","30,912 B","35,751 B","35,186 B",(598 B)
12M 2010,4.32,700.17,5.49,551.33,"9,750 B","36,592 B","46,342 B","44,063 B","10,309 B"
12M 2011,5.61,387.78,9.13,238.22,"14,172 B","30,934 B","45,106 B","44,480 B","2,175 B"
12M 2012,8.40,70.25,-8.05,-73.25,"15,297 B","36,188 B","51,485 B","51,048 B","(2,865 B)"
12M 2013,-1.04,-289.28,-0.64,-470.30,"38,994 B","27,391 B","66,385 B","65,829 B","(33,858 B)"
12M 2014,-0.16,-505.79,-0.12,-690.42,"61,226 B","1,872 B","63,098 B","62,693 B","(55,385 B)"
12M 2015,-0.05,-1048.26,-0.05,-1048.26,"57,933 B","11,324 B","69,258 B","69,141 B","(68,040 B)"
12M 2016,-0.28,-996.18,-0.28,-996.18,"2,567 B","68,773 B","71,340 B","71,302 B","(3,159 B)"
12M 2017,-2.97,-90.93,-2.97,-90.93,"2,408 B","24,947 B","27,354 B",(561 B),"(7,781 B)"
12M 2018,-2.36,-43.65,-2.36,-43.65,"1,264 B","28,768 B","30,032 B","28,750 B","(10,109 B)"
12M 2019,-1.60,-41.14,-1.60,-41.14,"1,450 B","23,598 B","25,047 B","24,427 B","(9,993 B)"
12M 2020,-0.58,-123.79,-0.58,-123.79,994 B,"23,873 B","24,867 B","24,075 B","(12,713 B)"
12M 2021,-0.73,-92.40,-0.66,-101.70,"20,011 B","7,109 B","27,121 B","23,965 B","(30,007 B)"
12M 2022,2.43,66.28,2.51,64.24,931 B,"9,012 B","9,943 B","8,886 B","(2,339 B)"
12M 2023,1.32,64.16,1.37,62.15,"2,108 B","6,665 B","8,773 B","7,587 B","(2,215 B)"
12M 2024,1.23,95.87,1.27,92.99,"3,225 B","5,798 B","9,023 B","8,175 B",67 B
