Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Eksplorasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Keuntungan (Rugi) Atas Transaksi Derivatif,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3378393105.000000,-1765663110.000000,1612729995.000000,-510520695.000000,,-373224084.000000,-130066743.000000,-7229868.000000,-510520695.000000,1102209300.000000,-69483067.000000,,6917860.000000,-40071533.000000,,-7401025.000000,,,,-28928369.000000,-69483067.000000,1032726233.000000,-489177565.000000,543548668.000000,-171857707.000000,371690961.000000,,,371690961.000000,543548668.000000,-171857707.000000,371690961.000000,,,,
12M 2009,3219274206.000000,-2115579560.000000,1103694646.000000,-465447027.000000,,-273547302.000000,-183986787.000000,-7912938.000000,-465447027.000000,638247619.000000,-120592507.000000,,83008059.000000,-180923764.000000,-63367940.000000,57107045.000000,,76916064.000000,,-93331971.000000,-120592507.000000,517655112.000000,-233998345.000000,283656767.000000,-93208075.000000,190448692.000000,,,190448692.000000,283656767.000000,-93208075.000000,190448692.000000,,,,
12M 2010,4369920865.000000,-2744364718.000000,1625556147.000000,-526840096.000000,,-336532625.000000,-187800099.000000,-2507372.000000,-526840096.000000,1098716051.000000,-99583365.000000,107665844.000000,235795011.000000,-630339475.000000,177843172.000000,47589856.000000,,,,-38137773.000000,-99583365.000000,999132686.000000,-456133538.000000,542999148.000000,-231819601.000000,311179547.000000,,,311179547.000000,542999148.000000,-231819601.000000,311179547.000000,,,,
12M 2011,4001058461.000000,-2406860186.000000,1594198275.000000,-469938878.000000,,-295465271.000000,-173084467.000000,-1389140.000000,-469938878.000000,1124259397.000000,-525708327.000000,49732040.000000,125078806.000000,-660685662.000000,66061430.000000,4226427.000000,,-5499309.000000,,-104622059.000000,-525708327.000000,598551070.000000,-383448818.000000,215102252.000000,,215102252.000000,26234377.000000,241336629.000000,215102252.000000,220522995.000000,-5420743.000000,215102252.000000,241336629.000000,245259962.000000,-3923333.000000,241336629.000000
12M 2012,3775518192.000000,-2778275860.000000,997242332.000000,-568695181.000000,,-263773742.000000,-233587123.000000,-71334316.000000,-568695181.000000,428547151.000000,-1044112783.000000,55006419.000000,-25944657.000000,-620537761.000000,-344861978.000000,-47897183.000000,-26673340.000000,-1140742.000000,,-32063541.000000,-1044112783.000000,-615565632.000000,-90060406.000000,-705626038.000000,,-705626038.000000,7201093.000000,-698424945.000000,-705626038.000000,-666209284.000000,-39416754.000000,-705626038.000000,-698424945.000000,-658951257.000000,-39473688.000000,-698424945.000000
12M 2013,3547424427.000000,-2861220277.000000,686204150.000000,-456157035.000000,,-263291275.000000,-192865760.000000,,-456157035.000000,230047115.000000,-975286028.000000,56942150.000000,-40340672.000000,-660954644.000000,-100782434.000000,-136806919.000000,,,,-93343509.000000,-975286028.000000,-745238913.000000,85135436.000000,-660103477.000000,,-660103477.000000,-35005739.000000,-695109216.000000,-660103477.000000,-609013918.000000,-51089559.000000,-660103477.000000,-695109216.000000,-643560562.000000,-51548654.000000,-695109216.000000
12M 2014,2786067095.000000,-2298607757.000000,487459338.000000,-424502873.000000,,-220463479.000000,-204039394.000000,,-424502873.000000,62956465.000000,-372974885.000000,59325906.000000,-43921039.000000,-864160519.000000,-3446501.000000,127098786.000000,,,,352128482.000000,-372974885.000000,-310018420.000000,-155886244.000000,-465904664.000000,,-465904664.000000,-1988061.000000,-467892725.000000,-465904664.000000,-387988157.000000,-77916507.000000,-465904664.000000,-467892725.000000,-389713696.000000,-78179029.000000,-467892725.000000
12M 2015,40506538.000000,,40506538.000000,-49881338.000000,-49881338.000000,,,,-49881338.000000,-9374800.000000,-2031189826.000000,42320895.000000,43651741.000000,-453223802.000000,,504176.000000,,,,-1664442836.000000,-2031189826.000000,-2040564626.000000,-144915861.000000,-2185480487.000000,,-2185480487.000000,-906343.000000,-2186386830.000000,-2185480487.000000,-1925410201.000000,-260070286.000000,-2185480487.000000,-2186386830.000000,-1925986490.000000,-260400340.000000,-2186386830.000000
12M 2016,23372429.000000,,23372429.000000,-28758295.000000,-28758295.000000,,,,-28758295.000000,-5385866.000000,-3998166.000000,94833.000000,84252792.000000,-254825478.000000,,5105233.000000,,,,161374454.000000,-3998166.000000,-9384032.000000,129639742.000000,120255710.000000,,120255710.000000,-2503518.000000,117752192.000000,120255710.000000,67692403.000000,52563307.000000,120255710.000000,117752192.000000,65212147.000000,52540045.000000,117752192.000000
12M 2017,17366667.000000,,17366667.000000,-38437019.000000,-38437019.000000,,,,-38437019.000000,-21070352.000000,330795362.000000,78464.000000,206615438.000000,-206665993.000000,,-869342.000000,,,,331636795.000000,330795362.000000,309725010.000000,-66978827.000000,242746183.000000,,242746183.000000,-3372480.000000,239373703.000000,242746183.000000,373252504.000000,-130506321.000000,242746183.000000,239373703.000000,369880024.000000,-130506321.000000,239373703.000000
12M 2018,1111820412.000000,-965315479.000000,146504933.000000,-107867031.000000,-107867031.000000,,,,-107867031.000000,38637902.000000,128191674.000000,3472523.000000,230299145.000000,-155529931.000000,,-410866.000000,,,,50360803.000000,128191674.000000,166829576.000000,-8611227.000000,158218349.000000,,158218349.000000,558966.000000,158777315.000000,158218349.000000,220411771.000000,-62193422.000000,158218349.000000,158777315.000000,220970737.000000,-62193422.000000,158777315.000000
12M 2019,1112566618.000000,-1007483268.000000,105083350.000000,-72730736.000000,-72730736.000000,,,,-72730736.000000,32352614.000000,-51368711.000000,3517231.000000,100574738.000000,-147287546.000000,,-3449727.000000,,,,-4723407.000000,-51368711.000000,-19016097.000000,28486579.000000,9470482.000000,,9470482.000000,-3131310.000000,6339172.000000,9470482.000000,6840034.000000,2630448.000000,9470482.000000,6339172.000000,3596885.000000,2742287.000000,6339172.000000
12M 2020,790436397.000000,-698521470.000000,91914927.000000,-63442007.000000,-63442007.000000,,,,-63442007.000000,28472920.000000,-350912339.000000,4265253.000000,46854971.000000,-222509876.000000,,4636357.000000,,,,-184159044.000000,-350912339.000000,-322439419.000000,-14911550.000000,-337350969.000000,,-337350969.000000,-1989683.000000,-339340652.000000,-337350969.000000,-338023994.000000,673025.000000,-337350969.000000,-339340652.000000,-340153005.000000,812353.000000,-339340652.000000
12M 2021,1008212975.000000,-806476329.000000,201736646.000000,-77876631.000000,-77876631.000000,,,,-77876631.000000,123860015.000000,167201664.000000,575548.000000,276950485.000000,-213266427.000000,,3055708.000000,,,,99886350.000000,167201664.000000,291061679.000000,-67684665.000000,223377014.000000,,223377014.000000,-204270.000000,223172744.000000,223377014.000000,168018153.000000,55358861.000000,223377014.000000,223172744.000000,167861585.000000,55311159.000000,223172744.000000
12M 2022,1830079927.000000,-1459438981.000000,370640946.000000,-147277732.000000,-147277732.000000,,,,-147277732.000000,223363214.000000,470781694.000000,3941868.000000,641154213.000000,-161651000.000000,,8801908.000000,,,,-21465295.000000,470781694.000000,694144908.000000,-115590243.000000,578554665.000000,-21890159.000000,556664506.000000,92340.000000,556756846.000000,556664506.000000,525274341.000000,31390165.000000,556664506.000000,556756846.000000,524940964.000000,31815882.000000,556756846.000000
12M 2023,1679948765.000000,-1542653836.000000,137294929.000000,-80482691.000000,-80482691.000000,,,,-80482691.000000,56812238.000000,25537976.000000,5185511.000000,96937753.000000,-22543597.000000,,642544.000000,,,,-54684235.000000,25537976.000000,82350214.000000,-49924476.000000,32425738.000000,-5524771.000000,26900967.000000,-3742682.000000,23158285.000000,26900967.000000,10923450.000000,15977517.000000,26900967.000000,23158285.000000,7268244.000000,15890041.000000,23158285.000000
12M 2024,1359679473.000000,-1190389426.000000,169290047.000000,-108222029.000000,-108222029.000000,,,,-108222029.000000,61068018.000000,60833202.000000,7653116.000000,86348988.000000,-21075340.000000,,12789743.000000,,,,-24883305.000000,60833202.000000,121901220.000000,-28222308.000000,93678912.000000,-3545548.000000,90133364.000000,-665087.000000,89468277.000000,90133364.000000,67478079.000000,22655285.000000,90133364.000000,89468277.000000,66890938.000000,22577339.000000,89468277.000000
