Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Others,Total Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Pertambangan,Aset Minyak Dan Gas Bumi,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Eksplorasi Dan Evaluasi,Biaya Pengupasan Tanah Yang Ditangguhkan,Goodwill,Piutang Lain-Lain,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Pinjaman Dari Pemerintah Republik Indonesia,Beban Akrual,Utang Pajak,Utang Dari Pihak Berelasi,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Obligasi Konversi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,171947280.000000,298573989.000000,,298573989.000000,251010621.000000,215108053.000000,35902568.000000,251010621.000000,20833989.000000,20073597.000000,760392.000000,20833989.000000,,152697721.000000,,737510375.000000,1632573975.000000,,202178645.000000,56936122.000000,232447473.000000,878799352.000000,,285112465.000000,181329250.000000,,288543509.000000,919187291.000000,,557686000.000000,3602220107.000000,5234794082.000000,,,2102889786.000000,80000000.000000,,,80000000.000000,,109804195.000000,5187920.000000,114992115.000000,,750201855.000000,750201855.000000,,171359587.000000,605228229.000000,,,,,318184514.000000,47192805.000000,15730681.000000,381108000.000000,,,2102889786.000000,1613564755.000000,15809051.000000,161748825.000000,,766754074.000000,69844358.000000,164466361.000000,1001064793.000000,295096855.000000,101090625.000000,38754606.000000,1613564755.000000,3716454541.000000,,1400714922.000000,123059445.000000,877090093.000000,,,877090093.000000,352858621.000000,-1235383540.000000,1518339541.000000,5234794082.000000,19404000000.000000
12M 2009,,,60061535.000000,228587508.000000,,228587508.000000,266123820.000000,266123820.000000,,266123820.000000,487838249.000000,487130120.000000,708129.000000,487838249.000000,,199388258.000000,,809640221.000000,2051639591.000000,,85961632.000000,60851067.000000,856648271.000000,1139718572.000000,,332821321.000000,837409650.000000,,242767893.000000,365880978.000000,250000000.000000,1187229559.000000,5359288943.000000,7410928534.000000,,,2115257404.000000,400000000.000000,,,400000000.000000,,275225418.000000,4409130.000000,279634548.000000,,804021636.000000,804021636.000000,,216877601.000000,284188682.000000,,,,,21552836.000000,93174677.000000,15807424.000000,130534937.000000,,,2115257404.000000,3699011862.000000,30232069.000000,165867011.000000,,2305386666.000000,188717235.000000,194337626.000000,2688441527.000000,,764200000.000000,50271255.000000,3699011862.000000,5814269266.000000,,1400714922.000000,70991150.000000,970469004.000000,,,970469004.000000,125687100.000000,-971202908.000000,1596659268.000000,7410928534.000000,19404000000.000000
12M 2010,,,253414451.000000,230313935.000000,230313935.000000,230313935.000000,265534289.000000,265534289.000000,,265534289.000000,497195945.000000,496143600.000000,1052345.000000,497195945.000000,11116724.000000,168800658.000000,,1765725118.000000,3192101120.000000,,26672106.000000,,1166343494.000000,1092913685.000000,,364284252.000000,798953088.000000,,473031531.000000,343904462.000000,,1314957274.000000,5581059892.000000,8773161012.000000,,,2045477552.000000,,,,,,96252166.000000,69286737.000000,165538903.000000,,112070641.000000,112070641.000000,911650047.000000,283708018.000000,383637411.000000,,61512102.000000,,,9261038.000000,102008384.000000,16091008.000000,127360430.000000,,,2045477552.000000,4515295113.000000,93220.000000,199405033.000000,,3563325440.000000,139852464.000000,203613914.000000,3906791818.000000,,366556428.000000,42448614.000000,4515295113.000000,6560772665.000000,,1476792700.000000,354913372.000000,945293428.000000,,,945293428.000000,594662971.000000,-1159274124.000000,2212388347.000000,8773161012.000000,20773400000.000000
12M 2011,,,69089831.000000,241912050.000000,241912050.000000,241912050.000000,355296970.000000,355296970.000000,,355296970.000000,206872696.000000,202183195.000000,4689501.000000,206872696.000000,5637073.000000,157151642.000000,,1545225234.000000,2581185496.000000,,72226855.000000,,1221780302.000000,904419560.000000,,362821978.000000,837364753.000000,,,342619237.000000,,1045703568.000000,4786936253.000000,7368121749.000000,,,2341285350.000000,666396421.000000,,,666396421.000000,,113956757.000000,58239976.000000,172196733.000000,,36373632.000000,36373632.000000,785801793.000000,265705253.000000,212382472.000000,,3281250.000000,,,35323802.000000,72065008.000000,91758986.000000,199147796.000000,,,2341285350.000000,3850432723.000000,6961833.000000,30091289.000000,,2952747703.000000,89035816.000000,376857726.000000,3418641245.000000,,362584878.000000,32153478.000000,3850432723.000000,6191718073.000000,,1476792700.000000,354913372.000000,473929094.000000,230190337.000000,243738757.000000,473929094.000000,288050301.000000,-1417281791.000000,1176403676.000000,7368121749.000000,20773400000.000000
12M 2012,,,45155693.000000,246784375.000000,246784375.000000,246784375.000000,298052748.000000,298052748.000000,,298052748.000000,41715410.000000,39295125.000000,2420285.000000,41715410.000000,44906.000000,274653620.000000,,1356804056.000000,2263210808.000000,,91023010.000000,163748343.000000,1230803305.000000,1752710026.000000,,,,431061409.000000,,308277116.000000,,1113493190.000000,5091116399.000000,7354327207.000000,,,2559443581.000000,98693467.000000,,,98693467.000000,,198617580.000000,120265878.000000,318883458.000000,,68478120.000000,68478120.000000,948138192.000000,261917259.000000,143863254.000000,,,,,470246275.000000,64835095.000000,97003418.000000,632084788.000000,,87385043.000000,2559443581.000000,4402733923.000000,98881666.000000,125446954.000000,,3144995644.000000,131421777.000000,500034826.000000,3776452247.000000,,366963651.000000,34989405.000000,4402733923.000000,6962177504.000000,,1476792700.000000,-878787284.000000,-433040316.000000,417634883.000000,-850675199.000000,-433040316.000000,241235633.000000,-14051030.000000,392149703.000000,7354327207.000000,20773400000.000000
12M 2013,,,45553173.000000,,,,429997779.000000,429997779.000000,,429997779.000000,56121038.000000,55163479.000000,957559.000000,56121038.000000,,187716172.000000,,1224848615.000000,1944236777.000000,,77074970.000000,289510203.000000,1190462635.000000,1704685743.000000,,,,756018507.000000,,308277116.000000,,733642164.000000,5059671338.000000,7003908115.000000,,,4719914333.000000,195894107.000000,,,195894107.000000,,173663160.000000,75913920.000000,249577080.000000,,147178079.000000,147178079.000000,1012028374.000000,419751892.000000,170353901.000000,,,,,1563525493.000000,53491476.000000,446085483.000000,2063102452.000000,371835409.000000,90193039.000000,4719914333.000000,2586953317.000000,78568187.000000,103072761.000000,,2032136710.000000,134796912.000000,205381683.000000,2372315305.000000,,,32997064.000000,2586953317.000000,7306867650.000000,,1476792700.000000,-878787284.000000,-1042054234.000000,417634883.000000,-1459689117.000000,-1042054234.000000,189686957.000000,-48597674.000000,-302959535.000000,7003908115.000000,20773400000.000000
12M 2014,,,32522988.000000,,,,644357259.000000,644357259.000000,,644357259.000000,285850629.000000,285084286.000000,766343.000000,285850629.000000,,119465537.000000,,1264695294.000000,2346891707.000000,,48497053.000000,189235427.000000,1146541596.000000,683863808.000000,839524043.000000,,,538121991.000000,,308277116.000000,,399576177.000000,4153637211.000000,6500528918.000000,,,6798673348.000000,193897249.000000,,,193897249.000000,,593176351.000000,91172585.000000,684348936.000000,,309483194.000000,309483194.000000,728211623.000000,447918459.000000,316947063.000000,,,,,3582418484.000000,41775754.000000,14425071.000000,3638619309.000000,375000000.000000,104247515.000000,6798673348.000000,434896928.000000,67815582.000000,76390366.000000,,191768.000000,82475998.000000,176929902.000000,259597668.000000,,,31093312.000000,434896928.000000,7233570276.000000,,1614650269.000000,-672000931.000000,-1430042391.000000,417634883.000000,-1847677274.000000,-1430042391.000000,111507928.000000,-357156233.000000,-733041358.000000,6500528918.000000,20773400000.000000
12M 2015,,,8487609.000000,,,,923899.000000,,,923899.000000,515435994.000000,515435994.000000,,515435994.000000,,,,17114674.000000,541962176.000000,,49303313.000000,25859977.000000,1381209131.000000,226265069.000000,581385625.000000,,,327252279.000000,,,,261038688.000000,2852314082.000000,3394276258.000000,,,5474152654.000000,220780034.000000,,,220780034.000000,,62123508.000000,,62123508.000000,,272326767.000000,272326767.000000,,746188931.000000,193919951.000000,,,,,3603813463.000000,,,3603813463.000000,375000000.000000,,5474152654.000000,825035335.000000,820593020.000000,,,304797.000000,,,304797.000000,,,4137518.000000,825035335.000000,6299187989.000000,,1614650269.000000,-672000931.000000,-3357134759.000000,417634883.000000,-3774769642.000000,-3357134759.000000,-121684417.000000,-368741893.000000,-2904911731.000000,3394276258.000000,36627020427.000000
12M 2016,,,2809707.000000,,,,,,,,512067392.000000,512067392.000000,,512067392.000000,,,,14270121.000000,529147220.000000,,34712879.000000,155500571.000000,971751255.000000,224267330.000000,578954482.000000,,,329172150.000000,,,,278687813.000000,2573046480.000000,3102193700.000000,,,764265922.000000,190961331.000000,,,190961331.000000,,51539041.000000,,51539041.000000,,287609558.000000,287609558.000000,,31180423.000000,202881301.000000,,,,,94268.000000,,,94268.000000,,,764265922.000000,5122702585.000000,820332550.000000,,,3863798014.000000,,,3863798014.000000,,434394797.000000,4177224.000000,5122702585.000000,5886968507.000000,,1614650269.000000,-669616199.000000,-3289442356.000000,,,-3289442356.000000,-69144372.000000,-371222149.000000,-2784774807.000000,3102193700.000000,36627020427.000000
12M 2017,,,41417796.000000,,,,170397380.000000,164567895.000000,5829485.000000,170397380.000000,95393503.000000,95393503.000000,,95393503.000000,30604950.000000,,,420270056.000000,758083685.000000,,191262419.000000,88769487.000000,699245435.000000,51209742.000000,1453469109.000000,,,142919647.000000,,,,311539100.000000,2938414939.000000,3696498624.000000,,,1332440615.000000,53995367.000000,,,53995367.000000,,179102089.000000,1986664.000000,181088753.000000,,459196664.000000,459196664.000000,24092772.000000,409999109.000000,64257518.000000,,,,,99620076.000000,,36994587.000000,136614663.000000,,3195769.000000,1332440615.000000,2077707007.000000,243241105.000000,874655.000000,,1598121992.000000,,126090074.000000,1724212066.000000,,,109379181.000000,2077707007.000000,3410147622.000000,,1831873815.000000,1601087546.000000,-2916189852.000000,,,-2916189852.000000,725157050.000000,-955577557.000000,286351002.000000,3696498624.000000,65376556624.000000
