Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Distribusi Dan Transmisi,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,116303278221.000000,-78660478241.000000,37642799980.000000,-30986575840.000000,-1483496458.000000,-12725370321.000000,-15046745654.000000,-1730963407.000000,-30986575840.000000,6656224140.000000,-1293484955.000000,,-1293484955.000000,-1293484955.000000,5362739185.000000,-1762962459.000000,,-1762962459.000000,,-1762962459.000000,3599776726.000000,-31500484.000000,3568276242.000000,3599776726.000000,3574931859.000000,24844867.000000,3599776726.000000,3568276242.000000,3543431375.000000,24844867.000000,3568276242.000000
12M 2014,146772066920.000000,-92582865741.000000,54189201179.000000,-32485091842.000000,-4283264311.000000,-16009449072.000000,-15428826678.000000,3236448219.000000,-32485091842.000000,21704109337.000000,-1613560482.000000,,-1613560482.000000,-1613560482.000000,20090548855.000000,-5080886341.000000,-2276515500.000000,-2804370841.000000,,-5080886341.000000,15009662514.000000,81749967.000000,15091412481.000000,15009662514.000000,14910008236.000000,99654278.000000,15009662514.000000,15091412481.000000,14991758203.000000,99654278.000000,15091412481.000000
12M 2015,198446953169.000000,-130418030228.000000,68028922941.000000,-40676344302.000000,-1899785233.000000,-21773564115.000000,-22520519149.000000,5517524195.000000,-40676344302.000000,27352578639.000000,-1351639537.000000,,-1351639537.000000,-1351639537.000000,26000939102.000000,-8520421746.000000,-9311244000.000000,790822254.000000,,-8520421746.000000,17480517356.000000,-167699098.000000,17312818258.000000,17480517357.000000,17367124733.000000,113392624.000000,17480517357.000000,17312818259.000000,17199425635.000000,113392624.000000,17312818259.000000
12M 2016,181717040370.000000,-112575778568.000000,69141261802.000000,-33307257142.000000,-2275752014.000000,-21324085772.000000,-26538763068.000000,16831343712.000000,-33307257142.000000,35834004660.000000,-1484836913.000000,,-1484836913.000000,-1484836913.000000,34349167747.000000,-15167581796.000000,-7706398500.000000,-7461183296.000000,,-15167581796.000000,19181585951.000000,-67145599.000000,19114440352.000000,19181585950.000000,19041084968.000000,140500982.000000,19181585950.000000,19114440351.000000,18973939369.000000,140500982.000000,19114440351.000000
12M 2017,194401372299.000000,-129911004301.000000,64490367998.000000,-56318778328.000000,-5466692042.000000,-16681937105.000000,-27228810567.000000,-6941338614.000000,-56318778328.000000,8171589670.000000,-2445220253.000000,,-2445220253.000000,-2445220253.000000,5726369417.000000,-4650260398.000000,-6342687750.000000,1692427352.000000,,-4650260398.000000,1076109019.000000,-1019149472.000000,56959547.000000,1076109019.000000,1052410232.000000,23698787.000000,1076109019.000000,56959547.000000,33260760.000000,23698787.000000,56959547.000000
12M 2018,83189398933.000000,-52701997652.000000,30487401281.000000,-93874401582.000000,-1580053415.000000,-16232351960.000000,-23358326825.000000,-52703669382.000000,-93874401582.000000,-63387000301.000000,-2007559242.000000,,-2007559242.000000,-2007559242.000000,-65394559543.000000,14442148602.000000,,14442148602.000000,,14442148602.000000,-50952410941.000000,286954923.000000,-50665456018.000000,-50952410940.000000,-50747599702.000000,-204811238.000000,-50952410940.000000,-50665456017.000000,-50460644779.000000,-204811238.000000,-50665456017.000000
12M 2019,187979951916.000000,-134470172487.000000,53509779429.000000,-39476596068.000000,-2203741234.000000,-19242835498.000000,-27938014085.000000,9907994749.000000,-39476596068.000000,14033183361.000000,-2272930321.000000,,-2272930321.000000,-2272930321.000000,11760253040.000000,-4956315093.000000,-3853792750.000000,-1102522343.000000,,-4956315093.000000,6803937947.000000,-448915691.000000,6355022256.000000,6803937948.000000,6746685306.000000,57252642.000000,6803937948.000000,6355022258.000000,6297769616.000000,57252642.000000,6355022258.000000
12M 2020,198215179551.000000,-146501980317.000000,51713199234.000000,-45092216822.000000,-1219101397.000000,-18918110246.000000,-23333437096.000000,-1621568083.000000,-45092216822.000000,6620982412.000000,-2514541698.000000,,-2514541698.000000,-2514541698.000000,4106440714.000000,-3183467786.000000,-3128843740.000000,-54624046.000000,,-3183467786.000000,922972928.000000,-189920313.000000,733052615.000000,922972928.000000,888846932.000000,34125996.000000,922972928.000000,733052614.000000,698926618.000000,34125996.000000,733052614.000000
12M 2021,188475526582.000000,-135237838846.000000,53237687736.000000,-46345380900.000000,-1644027233.000000,-21566275156.000000,-20760393501.000000,-2374685010.000000,-46345380900.000000,6892306836.000000,-2454268820.000000,,-2454268820.000000,-2454268820.000000,4438038016.000000,-2592480282.000000,-3620895080.000000,1028414798.000000,,-2592480282.000000,1845557734.000000,420343212.000000,2265900946.000000,1845557734.000000,1813813416.000000,31744318.000000,1845557734.000000,2265900946.000000,2234156628.000000,31744318.000000,2265900946.000000
12M 2022,184206031069.000000,-128654126059.000000,55551905010.000000,-41118685248.000000,-1449312776.000000,-20795985923.000000,-24420370215.000000,5546983666.000000,-41118685248.000000,14433219762.000000,-3210860201.000000,,-3210860201.000000,-3210860201.000000,11222359561.000000,-4282417933.000000,-5600881880.000000,1318463947.000000,,-4282417933.000000,6939941628.000000,1307216736.000000,8247158364.000000,6939941628.000000,6869804663.000000,70136965.000000,6939941628.000000,8247158364.000000,8177021399.000000,70136965.000000,8247158364.000000
