Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Liabilitas Keuangan Lainnya,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,5317459137.000000,12790575447.000000,33291490208.000000,5554468400.000000,27737021808.000000,33291490208.000000,,851711165.000000,52251235957.000000,,7681591631.000000,105887118607.000000,59463762358.000000,,8768498796.000000,10734275882.000000,192535247274.000000,244786483231.000000,,,44902289483.000000,19229508687.000000,,8818963818.000000,,,10170515081.000000,4491449954.000000,14661965035.000000,2191851943.000000,44902289483.000000,19122515732.000000,193366235.000000,,18285732172.000000,18285732172.000000,,643417325.000000,19122515732.000000,64024805215.000000,,212400000000.000000,-33276601276.000000,982517954.000000,655761340.000000,180761678018.000000,244786483233.000000,697266668.000000
12M 2014,,,2961452887.000000,16643179396.000000,36104805308.000000,8367783500.000000,27737021808.000000,36104805308.000000,,3321878855.000000,59031316446.000000,,11258579837.000000,20979478347.000000,55637481845.000000,,5964127955.000000,,93839667984.000000,152870984430.000000,,,40732110228.000000,17505766430.000000,735300.000000,6164451674.000000,,,6644903512.000000,6178908168.000000,12823811680.000000,4237345144.000000,40732110228.000000,11968546819.000000,,,10941492030.000000,10941492030.000000,,1027054789.000000,11968546819.000000,52700657047.000000,,212400000236.000000,-113998384613.000000,1081449935.000000,687261824.000000,100170327382.000000,152870984429.000000,697266668.000000
12M 2015,,,1811753460.000000,21393141980.000000,37460481196.000000,10780293304.000000,26680187892.000000,37460481196.000000,,2674335893.000000,63339712529.000000,,13671561457.000000,20979478346.000000,64525102988.000000,,6754950210.000000,,105931093001.000000,169270805530.000000,,,53153059756.000000,13113064454.000000,,12891538142.000000,,,8844486451.000000,6535658168.000000,15380144619.000000,11768312541.000000,53153059756.000000,7381806939.000000,,,6161728477.000000,6161728477.000000,,1220078462.000000,7381806939.000000,60534866695.000000,,212400000236.000000,-105429438464.000000,1195564854.000000,569812209.000000,108735938835.000000,169270805530.000000,697266668.000000
12M 2016,,,5501030558.000000,16694257544.000000,56564718274.000000,56564718274.000000,,56564718274.000000,,1836273007.000000,80596279383.000000,,,20979478346.000000,72250832870.000000,,,,93230311216.000000,173826590599.000000,,,39503042402.000000,9587988584.000000,4562655.000000,2336554605.000000,11394171349.000000,,4764950717.000000,6422408168.000000,11187358885.000000,4992406324.000000,39503042402.000000,3623168874.000000,,,1241352000.000000,1241352000.000000,706233087.000000,1675583787.000000,3623168874.000000,43126211276.000000,,212400000236.000000,-83545103359.000000,1342815837.000000,502666610.000000,130700379324.000000,173826590600.000000,697266668.000000
12M 2017,,,7714510283.000000,11492056453.000000,50981825247.000000,50981825247.000000,,50981825247.000000,,4705562498.000000,74893954481.000000,,,8391791338.000000,65286320494.000000,1081103843.000000,,10141521449.000000,84900737124.000000,159794691605.000000,,,18509531340.000000,544767790.000000,17146690.000000,338894799.000000,7000000000.000000,,6603650281.000000,3039088000.000000,9642738281.000000,965983780.000000,18509531340.000000,10325938659.000000,,,8198407583.000000,8198407583.000000,,2127531076.000000,10325938659.000000,28835469999.000000,,212400000236.000000,-82183602117.000000,844971154.000000,-102147663.000000,130959221610.000000,159794691609.000000,697266668.000000
12M 2018,,,3382319713.000000,49420149032.000000,10655102872.000000,10655102872.000000,,10655102872.000000,,6168467411.000000,69626039028.000000,,,1001500000.000000,61211796845.000000,15427600805.000000,,,77640897650.000000,147266936678.000000,,,57704824337.000000,29188541198.000000,17155436.000000,181450459.000000,14618113873.000000,,4374392093.000000,3050110425.000000,7424502518.000000,6275060853.000000,57704824337.000000,9285133151.000000,2892000000.000000,,4112703196.000000,4112703196.000000,,2280429955.000000,9285133151.000000,66989957488.000000,,212400000235.000000,-132929914031.000000,640159914.000000,166733074.000000,80276979192.000000,147266936680.000000,697266668.000000
12M 2019,,,5026343909.000000,15411491975.000000,7566742956.000000,7566742956.000000,,7566742956.000000,32175753368.000000,12776020778.000000,72956352986.000000,,,1001500000.000000,60362921216.000000,14474717025.000000,,,75839138241.000000,148795491227.000000,,,55776736715.000000,20436131726.000000,4036390373.000000,17075157.000000,14643818787.000000,,2237151332.000000,6539088000.000000,8776239332.000000,7867081340.000000,55776736715.000000,6386753064.000000,2892000000.000000,,,,,3494753064.000000,6386753064.000000,62163489779.000000,,212400000236.000000,-131762809362.000000,697306359.000000,5297504214.000000,86632001447.000000,148795491226.000000,697266668.000000
12M 2020,,,7467392035.000000,16813123230.000000,6605214058.000000,6605214058.000000,,6605214058.000000,68887740968.000000,12099377686.000000,111872847977.000000,,,1001500000.000000,58175968463.000000,14353803368.000000,,,73531271831.000000,185404119808.000000,,,87767592238.000000,54969776531.000000,2393434073.000000,266733594.000000,14636605211.000000,,2666666664.000000,4539088000.000000,7205754664.000000,8295288165.000000,87767592238.000000,10271473507.000000,2892000000.000000,,3333333338.000000,3333333338.000000,,4046140169.000000,10271473507.000000,98039065745.000000,,212400000236.000000,-130873962430.000000,731432355.000000,5107583900.000000,87365054061.000000,185404119806.000000,697266668.000000
12M 2021,,,2783258675.000000,16982628193.000000,9890171843.000000,9890171843.000000,,9890171843.000000,28743154260.000000,9258639242.000000,67657852213.000000,,,1001500000.000000,55257719682.000000,15263659825.000000,,,71522879507.000000,139180731720.000000,,,43021745967.000000,7065012966.000000,2119994289.000000,267186008.000000,14627518688.000000,,3214711870.000000,4549088000.000000,7763799870.000000,11178234146.000000,43021745967.000000,6528030743.000000,2892000000.000000,,1292749341.000000,1292749341.000000,,2343281402.000000,6528030743.000000,49549776710.000000,,212400000236.000000,-129060149014.000000,763176673.000000,5527927115.000000,89630955010.000000,139180731720.000000,697266668.000000
12M 2022,,,10065771760.000000,18058984126.000000,9857690956.000000,9857690956.000000,,9857690956.000000,31504517590.000000,20164925046.000000,89651889478.000000,,,1001500000.000000,150725662963.000000,16213421616.000000,,,167940584579.000000,257592474057.000000,,,62933439050.000000,18083913690.000000,3173807979.000000,19683100.000000,14822151495.000000,,1613342551.000000,4720432585.000000,6333775136.000000,20500107650.000000,62933439050.000000,96780921633.000000,29281318182.000000,,66952146535.000000,66952146535.000000,,547456916.000000,96780921633.000000,159714360683.000000,,212400000236.000000,-122190344350.000000,833313638.000000,6835143850.000000,97878113374.000000,257592474057.000000,697266668.000000
