Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,12248.75,0.00,12248.75,83 B,58 B,141 B,105 B,513 B
12M 2010,0.00,11992.83,0.00,11992.83,203 B,4 B,207 B,183 B,587 B
12M 2011,0.00,127.83,0.00,127.83,251 B,17 B,268 B,208 B,834 B
12M 2012,3.60,189.06,3.60,189.06,,,,,
12M 2013,1.73,257.09,1.73,257.09,149 B,400 B,549 B,2 B,728 B
12M 2014,2.47,295.24,2.47,295.24,233 B,244 B,476 B,158 B,696 B
12M 2015,0.93,315.11,0.93,315.11,236 B,"1,197 B","1,433 B","1,055 B","1,124 B"
12M 2016,0.72,351.20,0.72,351.20,457 B,"1,242 B","1,698 B","1,256 B","1,287 B"
12M 2017,0.63,398.60,0.63,398.60,448 B,"1,074 B","1,522 B","1,020 B","1,304 B"
12M 2018,0.48,432.40,0.48,432.40,194 B,"1,703 B","1,897 B",769 B,"2,400 B"
12M 2019,0.47,463.17,0.47,463.17,111 B,"1,651 B","1,761 B","1,082 B","2,373 B"
12M 2020,0.40,451.55,0.40,451.55,174 B,"1,629 B","1,803 B","1,004 B","2,464 B"
12M 2021,0.25,445.05,0.25,445.05,321 B,"1,292 B","1,613 B","1,053 B","2,080 B"
12M 2022,0.30,448.64,0.30,448.64,185 B,"1,440 B","1,626 B","1,079 B","2,307 B"
12M 2023,0.30,452.70,0.30,452.70,147 B,"1,299 B","1,446 B","1,021 B","2,187 B"
12M 2024,0.22,458.75,0.22,458.75,147 B,"1,158 B","1,305 B",978 B,"2,055 B"
