Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Tanah Untuk Dikembangkan,Others,Total Aset Lancar,Aset Tidak Lancar,Persediaan,Investasi Pada Entitas Pengendalian Bersama,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Piutang Pihak Berelasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Utang Bank Jangka Pendek,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,35754160990.000000,2632830057.000000,,,2632830057.000000,,329691870545.000000,196251203678.000000,162552571959.000000,726882637229.000000,,,,,,76669430238.000000,328473723608.000000,11339000.000000,405154492846.000000,1132037130075.000000,,,213416765885.000000,12216135669.000000,,,12216135669.000000,11885716870.000000,5511846951.000000,82596681524.000000,160536255.000000,101045848616.000000,213416765885.000000,61175558212.000000,,,,,,,57972804007.000000,3202754205.000000,61175558212.000000,274592324097.000000,,70000000000.000000,429271000000.000000,104401471847.000000,,104401471847.000000,104401471847.000000,32476946.000000,253739857185.000000,857444805978.000000,1132037130075.000000,70000000.000000
12M 2010,,,23987727339.000000,7503693736.000000,,,7503693736.000000,,858622827854.000000,,35672730489.000000,925786979418.000000,,,,,,74510336378.000000,187104986540.000000,11339000.000000,261626661918.000000,1187413641336.000000,,,338846894539.000000,14749964946.000000,,,14749964946.000000,15466970957.000000,11243093261.000000,202781183554.000000,740232109.000000,93865449712.000000,338846894539.000000,9053751393.000000,,,,,,,4021880932.000000,5031870461.000000,9053751393.000000,347900645932.000000,,70000000000.000000,467271000000.000000,213436041022.000000,,213436041022.000000,213436041022.000000,14800992.000000,88791153390.000000,839512995404.000000,1187413641336.000000,70000000.000000
12M 2011,,,60060378361.000000,9602928392.000000,,,9602928392.000000,808109724.000000,1449707327309.000000,,39334623163.000000,1559513366949.000000,,,,,,74026554863.000000,5000000000.000000,5405501463.000000,84432056326.000000,1643945423275.000000,,,725888991789.000000,57099967700.000000,,,57099967700.000000,11894043618.000000,5379740070.000000,250909273880.000000,4674200574.000000,395931765947.000000,725888991789.000000,23189775747.000000,,,,,,,16763176332.000000,6426599415.000000,23189775747.000000,749078767536.000000,,700000000000.000000,,193852165653.000000,,193852165653.000000,193852165653.000000,55799493.000000,958690593.000000,894866655739.000000,1643945423275.000000,7000000000.000000
12M 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936170725000.000000,168700994505.000000,664135001993.000000,,664135001993.000000,664135001993.000000,145160238.000000,958690593.000000,1770110572329.000000,1770110572329.000000,9361707250.000000
12M 2013,,,547674620406.000000,80236612575.000000,,,80236612575.000000,582774200.000000,324206370492.000000,,249568560068.000000,1202268937741.000000,,2075787834818.000000,,,,76614208855.000000,5300000000.000000,301300000.000000,2158003343673.000000,3360272281414.000000,,,474544135776.000000,70973951876.000000,,,70973951876.000000,83297021226.000000,51217361701.000000,149044380780.000000,1403172201.000000,118608247992.000000,474544135776.000000,408908558909.000000,392506432428.000000,,,,,,7779121481.000000,8623005000.000000,408908558909.000000,883452694685.000000,,962904475000.000000,195434744505.000000,1316187117915.000000,164598992719.000000,1151588125196.000000,1316187117915.000000,1334558716.000000,958690593.000000,2476819586729.000000,3360272281414.000000,9629044750.000000
12M 2014,,,318129734520.000000,35784537264.000000,4156243925.000000,31628293339.000000,35784537264.000000,610296196.000000,372678462805.000000,,521339395873.000000,1248542426658.000000,,2120501951849.000000,117101144923.000000,,85871955534.000000,76569660578.000000,4100000000.000000,306300000.000000,2404451012884.000000,3652993439542.000000,,,552248267662.000000,,13731639894.000000,33548177354.000000,47279817248.000000,71462340367.000000,10773411258.000000,232742755053.000000,30044059211.000000,159945884525.000000,552248267662.000000,251243973116.000000,233592805869.000000,,,,,,9976929785.000000,7674237462.000000,251243973116.000000,803492240778.000000,,964546230000.000000,197076499505.000000,1685192041205.000000,164598992719.000000,1520593048486.000000,1685192041205.000000,1727737461.000000,958690593.000000,2849501198764.000000,3652993439542.000000,9645462300.000000
12M 2015,,,378227520732.000000,105318011498.000000,6508191746.000000,98809819752.000000,105318011498.000000,709911757.000000,365893393511.000000,,658476241632.000000,1508625079130.000000,,2736857319809.000000,172259813921.000000,,100832111316.000000,109533049116.000000,2900000000.000000,308066130.000000,3122690360292.000000,4631315439422.000000,,,384484715527.000000,,33510308286.000000,30766747911.000000,64277056197.000000,34822791248.000000,15145119737.000000,236184021277.000000,3319700158.000000,30736026910.000000,384484715527.000000,1204675451156.000000,1186987495661.000000,,,,,,10021715116.000000,7666240379.000000,1204675451156.000000,1589160166683.000000,,964731115000.000000,197261384505.000000,1877039147524.000000,165598992719.000000,1711440154805.000000,1877039147524.000000,2164935117.000000,958690593.000000,3042155272739.000000,4631315439422.000000,9647311150.000000
12M 2016,,,442482672616.000000,234223686141.000000,84510678072.000000,149713008069.000000,234223686141.000000,865063137.000000,735698298372.000000,,435342205812.000000,1848611926078.000000,,2847757282741.000000,229034990117.000000,,102162988948.000000,172432586749.000000,1700000000.000000,3673342197.000000,3356761190752.000000,5205373116830.000000,,,561897035973.000000,,7899226535.000000,9668295189.000000,17567521724.000000,47709558044.000000,22169125955.000000,456689640000.000000,1789759532.000000,15971430718.000000,561897035973.000000,1252640318550.000000,1234727738830.000000,,,,,,6913441332.000000,10999138388.000000,1252640318550.000000,1814537354523.000000,,964731115000.000000,220232492728.000000,2203170881843.000000,166598992719.000000,2036571889124.000000,2203170881843.000000,2701272736.000000,,3390835762307.000000,5205373116830.000000,9647311150.000000
12M 2017,,,502176284260.000000,349129184263.000000,58581773465.000000,290547410798.000000,349129184263.000000,689941561.000000,926615517975.000000,,266106157422.000000,2044717085481.000000,,3240528955593.000000,,123414900756.000000,137196294910.000000,162614587392.000000,500000000.000000,10029175408.000000,3674283914059.000000,5719000999540.000000,,,740813856691.000000,,36336229518.000000,11419111541.000000,47755341059.000000,589863230.000000,33533846184.000000,448384357515.000000,1261960306.000000,209288488397.000000,740813856691.000000,1130001581400.000000,1067334783862.000000,,,23520000000.000000,23520000000.000000,,6604941332.000000,32541856206.000000,1130001581400.000000,1870815438091.000000,,964731115000.000000,228952492728.000000,2651745044456.000000,192946223000.000000,2458798821456.000000,2651745044456.000000,2756909265.000000,,3848185561449.000000,5719000999540.000000,9647311150.000000
12M 2018,,,1128567996205.000000,63765661182.000000,15997757360.000000,47767903822.000000,63765661182.000000,81322743716.000000,1248314477904.000000,,233050025340.000000,2755020904347.000000,,3030285958202.000000,,,169061229449.000000,180889635342.000000,,154868824051.000000,3535105647044.000000,6290126551391.000000,,,355040758137.000000,,19495667928.000000,11949832498.000000,31445500426.000000,3773657849.000000,37271993893.000000,193886873994.000000,16877157554.000000,71785574421.000000,355040758137.000000,1763091548663.000000,1703410916496.000000,,,16000000000.000000,16000000000.000000,4565541284.000000,,39115090883.000000,1763091548663.000000,2118132306800.000000,,964731115000.000000,231153572841.000000,2975642751419.000000,192946223000.000000,2782696528419.000000,2975642751419.000000,466805331.000000,,4171994244591.000000,6290126551391.000000,9647311150.000000
