Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Final,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,232229035486.000000,-95251043263.000000,136977992223.000000,-40260511608.000000,-758559287.000000,-39501952321.000000,-40260511608.000000,96717480615.000000,26055167503.000000,,334947318.000000,334947318.000000,-201133814.000000,,,9343765284.000000,,-15853166406.000000,32430755121.000000,26055167503.000000,122772648118.000000,-13793803943.000000,108978844175.000000,-58910654749.000000,50068189426.000000,108978844175.000000,108978853462.000000,-9287.000000,108978844175.000000,50068189426.000000,50068198713.000000,-9287.000000,50068189426.000000
12M 2011,475956741240.000000,-282101696527.000000,193855044713.000000,-36133486335.000000,-2008185109.000000,-34125301226.000000,-36133486335.000000,157721558378.000000,-15193343637.000000,,1047281458.000000,1047281458.000000,1923082267.000000,,,,,-30151064610.000000,11987357248.000000,-15193343637.000000,142528214741.000000,-22953554406.000000,119574660335.000000,,119574660335.000000,119574660335.000000,119568828501.000000,5831834.000000,119574660335.000000,119574660335.000000,119568828501.000000,5831834.000000,119574660335.000000
12M 2012,965113274649.000000,-390251160327.000000,574862114322.000000,-47887947317.000000,-1418358549.000000,-46469588768.000000,-47887947317.000000,526974167005.000000,-9436595134.000000,,4118714950.000000,4118714950.000000,4836790633.000000,,449598958.000000,,,-23484970399.000000,4643270724.000000,-9436595134.000000,517537571871.000000,-47180374786.000000,470357197085.000000,,470357197085.000000,470357197085.000000,470282836340.000000,74360745.000000,470357197085.000000,470357197085.000000,470282836340.000000,74360745.000000,470357197085.000000
12M 2013,1323915722978.000000,-378213504443.000000,945702218535.000000,-62758537161.000000,-1410284352.000000,-61348252809.000000,-62758537161.000000,882943681374.000000,-71407968807.000000,,4183690339.000000,4183690339.000000,-38065179144.000000,,90487500.000000,,,-7020155214.000000,-30596812288.000000,-71407968807.000000,811535712567.000000,-66721982594.000000,744813729973.000000,,744813729973.000000,744813729973.000000,743624331495.000000,1189398478.000000,744813729973.000000,744813729973.000000,743624331495.000000,1189398478.000000,744813729973.000000
12M 2014,839637332535.000000,-259736450286.000000,579900882249.000000,-107904156385.000000,-31910305506.000000,-75993850879.000000,-107904156385.000000,471996725864.000000,-39117330132.000000,,2985214562.000000,2985214562.000000,-6473969241.000000,,,-198855077.000000,,-8685083553.000000,-26744636823.000000,-39117330132.000000,432879395732.000000,-41526492433.000000,391352903299.000000,,391352903299.000000,391352903299.000000,390959724554.000000,393178745.000000,391352903299.000000,391352903299.000000,390959724554.000000,393178745.000000,391352903299.000000
12M 2015,686980990156.000000,-201339744739.000000,485641245417.000000,-89693849803.000000,-2759974976.000000,-86933874827.000000,-89693849803.000000,395947395614.000000,-181421180567.000000,,,,,-30864632899.000000,,4590668998.000000,,-90244639650.000000,-64902577016.000000,-181421180567.000000,214526215047.000000,-2590305750.000000,211935909297.000000,2219264100.000000,214155173397.000000,211935909297.000000,211623760151.000000,312149146.000000,211935909297.000000,214155173397.000000,213842975741.000000,312197656.000000,214155173397.000000
12M 2016,824408087980.000000,-211141861204.000000,613266226776.000000,-92733012938.000000,-1906726284.000000,-90826286654.000000,-92733012938.000000,520533213838.000000,-180023076485.000000,,,,,,,-3075943079.000000,,-147121247898.000000,-29825885508.000000,-180023076485.000000,340510137353.000000,-4222258750.000000,336287878603.000000,2024498917.000000,338312377520.000000,336287878603.000000,335973461618.000000,314416985.000000,336287878603.000000,338312377520.000000,337997927033.000000,314450487.000000,338312377520.000000
12M 2017,1006096715440.000000,-285563650794.000000,720533064646.000000,-121168098513.000000,-9282112433.000000,-111885986080.000000,-121168098513.000000,599364966133.000000,-111203899400.000000,,,,,,,4161029147.000000,21785349825.000000,-160740038927.000000,23589760555.000000,-111203899400.000000,488161066733.000000,-4773579800.000000,483387486933.000000,-1667410546.000000,481720076387.000000,483387486933.000000,483331839491.000000,55647442.000000,483387486933.000000,481720076387.000000,481664439858.000000,55636529.000000,481720076387.000000
12M 2018,962801481480.000000,-271640106964.000000,691161374516.000000,-121362571593.000000,-6404971806.000000,-114957599787.000000,-121362571593.000000,569798802923.000000,-142663973425.000000,,,,,-20298111126.000000,,15560577743.000000,,-141253647916.000000,3327207874.000000,-142663973425.000000,427134829498.000000,-4597880811.000000,422536948687.000000,-2245630235.000000,420291318452.000000,422536948687.000000,422616335148.000000,-79386461.000000,422536948687.000000,420291318452.000000,420370818463.000000,-79500011.000000,420291318452.000000
12M 2019,950545546999.000000,-317295643689.000000,633249903310.000000,-126223240721.000000,-5944992687.000000,-120278248034.000000,-126223240721.000000,507026662589.000000,-120000600330.000000,,,,,-21738637515.000000,,,,-162544837559.000000,64282874744.000000,-120000600330.000000,387026062259.000000,-6873125000.000000,380152937259.000000,1027682883.000000,381180620142.000000,380152937259.000000,380177503903.000000,-24566644.000000,380152937259.000000,381180620142.000000,381205195313.000000,-24575171.000000,381180620142.000000
