Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Deposit Pelanggan,Pembayaran Kas Kepada :,Direksi Dan Karyawan,"Kontraktor,Pemasok Dan Operasional",Total Pembayaran Kas Kepada :,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak,Penerimaan/(Pembayaran) Bukan Dari Pelanggan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,(Penambahan) / Penjualan Investasi,Penambahan Investasi Pada Entitas Sepengendali,Pembayaran Uang Muka Pembelian Tanah,Pelepasan Investasi Atas Pengendalian Bersama Entitas,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Investasi Pada Aset Keuangan,Perolehan Aset Tetap,Klaim Asuransi Atas Aset Tetap,Penambahan Properti Investasi,Penambahan Deposit Garansi,Penerimaan Piutang Lain-Lain Atas Pelepasan Kepemilikan Entitas Asosiasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Invetasi,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Penerimaan Utang Bank,Penerimaan Dana Dari Penawaran Saham Perdana,Penerimaan Bersih Dari Setoran Modal,Penambahan Piutang Pihak Berelasi,Penerimaan Dari Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Dividen,Pemilik Entitas Induk,Kepentingan Nonpengendali,Total Pembayaran Dividen,Setoran Modal Dari Kepentingan Nonpengendali Pada Entitas Anak,Hasil Dari Pelaksanaan Waran Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,170780678768.000000,268288826379.000000,,,-8864270926.000000,-62196500112.000000,-71060771038.000000,334947318.000000,-14363135917.000000,-16855442061.000000,4436254087.000000,170780678768.000000,-209882207646.000000,,,-206919354972.000000,,,,-2979102674.000000,,,,,16250000.000000,,,-209882207646.000000,23529703319.000000,-32444816446.000000,152629318476.000000,,38000000000.000000,-76681994704.000000,,-57972804007.000000,,,,,,,23529703319.000000,-11766433651.000000,35754160990.000000,,23987727339.000000
12M 2011,549088660643.000000,764406934832.000000,,,-10813459048.000000,-125840882619.000000,-136654341667.000000,1047281458.000000,-29669932499.000000,-40285486279.000000,-9755795202.000000,549088660643.000000,-702700030557.000000,-4950000000.000000,,-556660307290.000000,,-338412463.000000,,-3001310804.000000,,,,,,250000000.000000,-138000000000.000000,-702700030557.000000,159684020936.000000,-128550851405.000000,176203020833.000000,,162729000000.000000,-50697148492.000000,,,,,,,,,159684020936.000000,36072651022.000000,23987727339.000000,,60060378361.000000
12M 2012,590455734781.000000,774655755975.000000,,,-19078743745.000000,-104661057048.000000,-123739800793.000000,4118714950.000000,-23324593265.000000,-38810983342.000000,-2443358744.000000,590455734781.000000,-455587541450.000000,,,-449813661865.000000,,-532317856.000000,,-5816061729.000000,,,,,574500000.000000,,,-455587541450.000000,387728750038.000000,-82213719467.000000,60000000000.000000,,409927469505.000000,5000000000.000000,,-5000000000.000000,,,,,15000000.000000,,387728750038.000000,522596943369.000000,60060378361.000000,,582657321730.000000
12M 2013,755074683512.000000,1236025547988.000000,,,-32469455972.000000,-357977539017.000000,-390446994989.000000,4183690338.000000,-33570763031.000000,-60895346230.000000,-221450564.000000,755074683512.000000,-976376153050.000000,,,-969908118210.000000,,-1136216667.000000,,-5428868173.000000,,,,,97050000.000000,,,-976376153050.000000,186318768214.000000,-121386458718.000000,351109942505.000000,,53467500000.000000,-5300000000.000000,,,-91572215573.000000,,,-91572215573.000000,,,186318768214.000000,-34982701324.000000,582657321730.000000,,547674620406.000000
12M 2014,488838984808.000000,913071638368.000000,,,-40768435976.000000,-294663892702.000000,-335432328678.000000,2985214562.000000,-32600926150.000000,-58721009213.000000,-463604081.000000,488838984808.000000,-614145719820.000000,,-117300000000.000000,-403976560777.000000,,-1240540624.000000,,-5756662885.000000,,-85871955534.000000,,,,,,-614145719820.000000,-104238150874.000000,-310894509183.000000,224127649573.000000,,3283510000.000000,,,1200000000.000000,-21954801264.000000,,,-21954801264.000000,,,-104238150874.000000,-229544885886.000000,547674620406.000000,,318129734520.000000
12M 2015,69763075060.000000,437986571247.000000,,,-46672633341.000000,-225525869467.000000,-272198502808.000000,4319041235.000000,-88393962758.000000,-25435951685.000000,13485879829.000000,69763075060.000000,-846180094799.000000,,-50568000000.000000,-738894698941.000000,,-270000000.000000,,-37920789677.000000,,-18526606181.000000,,,,,,-846180094799.000000,836514805951.000000,-424781171716.000000,1281597077089.000000,,369770000.000000,,,1200000000.000000,-21995869422.000000,,,-21995869422.000000,125000000.000000,,836514805951.000000,60097786212.000000,318129734520.000000,,378227520732.000000
12M 2016,291552350599.000000,747932643809.000000,,,-53623800621.000000,-266200321404.000000,-319824122025.000000,3372327235.000000,-110348213178.000000,-29405133862.000000,-175151380.000000,291552350599.000000,-518327564722.000000,,-110286000000.000000,-334655552337.000000,,-2185341962.000000,,-68618314966.000000,,-2716301905.000000,,,133946448.000000,,,-518327564722.000000,291030366007.000000,-270379441277.000000,571851000000.000000,,,,,1200000000.000000,-11866192716.000000,,,-11866192716.000000,225000000.000000,,291030366007.000000,64255151884.000000,378227520732.000000,,442482672616.000000
12M 2017,702187271150.000000,1066242082309.000000,,,-66183203429.000000,-146713308000.000000,-212896511429.000000,5697121482.000000,-130700631919.000000,-26329910869.000000,175121576.000000,702187271150.000000,-410590679787.000000,-31600000000.000000,,-494433219000.000000,,,,-41509174054.000000,,-36871251193.000000,,,,193822964460.000000,,-410590679787.000000,-231902979719.000000,-740221687236.000000,540595580000.000000,,,1200000000.000000,,-308500000.000000,,-33090277245.000000,-78095238.000000,-33168372483.000000,,,-231902979719.000000,59693611644.000000,442482672616.000000,,502176284260.000000
12M 2018,711924605563.000000,1112620465745.000000,,,-81667134282.000000,-185587322434.000000,-267254456716.000000,16516481258.000000,-125723540382.000000,-24237841047.000000,3496705.000000,711924605563.000000,-264426737976.000000,,,-209137826762.000000,,,,-17640057009.000000,,-37701838500.000000,,,52984295.000000,,,-264426737976.000000,178893844358.000000,-1063989799000.000000,1345471220000.000000,,,500000000.000000,,-6604941332.000000,,-96473111500.000000,-9523810.000000,-96482635310.000000,,,178893844358.000000,626391711945.000000,502176284260.000000,,1128567996205.000000
12M 2019,-24268524620.000000,411658015592.000000,,,-78720483665.000000,-214395672057.000000,-293116155722.000000,36368949979.000000,-147224292004.000000,-29822041434.000000,-2133001031.000000,-24268524620.000000,-237782098506.000000,,,-271461673090.000000,,-263587500.000000,-26436000000.000000,-16036650375.000000,,-5765381401.000000,,80636298860.000000,1544895000.000000,,,-237782098506.000000,-163550852539.000000,-191907139748.000000,112781866667.000000,,,,,,,-84413972563.000000,-11606895.000000,-84425579458.000000,,,-163550852539.000000,-425601475665.000000,1128567996205.000000,-23998433493.000000,678968087047.000000
12M 2020,195247805545.000000,723719225662.000000,,,-68462284645.000000,-321798626332.000000,-390260910977.000000,7119840899.000000,-127589862639.000000,-18282871839.000000,542384439.000000,195247805545.000000,-111835404411.000000,,,-120563985122.000000,,-476535000.000000,11000000000.000000,-1000350703.000000,,-2084230769.000000,,,1289697183.000000,,,-111835404411.000000,49877621125.000000,-533952378875.000000,583830000000.000000,,,,,,,,,,,,49877621125.000000,133290022259.000000,678968087047.000000,-13214386654.000000,799043722652.000000
12M 2021,-12674355456.000000,269615209570.000000,,,-59688456006.000000,-136313556374.000000,-196002012380.000000,17741359463.000000,-100628232262.000000,-3994724949.000000,594045102.000000,-12674355456.000000,-59329956706.000000,,,-56999762037.000000,,-105052500.000000,,-3615340800.000000,,-75000000.000000,,,1465198631.000000,,,-59329956706.000000,-160820437500.000000,-160820437500.000000,,,,,,,,,,,,,-160820437500.000000,-232824749662.000000,799043722652.000000,-6071328109.000000,560147644881.000000
12M 2022,127302617404.000000,447295903331.000000,,,-64258669678.000000,-144486006108.000000,-208744675786.000000,15961802071.000000,-107610325219.000000,-19550152536.000000,-49934457.000000,127302617404.000000,-81338213223.000000,,,-77518467742.000000,,,,-6822708219.000000,,,,,3002962738.000000,,,-81338213223.000000,-75536437500.000000,-1420828500000.000000,1345292062500.000000,,,,,,,,,,,,-75536437500.000000,-29572033319.000000,560147644881.000000,15829626667.000000,546405238229.000000
12M 2023,105336180049.000000,524244144339.000000,,,-76225787078.000000,-182563249279.000000,-258789036357.000000,21448564620.000000,-170002800132.000000,-11662527020.000000,97834599.000000,105336180049.000000,-57262690015.000000,,,-55813075353.000000,,,,-1510014662.000000,,,,,60400000.000000,,,-57262690015.000000,-166365000000.000000,-1637002500000.000000,1470496500000.000000,,,,,,,,,,141000000.000000,,-166365000000.000000,-118291509966.000000,546405238229.000000,-3548480844.000000,424565247419.000000
12M 2024,83380395003.000000,448161780872.000000,,,-70038740292.000000,-156379090992.000000,-226417831284.000000,12295705205.000000,-113108600217.000000,-37522544458.000000,-28115115.000000,83380395003.000000,-37551604774.000000,,,-34984721832.000000,,,,-3972332370.000000,,-116745000.000000,,,1522194428.000000,,,-37551604774.000000,-147063285811.000000,-147049650000.000000,,,,,,,-13635811.000000,,,-13635811.000000,,,-147063285811.000000,-101234495582.000000,424565247419.000000,3804138766.000000,327134890603.000000
