Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,338359335000.000000,-200635752000.000000,137723583000.000000,-69901624000.000000,-69901624000.000000,-69901624000.000000,67821959000.000000,13964552000.000000,1117948000.000000,4893416000.000000,,,,7953188000.000000,13964552000.000000,81786511000.000000,-21590145000.000000,60196366000.000000,,60196366000.000000,60196366000.000000,59575427000.000000,620939000.000000,60196366000.000000,60196366000.000000,59575427000.000000,620939000.000000,60196366000.000000
12M 2012,520863266000.000000,-337327465000.000000,183535801000.000000,-82738988000.000000,-82738988000.000000,-82738988000.000000,100796813000.000000,6152676000.000000,2347199000.000000,-494776000.000000,,,,4300253000.000000,6152676000.000000,106949489000.000000,-27587872000.000000,79361617000.000000,827707000.000000,80189324000.000000,79361617000.000000,79159479000.000000,202138000.000000,79361617000.000000,80189324000.000000,79987186000.000000,202138000.000000,80189324000.000000
12M 2013,686916910000.000000,-466438123000.000000,220478787000.000000,-84065879000.000000,-84065879000.000000,-84065879000.000000,136412908000.000000,37540999000.000000,4024461000.000000,2612564000.000000,,21837387000.000000,7577505000.000000,1489082000.000000,37540999000.000000,173953907000.000000,-41342757000.000000,132611150000.000000,-827707000.000000,131783443000.000000,132611150000.000000,132423217000.000000,187933000.000000,132611150000.000000,131783443000.000000,131595510000.000000,187933000.000000,131783443000.000000
12M 2014,889722966000.000000,-492154889000.000000,397568077000.000000,-114870531000.000000,-114870531000.000000,-114870531000.000000,282697546000.000000,-130122252000.000000,21167340000.000000,693189000.000000,-153898854000.000000,-4898000.000000,,1920971000.000000,-130122252000.000000,152575294000.000000,-34289422000.000000,118285872000.000000,,118285872000.000000,118285872000.000000,118285872000.000000,,118285872000.000000,118285872000.000000,118098205000.000000,187667000.000000,118285872000.000000
12M 2015,970093414000.000000,-629034289000.000000,341059125000.000000,-101149780000.000000,-101149780000.000000,-101149780000.000000,239909345000.000000,-189192888000.000000,7720195000.000000,312483000.000000,-205369309000.000000,-103000.000000,,8143846000.000000,-189192888000.000000,50716457000.000000,-18394192000.000000,32322265000.000000,2014603000.000000,34336868000.000000,32322265000.000000,32246561000.000000,75704000.000000,32322265000.000000,34336868000.000000,34257258000.000000,79610000.000000,34336868000.000000
12M 2016,618207037000.000000,-544085344000.000000,74121693000.000000,-100315508000.000000,-100315508000.000000,-100315508000.000000,-26193815000.000000,-197170761000.000000,6994324000.000000,-18763452000.000000,-190801438000.000000,-1447000.000000,,5401252000.000000,-197170761000.000000,-223364576000.000000,38624204000.000000,-184740372000.000000,513464000.000000,-184226908000.000000,-184740372000.000000,-184506275000.000000,-234097000.000000,-184740372000.000000,-184226908000.000000,-183993379000.000000,-233529000.000000,-184226908000.000000
12M 2017,304711723000.000000,-488090369000.000000,-183378646000.000000,-199361306000.000000,-199361306000.000000,-199361306000.000000,-382739952000.000000,-166051124000.000000,4522630000.000000,45575313000.000000,-187186096000.000000,-1675000.000000,,-28961296000.000000,-166051124000.000000,-548791076000.000000,56688766000.000000,-492102310000.000000,1902192000.000000,-490200118000.000000,-492102310000.000000,-491378640000.000000,-723670000.000000,-492102310000.000000,-490200118000.000000,-489476085000.000000,-724033000.000000,-490200118000.000000
12M 2018,241663924000.000000,-433242207000.000000,-191578283000.000000,-109384235000.000000,-109384235000.000000,-109384235000.000000,-300962518000.000000,-571229760000.000000,93789000.000000,641583000.000000,-153662892000.000000,-162000.000000,,-418302078000.000000,-571229760000.000000,-872192278000.000000,35372047000.000000,-836820231000.000000,5720444000.000000,-831099787000.000000,-836820231000.000000,-836372874000.000000,-447357000.000000,-836820231000.000000,-831099787000.000000,-830666100000.000000,-433687000.000000,-831099787000.000000
12M 2019,134251103000.000000,-293916663000.000000,-159665560000.000000,-103307149000.000000,-103307149000.000000,-103307149000.000000,-262972709000.000000,58464388000.000000,161315000.000000,2397215000.000000,-7038607000.000000,-4333000.000000,,62948798000.000000,58464388000.000000,-204508321000.000000,-71564621000.000000,-276072942000.000000,6597484000.000000,-269475458000.000000,-276072942000.000000,-275504960000.000000,-567982000.000000,-276072942000.000000,-269475458000.000000,-268923691000.000000,-551767000.000000,-269475458000.000000
12M 2020,21541634000.000000,-95435084000.000000,-73893450000.000000,-18270495000.000000,-18270495000.000000,-18270495000.000000,-92163945000.000000,19163386000.000000,211122000.000000,11049678000.000000,-7061921000.000000,-343000.000000,,14964850000.000000,19163386000.000000,-73000559000.000000,19778599000.000000,-53221960000.000000,1148451000.000000,-52073509000.000000,-53221960000.000000,-53126970000.000000,-94990000.000000,-53221960000.000000,-52073509000.000000,-51979604000.000000,-93905000.000000,-52073509000.000000
