Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Obligasi,Kewajiban Lembaga Keuangan Non Bank,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Kewajiban Lembaga Keuangan Non Bank,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,36496676000.000000,8452889000.000000,8452889000.000000,,8452889000.000000,44645974000.000000,619334000.000000,44026640000.000000,44645974000.000000,7261147000.000000,37094204000.000000,133950890000.000000,,1437935000.000000,,798955485000.000000,56486586000.000000,8325619000.000000,865205625000.000000,999156515000.000000,,,273242434000.000000,6318850000.000000,,60796268000.000000,10360510000.000000,71156778000.000000,3349618000.000000,19302467000.000000,13741660000.000000,,154877581000.000000,,4495480000.000000,159373061000.000000,,273242434000.000000,518777624000.000000,27072891000.000000,,436552966000.000000,5384063000.000000,,441937029000.000000,49767704000.000000,518777624000.000000,792020058000.000000,,135000000000.000000,,71048792000.000000,,71048792000.000000,71048792000.000000,1087665000.000000,,207136457000.000000,999156515000.000000,1350000000.000000
12M 2012,,,149732199000.000000,25493027000.000000,25493027000.000000,,25493027000.000000,48849008000.000000,1183377000.000000,47665631000.000000,48849008000.000000,11258791000.000000,307764754000.000000,543097779000.000000,,4409255000.000000,,1162216370000.000000,56486586000.000000,16577671000.000000,1239689882000.000000,1782787661000.000000,,,373180008000.000000,18171750000.000000,,67739671000.000000,13206587000.000000,80946258000.000000,1841505000.000000,31880180000.000000,12363507000.000000,,225180356000.000000,,2714582000.000000,227894938000.000000,81870000.000000,373180008000.000000,722783012000.000000,54971561000.000000,,606264250000.000000,2670954000.000000,,608935204000.000000,58876247000.000000,722783012000.000000,1095963020000.000000,,214560000000.000000,319938860000.000000,150208271000.000000,50000000.000000,150158271000.000000,150208271000.000000,497212000.000000,1620298000.000000,686824641000.000000,1782787661000.000000,2145600000.000000
12M 2013,,,315528381000.000000,63198173000.000000,62949240000.000000,248933000.000000,63198173000.000000,80688462000.000000,1046085000.000000,79642377000.000000,80688462000.000000,13517562000.000000,123797260000.000000,596729838000.000000,,3252404000.000000,,1393331390000.000000,122691190000.000000,21035525000.000000,1540310509000.000000,2137040347000.000000,,,575014695000.000000,203243752000.000000,,27958297000.000000,8896928000.000000,36855225000.000000,5046394000.000000,22824159000.000000,33211449000.000000,,271102745000.000000,,2670954000.000000,273773699000.000000,60017000.000000,575014695000.000000,764873568000.000000,88219131000.000000,,603585130000.000000,,,603585130000.000000,73069307000.000000,764873568000.000000,1339888263000.000000,,214560000000.000000,319938860000.000000,261175488000.000000,100000000.000000,261075488000.000000,261175488000.000000,685145000.000000,792591000.000000,797152084000.000000,2137040347000.000000,2145600000.000000
12M 2014,,,215747995000.000000,238781016000.000000,238781016000.000000,,238781016000.000000,42499379000.000000,2802937000.000000,39696442000.000000,42499379000.000000,14067183000.000000,161381412000.000000,672476985000.000000,,7517789000.000000,,2123938737000.000000,122691190000.000000,84656383000.000000,2338804099000.000000,3011281084000.000000,,,513051327000.000000,103703844000.000000,,23406649000.000000,,23406649000.000000,9445961000.000000,33880001000.000000,67591063000.000000,,274853859000.000000,,50950000.000000,274904809000.000000,119000000.000000,513051327000.000000,1605711737000.000000,113546594000.000000,,414955012000.000000,86506000.000000,989118977000.000000,1404160495000.000000,88004648000.000000,1605711737000.000000,2118763064000.000000,,214560000000.000000,319938860000.000000,353526493000.000000,100000000.000000,353426493000.000000,353526493000.000000,873012000.000000,3619655000.000000,892518020000.000000,3011281084000.000000,2145600000.000000
12M 2015,,,136500266000.000000,357491110000.000000,357491110000.000000,,357491110000.000000,62643277000.000000,8365289000.000000,54277988000.000000,62643277000.000000,14109330000.000000,47556207000.000000,618300190000.000000,,15992513000.000000,,2024182818000.000000,122691190000.000000,102640558000.000000,2265507079000.000000,2883807269000.000000,,,425777929000.000000,62257082000.000000,,17105385000.000000,,17105385000.000000,15489897000.000000,15162435000.000000,68623446000.000000,,235525345000.000000,,11495906000.000000,247021251000.000000,118433000.000000,425777929000.000000,1537045436000.000000,113903736000.000000,,307595737000.000000,18532999000.000000,991052939000.000000,1317181675000.000000,105960025000.000000,1537045436000.000000,1962823365000.000000,,214560000000.000000,319938860000.000000,381873825000.000000,100000000.000000,381773825000.000000,381873825000.000000,991564000.000000,3619655000.000000,920983904000.000000,2883807269000.000000,2145600000.000000
12M 2016,,,16248739000.000000,463743256000.000000,463743256000.000000,,463743256000.000000,92917248000.000000,19600645000.000000,73316603000.000000,92917248000.000000,9836710000.000000,129700782000.000000,712446735000.000000,,25842943000.000000,,1652122755000.000000,122691190000.000000,44159217000.000000,1844816105000.000000,2557262840000.000000,,,174751384000.000000,47997809000.000000,,19570064000.000000,,19570064000.000000,8714900000.000000,18142415000.000000,67952446000.000000,,,,12257250000.000000,12257250000.000000,116500000.000000,174751384000.000000,1645798642000.000000,76689494000.000000,,455683532000.000000,6706517000.000000,993242679000.000000,1455632728000.000000,113476420000.000000,1645798642000.000000,1820550026000.000000,,214560000000.000000,319938860000.000000,197880446000.000000,150000000.000000,197730446000.000000,197880446000.000000,713853000.000000,3619655000.000000,736712814000.000000,2557262840000.000000,2145600000.000000
12M 2017,,,8157958000.000000,293732904000.000000,293732904000.000000,,293732904000.000000,108491711000.000000,26659124000.000000,81832587000.000000,108491711000.000000,7393223000.000000,35104781000.000000,452880577000.000000,,38737447000.000000,,1393197566000.000000,93000000000.000000,32197420000.000000,1557132433000.000000,2010013010000.000000,,,535116207000.000000,32933486000.000000,,30062810000.000000,,30062810000.000000,6489527000.000000,15016742000.000000,69194047000.000000,,374702828000.000000,,6706517000.000000,381409345000.000000,10250000.000000,535116207000.000000,1228384107000.000000,32484605000.000000,,,,995720447000.000000,995720447000.000000,200179055000.000000,1228384107000.000000,1763500314000.000000,,214560000000.000000,319938860000.000000,-291595639000.000000,150000000.000000,-291745639000.000000,-291595639000.000000,-10180000.000000,3619655000.000000,246512696000.000000,2010013010000.000000,2145600000.000000
12M 2018,,,7534069000.000000,236489681000.000000,236489681000.000000,,236489681000.000000,88330640000.000000,20250528000.000000,68080112000.000000,88330640000.000000,6576606000.000000,160316071000.000000,499247067000.000000,,48786799000.000000,192152000.000000,712463928000.000000,,8335014000.000000,769777893000.000000,1269024960000.000000,,,1603238372000.000000,15741775000.000000,,33096946000.000000,,33096946000.000000,3793120000.000000,108083722000.000000,,,442506976000.000000,1000000000000.000000,,1442506976000.000000,15833000.000000,1603238372000.000000,250373679000.000000,7981249000.000000,,,,,,242392430000.000000,250373679000.000000,1853612051000.000000,,214560000000.000000,319938860000.000000,-1122261739000.000000,150000000.000000,-1122411739000.000000,-1122261739000.000000,-443867000.000000,3619655000.000000,-584587091000.000000,1269024960000.000000,2145600000.000000
12M 2019,,,19638671000.000000,92207091000.000000,92207091000.000000,,92207091000.000000,58188585000.000000,963805000.000000,57224780000.000000,58188585000.000000,1973476000.000000,37695645000.000000,209703468000.000000,,,152815000.000000,263890302000.000000,,5518746000.000000,269561863000.000000,479265331000.000000,,,720977430000.000000,9511153000.000000,,21329792000.000000,,21329792000.000000,5369999000.000000,105851543000.000000,,,,578914943000.000000,,578914943000.000000,,720977430000.000000,212350450000.000000,32937355000.000000,,,,,,179413095000.000000,212350450000.000000,933327880000.000000,,614560000000.000000,319938860000.000000,-1391185430000.000000,150000000.000000,-1391335430000.000000,-1391185430000.000000,-995634000.000000,3619655000.000000,-454062549000.000000,479265331000.000000,6145600000.000000
12M 2020,,,22468839000.000000,23933258000.000000,23933258000.000000,,23933258000.000000,51608985000.000000,557460000.000000,51051525000.000000,51608985000.000000,1087873000.000000,61100157000.000000,160199112000.000000,,,,81168836000.000000,,1934391000.000000,83103227000.000000,243302339000.000000,,,582958840000.000000,5988694000.000000,,6329121000.000000,,6329121000.000000,7821805000.000000,96717110000.000000,,,,466102110000.000000,,466102110000.000000,,582958840000.000000,180670118000.000000,8632339000.000000,,,,,,172037779000.000000,180670118000.000000,763628958000.000000,,614560000000.000000,319938860000.000000,-1457355595000.000000,150000000.000000,-1457505595000.000000,-1457355595000.000000,-1089539000.000000,3619655000.000000,-520326619000.000000,243302339000.000000,6145600000.000000
