Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,240357716470.000000,-167077021714.000000,73280694756.000000,-26019699843.000000,47260994913.000000,-34222813019.000000,231803110.000000,-34454616129.000000,,-34222813019.000000,13038181894.000000,-3091337317.000000,9946844577.000000,602783308.000000,10549627885.000000,9946844577.000000,9946844577.000000,,9946844577.000000,10549627885.000000,10549627885.000000,,10549627885.000000
12M 2020,295532059811.000000,-195281541071.000000,100250518740.000000,-30008077465.000000,70242441275.000000,-15501212483.000000,563702664.000000,-33308084524.000000,17243169377.000000,-15501212483.000000,54741228792.000000,-3546384718.000000,51194844074.000000,-794180446.000000,50400663628.000000,51194844074.000000,51194844074.000000,,51194844074.000000,50400663628.000000,50400663628.000000,,50400663628.000000
12M 2021,404097297862.000000,-241218999832.000000,162878298030.000000,-45834381986.000000,117043916044.000000,-1512023130.000000,988105448.000000,-27362002407.000000,24861873829.000000,-1512023130.000000,115531892914.000000,-3066592250.000000,112465300664.000000,6471290.000000,112471771954.000000,112465300664.000000,112465300664.000000,,112465300664.000000,112471771954.000000,112471771954.000000,,112471771954.000000
12M 2022,406469609964.0,-307158284473.0,99311325491.0,-42903194960.0,56408130531.0,2342952221.0,955740216.0,-23165379992.0,24552591997.0,2342952221.0,58751082752.0,-2828846679.0,55922236073.0,-96631408.0,55825604665.0,55922236073.0,55937986073.0,-15750000.0,55922236073.0,55825604665.0,55841354665.0,-15750000.0,55825604665.0
12M 2023,363741176938.0,-234225175112.0,129516001826.0,-48307827522.0,81208174304.0,-114122627.0,1268306479.0,-14407641216.0,13025212110.0,-114122627.0,81094051677.0,-1644016991.0,79450034686.0,-195572736.0,79254461950.0,79450034686.0,79423774742.0,26259944.0,79450034686.0,79254461950.0,79228202006.0,26259944.0,79254461950.0
12M 2024,318868834005.0,-219963010140.0,98905823865.0,-56774903360.0,42130920505.0,-11952946224.0,820706207.0,-6504322087.0,-6269330344.0,-11952946224.0,30177974281.0,-5936455505.0,24241518776.0,2370966498.0,26612485274.0,24241518776.0,24204976820.0,36541956.0,24241518776.0,26612485274.0,26575943318.0,36541956.0,26612485274.0
