Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,8689495998.000000,10805469066.000000,544897944.000000,10260571122.000000,10805469066.000000,71998250.000000,71998250.000000,71998250.000000,1760498272.000000,21327461586.000000,,,508558677527.000000,,39093100000.000000,547651777527.000000,568979239113.000000,,,92129728055.000000,,7467517433.000000,3197286485.000000,10664803918.000000,,,1366626156.000000,1366626156.000000,135066609.000000,104120000.000000,,78343872792.000000,,78343872792.000000,1515238580.000000,92129728055.000000,277491200677.000000,,215766830143.000000,,215766830143.000000,42628660067.000000,19095710467.000000,277491200677.000000,369620928732.000000,,135000000000.000000,27500000.000000,64330810381.000000,22306937716.000000,42023872665.000000,64330810381.000000,,199358310381.000000,568979239113.000000,2700000000.000000
12M 2020,,,44586893073.000000,53562815567.000000,47559244445.000000,6003571122.000000,53562815567.000000,65068000.000000,65068000.000000,65068000.000000,1719910458.000000,99934687098.000000,,,480354446236.000000,,40118400000.000000,520472846236.000000,620407533334.000000,,,105590771015.000000,,17660138731.000000,2397973404.000000,20058112135.000000,,,2360905316.000000,2360905316.000000,2689117779.000000,227795835.000000,,78343872792.000000,386916617.000000,78730789409.000000,1524050541.000000,105590771015.000000,197920763858.000000,,187819861945.000000,3122618862.000000,190942480807.000000,,6978283051.000000,197920763858.000000,303511534873.000000,,170121835100.000000,35703689352.000000,111070474009.000000,22306937716.000000,88763536293.000000,111070474009.000000,,316895998461.000000,620407533334.000000,3402436702.000000
12M 2021,,,40757452370.000000,92325671559.000000,92325671559.000000,,92325671559.000000,172213389.000000,172213389.000000,172213389.000000,4220020969.000000,137475358287.000000,,,447967641770.000000,4307008104.000000,77658007193.000000,529932657067.000000,667408015354.000000,,,110883887168.000000,,25726553591.000000,1537930725.000000,27264484316.000000,,,816797760.000000,816797760.000000,4517860920.000000,188180000.000000,,75527757444.000000,665094481.000000,76192851925.000000,1903712247.000000,110883887168.000000,125332801563.000000,,115108219849.000000,2685497557.000000,117793717406.000000,,7539084157.000000,125332801563.000000,236216688731.000000,,170622855500.000000,37026225160.000000,223542245963.000000,22406937716.000000,201135308247.000000,223542245963.000000,,431191326623.000000,667408015354.000000,3412457110.000000
12M 2022,,,141231624012.000000,62589428406.000000,62589428406.000000,,62589428406.000000,3430759000.000000,3430759000.000000,3430759000.000000,6618754250.000000,213870565668.000000,,,533294808204.000000,5779118837.000000,19721957193.000000,558795884234.000000,772666449902.000000,,,181429256697.000000,,22483654436.000000,1676096735.000000,24159751171.000000,,,72951243667.000000,72951243667.000000,5688509887.000000,322994071.000000,,76098897414.000000,288283005.000000,76387180419.000000,1919577482.000000,181429256697.000000,98885136669.000000,,87171682435.000000,2575786075.000000,89747468510.000000,,9137668159.000000,98885136669.000000,280314393366.000000,,171653057900.000000,38031148008.000000,279383600628.000000,22406937716.000000,256976662912.000000,279383600628.000000,3284250000.000000,492352056536.000000,772666449902.000000,3433061158.000000
12M 2023,,,116328520772.000000,39957390610.000000,39957390610.000000,,39957390610.000000,3425237500.000000,3425237500.000000,3425237500.000000,9121738357.000000,168832887239.000000,,,495020985690.000000,6227543467.000000,19721957193.000000,520970486350.000000,689803373589.000000,,,74520364386.000000,,7569695395.000000,1742950219.000000,9312645614.000000,,,620294966.000000,620294966.000000,1640527162.000000,285959991.000000,,59430736434.000000,531641743.000000,59962378177.000000,2698558476.000000,74520364386.000000,42744800097.000000,,28227556001.000000,2483475272.000000,30711031273.000000,53180000.000000,11980588824.000000,42744800097.000000,117265164483.000000,,172022776400.000000,38593120128.000000,358611802634.000000,22406937716.000000,336204864918.000000,358611802634.000000,3310509944.000000,572538209106.000000,689803373589.000000,3440455528.000000
12M 2024,,,73040391260.000000,87270610014.000000,87270610014.000000,,87270610014.000000,112928500.000000,112928500.000000,112928500.000000,13412230847.000000,173836160621.000000,,,455860916876.000000,,32590250774.000000,488451167650.000000,662287328271.000000,,,40174187574.000000,,13034765712.000000,2554488421.000000,15589254133.000000,,2600000.000000,826768514.000000,829368514.000000,4376627026.000000,527098334.000000,,15561196001.000000,587525390.000000,16148721391.000000,2703118176.000000,40174187574.000000,26262446317.000000,,12666360000.000000,1895949882.000000,14562309882.000000,,11700136435.000000,26262446317.000000,66436633891.000000,,172022776400.000000,38593120128.000000,385187745952.000000,22406937716.000000,362780808236.000000,385187745952.000000,47051900.000000,595850694380.000000,662287328271.000000,3440455528.000000
