Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Klaim Asuransi,Pendapatan Keuangan,Pembayaran Kepada Pemasok,Pembayaran Beban Keuangan,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Pajak Penghasilan,Pelunasan (Pemberian) Piutang Lain-Lain,Penerimaan Dari (Pembayaran Untuk) Kegiatan Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penawaran Umum Perdana Saham,Penambahan Modal,Penambahan Utang Lain-Lain,Penambahan Beban Ditangguhkan,Pelaksanaan Waran,Penambahan Utang Bank,Pembayaran Kepada Pihak Berelasi,Pembayaran Utang Bank,Beban Emisi Saham,Pembayaran Porsi Pokok Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,96979518807.000000,293749861749.000000,,231803110.000000,-141805727576.000000,-34454516129.000000,-20183720871.000000,-16178327409.000000,-4851604185.000000,21061740568.000000,-589990450.000000,96979518807.000000,-78134762100.000000,-77658100000.000000,-476662100.000000,-78134762100.000000,-37273763270.000000,750000.000000,,,,,,28126245067.000000,-65160539450.000000,-240218887.000000,,-37273763270.000000,-18429006563.000000,27118502561.000000,8689495998.000000
12M 2020,37564743784.000000,237402460503.000000,2100472800.000000,563702664.000000,-137918264447.000000,-33308084524.000000,-25281085240.000000,-18182150740.000000,-3537043694.000000,,15724736462.000000,37564743784.000000,-1709553000.000000,-1025300000.000000,-684253000.000000,-1709553000.000000,42206291.000000,73500000000.000000,,,,307024452.000000,,-42628660067.000000,-27946968198.000000,-2768781113.000000,-420408783.000000,42206291.000000,35897397075.000000,8689495998.000000,44586893073.000000
12M 2021,108099156111.000000,382387275758.000000,,988105448.000000,-180188746294.000000,-27357348296.000000,-27753047257.000000,-34882214216.000000,-5544857213.000000,,449988181.000000,108099156111.000000,-37767051193.000000,-37539607193.000000,-227444000.000000,-37767051193.000000,-74161545621.000000,,,,,1823556208.000000,,,-75527757444.000000,,-457344385.000000,-74161545621.000000,-3829440703.000000,44586893073.000000,40757452370.000000
12M 2022,121180740904.000000,459529664146.000000,,955740216.000000,-247940277575.000000,-23165379992.000000,-29737577710.000000,-32441815899.000000,-3130308445.000000,,-2889303837.000000,121180740904.000000,-8760465000.000000,-8309225000.000000,-451240000.000000,-8760465000.000000,-11946104262.000000,,,72392440892.000000,,2035125248.000000,,,-85887147444.000000,,-486522958.000000,-11946104262.000000,100474171642.000000,40757452370.000000,141231624012.000000
12M 2023,123161485159.000000,401334705512.000000,,1268306479.000000,-193930243412.000000,-14407641216.000000,-31715256917.000000,-33358092371.000000,-6085262804.000000,,54969888.000000,123161485159.000000,-559041660.000000,,-559041660.000000,-559041660.000000,-147505546739.000000,,,-72392440892.000000,,931690620.000000,,53180000.000000,-75612287414.000000,,-485689053.000000,-147505546739.000000,-24903103240.000000,141231624012.000000,116328520772.000000
12M 2024,17705694212.000000,270400063673.000000,,820706207.000000,-171381410233.000000,-6504322087.000000,-33561307911.000000,-39459121420.000000,-1190020733.000000,,-1418893284.000000,17705694212.000000,-978265547.000000,-761834890.000000,-216430657.000000,-978265547.000000,-60015558177.000000,,,-59430736434.000000,,,,-53180000.000000,,,-531641743.000000,-60015558177.000000,-43288129512.000000,116328520772.000000,73040391260.000000
