Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,97 B,(0 B),97 B,35.74
12M 2020,38 B,(1 B),37 B,10.84
12M 2021,108 B,(0 B),108 B,31.61
12M 2022,121 B,(0 B),121 B,35.17
12M 2023,123 B,(1 B),123 B,35.64
12M 2024,18 B,(0 B),17 B,5.08
