Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,98485071.000000,-80243504.000000,18241567.000000,-17817970.000000,-19068319.000000,-1088974.000000,2339323.000000,-17817970.000000,423597.000000,-1223414.000000,-636453.000000,,134093.000000,-721054.000000,,,-1223414.000000,-799817.000000,-133704.000000,-191561.000000,57857.000000,-133704.000000,-933521.000000,222904.000000,-710617.000000,-933521.000000,-918826.000000,-14695.000000,-933521.000000,-710617.000000,-692839.000000,-17778.000000,-710617.000000
12M 2017,49681160.000000,-47040400.000000,2640760.000000,-17433955.000000,-15494422.000000,-1446057.000000,-493476.000000,-17433955.000000,-14793195.000000,-797191.000000,-681260.000000,,249630.000000,-365561.000000,,,-797191.000000,-15590386.000000,3475823.000000,-163551.000000,3639374.000000,3475823.000000,-12114563.000000,-184191.000000,-12298754.000000,-12114563.000000,-12089380.000000,-25183.000000,-12114563.000000,-12298754.000000,-12272141.000000,-26613.000000,-12298754.000000
12M 2018,85593299.000000,-72854302.000000,12738997.000000,-20008321.000000,-13828983.000000,-1903179.000000,-4276159.000000,-20008321.000000,-7269324.000000,-80626.000000,162309.000000,,288554.000000,-531489.000000,,,-80626.000000,-7349950.000000,1555196.000000,-103422.000000,1658618.000000,1555196.000000,-5794754.000000,-768732.000000,-6563486.000000,-5794754.000000,-5784419.000000,-10335.000000,-5794754.000000,-6563486.000000,-6557108.000000,-6378.000000,-6563486.000000
12M 2019,143559113.000000,-117370169.000000,26188944.000000,-22310889.000000,-14484378.000000,-8135976.000000,309465.000000,-22310889.000000,3878055.000000,-292427.000000,179761.000000,,90453.000000,-562641.000000,,,-292427.000000,3585628.000000,-1940569.000000,-173757.000000,-1766812.000000,-1940569.000000,1645059.000000,1414812.000000,3059871.000000,1645059.000000,1652915.000000,-7856.000000,1645059.000000,3059871.000000,3070030.000000,-10159.000000,3059871.000000
12M 2020,126194837.000000,-105905401.000000,20289436.000000,-18436244.000000,-12543120.000000,-7387260.000000,1494136.000000,-18436244.000000,1853192.000000,-224606.000000,407976.000000,,41565.000000,-505744.000000,-168403.000000,,-224606.000000,1628586.000000,-4685823.000000,,,-4685823.000000,-3057237.000000,1384917.000000,-1672320.000000,-3057237.000000,-3063744.000000,6507.000000,-3057237.000000,-1672320.000000,-1681062.000000,8742.000000,-1672320.000000
12M 2021,93780519.000000,-83478365.000000,10302154.000000,-24577774.000000,-11590638.000000,-7377632.000000,-5609504.000000,-24577774.000000,-14275620.000000,-103035.000000,278297.000000,,36102.000000,-281660.000000,-135774.000000,,-103035.000000,-14378655.000000,-1638733.000000,,,-1638733.000000,-16017388.000000,-16368.000000,-16033756.000000,-16017388.000000,-16017016.000000,-372.000000,-16017388.000000,-16033756.000000,-16033162.000000,-594.000000,-16033756.000000
12M 2022,129215954.000000,-121080121.000000,8135833.000000,-13543613.000000,-10336665.000000,-5637736.000000,2430788.000000,-13543613.000000,-5407780.000000,-1087255.000000,-42370.000000,,40166.000000,-908648.000000,-176403.000000,,-1087255.000000,-6495035.000000,-152819.000000,,,-152819.000000,-6647854.000000,451853.000000,-6196001.000000,-6647854.000000,-6651222.000000,3368.000000,-6647854.000000,-6196001.000000,-6198367.000000,2366.000000,-6196001.000000
12M 2023,208240090.000000,-165424296.000000,42815794.000000,-21110265.000000,-11240133.000000,-9151032.000000,-719100.000000,-21110265.000000,21705529.000000,-403530.000000,41269.000000,,47130.000000,-491929.000000,,,-403530.000000,21301999.000000,-2641720.000000,,,-2641720.000000,18660279.000000,453166.000000,19113445.000000,18660279.000000,18645510.000000,14769.000000,18660279.000000,19113445.000000,19100444.000000,13001.000000,19113445.000000
12M 2024,253917160.000000,-191181287.000000,62735873.000000,-26620691.000000,-18115740.000000,-10350327.000000,1845376.000000,-26620691.000000,36115182.000000,-698333.000000,-60080.000000,,89091.000000,-727344.000000,,,-698333.000000,35416849.000000,-9206859.000000,,,-9206859.000000,26209990.000000,245307.000000,26455297.000000,26209990.000000,26209542.000000,448.000000,26209990.000000,26455297.000000,26455451.000000,-154.000000,26455297.000000
