Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Keuangan,Penerimaan Dari Penghasilan Bunga,Penerimaan Dari Tagihan Pajak Penghasilan,Penerimaan Dari Lain-Lain,Pembayaran Untuk Pajak,Penerimaan Dari Klaim Restitusi Pajak,Pembayaran Untuk Beban Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penerimaan Dividen Kas,Pengembalian (Pembayaran) Uang Jaminan,Penambahan Modal Kerja Sama,Perolehan Properti Investasi,Hasil Pelepasan Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Jangka Pendek,Pembayaran Utang Jangka Pendek,Penerimaan Utang Jangka Panjang,Pembayaran Cicilan Hutang Jangka Panjang,Pembayaran Bunga Utang,Pembayaran Dividen Kas,Penurunan Piutang Lain-Lain Kepada Pihak Ketiga,Kenaikan (Penurunan) Utang Kepada Pihak Berelasi,Pembayaran Sewa Pembiayaan,Penerimaan (Pembayaran) Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2016,24245123.000000,118842883.000000,-81881625.000000,-10085639.000000,,134093.000000,169446.000000,,-2716442.000000,,-217593.000000,24245123.000000,-1321920.000000,,239711.000000,-1684692.000000,,124705.000000,-1644.000000,,,,-1321920.000000,-10721662.000000,12503629.000000,-14136896.000000,42550.000000,-1848679.000000,-503461.000000,-7013436.000000,213822.000000,20809.000000,,,-10721662.000000,12201541.000000,25308022.000000,-370081.000000,,37139482.000000
12M 2017,2914030.000000,50429552.000000,-42910126.000000,-9086182.000000,,249630.000000,4211472.000000,1249448.000000,-1155051.000000,,-74713.000000,2914030.000000,4689672.000000,,170903.000000,-804651.000000,,5349887.000000,-26467.000000,,,,4689672.000000,-1478522.000000,3021555.000000,-2590535.000000,,-1461675.000000,-290848.000000,-22088.000000,-113043.000000,-21888.000000,,,-1478522.000000,6125180.000000,37139482.000000,48113.000000,,43312775.000000
12M 2018,-21130913.000000,74610939.000000,-90470488.000000,-7989965.000000,,288554.000000,528756.000000,2501506.000000,-56477.000000,,-543738.000000,-21130913.000000,-2993811.000000,,1101866.000000,-4107322.000000,,,11645.000000,,,,-2993811.000000,-4028590.000000,,-1521555.000000,496564.000000,-2906591.000000,-225396.000000,,135214.000000,-6826.000000,,,-4028590.000000,-28153314.000000,43312775.000000,252460.000000,,15411921.000000
12M 2019,2602328.000000,132308890.000000,-117683058.000000,-13723841.000000,,90453.000000,500653.000000,1645056.000000,-88043.000000,,-447782.000000,2602328.000000,-2625183.000000,,91474.000000,-3182414.000000,,204338.000000,163197.000000,-2895.000000,,101117.000000,-2625183.000000,-3684734.000000,,-2054563.000000,,-1011509.000000,-114859.000000,-18195.000000,-24258.000000,,-461350.000000,,-3684734.000000,-3707589.000000,15411921.000000,134878.000000,,11839210.000000
12M 2020,11890777.000000,140982069.000000,-117709258.000000,-12332199.000000,,41565.000000,614330.000000,925956.000000,-461723.000000,,-169963.000000,11890777.000000,-2352708.000000,,132938.000000,-3685672.000000,,4692.000000,70738.000000,,,1124596.000000,-2352708.000000,-1365982.000000,,-550000.000000,,,,-5747.000000,72974.000000,,,-883209.000000,-1365982.000000,8172087.000000,11839210.000000,-65793.000000,,19945504.000000
12M 2021,-5176648.000000,91913283.000000,-85100927.000000,-11882650.000000,,36102.000000,,510101.000000,-370897.000000,,-281660.000000,-5176648.000000,-5359430.000000,,21940.000000,-5464327.000000,,2095.000000,52089.000000,,,28773.000000,-5359430.000000,-724232.000000,,,,,,-17815.000000,,,,-706417.000000,-724232.000000,-11260310.000000,19945504.000000,125625.000000,,8810819.000000
12M 2022,8754100.000000,132916731.000000,-113461758.000000,-12250323.000000,,40166.000000,,2430788.000000,-315506.000000,105708.000000,-711706.000000,8754100.000000,-5887742.000000,,41116.000000,-5681833.000000,,,-247025.000000,,,,-5887742.000000,-622268.000000,,,,,,,,,,-622268.000000,-622268.000000,2244090.000000,8810819.000000,79138.000000,,11134047.000000
12M 2023,262686.000000,207963534.000000,-194799787.000000,-12381796.000000,,47130.000000,,,-188377.000000,,-378018.000000,262686.000000,-3489837.000000,,11301.000000,-3681295.000000,,,180157.000000,,,,-3489837.000000,-358816.000000,,,,,,,,,,-358816.000000,-358816.000000,-3585967.000000,11134047.000000,83183.000000,,7631263.000000
12M 2024,23232490.000000,234867910.000000,-189461007.000000,-16546919.000000,,89091.000000,,,-5031543.000000,42302.000000,-727344.000000,23232490.000000,-1863649.000000,,74488.000000,-1875417.000000,,,,,-62720.000000,,-1863649.000000,-499522.000000,,,,,,,,,,-499522.000000,-499522.000000,20869319.000000,7631263.000000,381754.000000,,28882336.000000
