Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pengembalian Pajak,Pembayaran Beban Bunga Dan Keuangan,Penerimaan (Pembayaran) Operasional Lainnya,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan (Kenaikan) Pada Uang Muka Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Hak Guna,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Setoran Modal,Imbalan Pasca Kerja,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dividen,Liabilitas Sewa,Penerimaan Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,52591877.000000,26423725366.000000,-4553675153.000000,-21373342593.000000,,,194326045.000000,-638441788.000000,52591877.000000,,,,,,,,,,,,,,,,52591877.000000,567281594.000000,619873471.000000
12M 2021,4748903136.000000,41365070399.000000,-4523921591.000000,-31500207272.000000,,,100668121.000000,-692706521.000000,4748903136.000000,-5590973298.000000,,,,-5590973298.000000,-5590973298.000000,669742998.000000,,,,,,669742998.000000,669742998.000000,,-172327164.000000,619873470.000000,447546306.000000
12M 2022,12563335727.000000,60036429622.000000,-42830782867.000000,-3550883097.000000,,,129713931.000000,-1221141862.000000,12563335727.000000,-46358919500.000000,,,,-46358919500.000000,-46358919500.000000,35491048748.000000,33125000000.000000,,-952530280.000000,-7500000000.000000,,10818579028.000000,35491048748.000000,,1695464975.000000,447546306.000000,2143011281.000000
12M 2023,7498134214.000000,74722234244.000000,-46781204851.000000,-3345761584.000000,,-3956544935.000000,-11624482308.000000,-1516106352.000000,7498134214.000000,-29234523755.000000,,6822166667.000000,,-36056690422.000000,-29234523755.000000,20343813765.000000,,,-3915151012.000000,,-5274799083.000000,29533763860.000000,20343813765.000000,,-1392575776.000000,2143011281.000000,750435505.000000
12M 2024,-6453489395.000000,89367614702.000000,-67636200363.000000,-2515340000.000000,,-10342995873.000000,-13808998436.000000,-1517569425.000000,-6453489395.000000,-8380281322.000000,,,,-8380281322.000000,-8380281322.000000,14889221007.000000,,,-12766564541.000000,,-2925714286.000000,30581499834.000000,14889221007.000000,,55450290.000000,750435505.000000,805885795.000000
