Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,619873470.000000,1505328790.000000,,6432435396.000000,,65665948.000000,8623303604.000000,,,,,,8623303604.000000,,,1458314646.000000,,1237713602.000000,1237713602.000000,150000000.000000,70601044.000000,,,1458314646.000000,476807653.000000,,476807653.000000,476807653.000000,1935122299.000000,,300000000.000000,,6388181305.000000,,6388181305.000000,6388181305.000000,,,6688181305.000000,8623303604.000000,300000000.000000
12M 2021,,,447546306.000000,2015622601.000000,,,497260945.000000,5062382558.000000,8022812410.000000,,,5201053925.000000,,5201053925.000000,13223866335.000000,,,2439334104.000000,,1725690060.000000,1725690060.000000,320178000.000000,217342044.000000,176124000.000000,,2439334104.000000,1066633499.000000,493618998.000000,573014501.000000,1066633499.000000,3505967603.000000,,300000000.000000,,9417898732.000000,,9417898732.000000,9417898732.000000,,,9717898732.000000,13223866335.000000,300000000.000000
12M 2022,,,2143011281.000000,2870471448.000000,,,1646916090.000000,1270444586.000000,7930843405.000000,,,48429600611.000000,,48429600611.000000,56360444016.000000,,,9685326702.000000,,5427955677.000000,5427955677.000000,123756861.000000,218463152.000000,3915151012.000000,,9685326702.000000,7572284204.000000,6620640734.000000,951643470.000000,7572284204.000000,17257610906.000000,,18750000000.000000,14675000000.000000,5677833110.000000,60000000.000000,5617833110.000000,5677833110.000000,,,39102833110.000000,56360444016.000000,750000000.000000
12M 2023,,,750435505.000000,3909494305.000000,540000000.000000,,2743850450.000000,1214330875.000000,9158111135.000000,,380977966.000000,77664124366.000000,865948248.000000,78911050580.000000,88069161715.000000,,,19966890444.000000,,6612369333.000000,6612369333.000000,38549056.000000,143693228.000000,12766564541.000000,405714286.000000,19966890444.000000,25399870042.000000,23387840053.000000,2012029989.000000,25399870042.000000,45366760486.000000,,18750000000.000000,14675000000.000000,9357051785.000000,811000000.000000,8546051785.000000,9357051785.000000,,-79650556.000000,42702401229.000000,88069161715.000000,750000000.000000
12M 2024,,,805885797.000000,8729454313.000000,,,3005207677.000000,1950123349.000000,14490671136.000000,,330374859.000000,97358919105.000000,3408621266.000000,101097915230.000000,115588586366.000000,,,33080231821.000000,,8139483229.000000,8139483229.000000,1227158780.000000,99077772.000000,21181848157.000000,2432663883.000000,33080231821.000000,35941696660.000000,32787491730.000000,3154204930.000000,35941696660.000000,69021928481.000000,,19687500000.000000,19175000000.000000,7586648797.000000,3750000000.000000,3836648797.000000,7586648797.000000,,117509088.000000,46566657885.000000,115588586366.000000,787500000.000000
