Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,0 B,,0 B,0.18
12M 2021,5 B,(6 B),(1 B),-2.81
12M 2022,13 B,(46 B),(34 B),-45.06
12M 2023,7 B,(36 B),(29 B),-38.08
12M 2024,(6 B),(8 B),(15 B),-18.84
