Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.30 B,7.05,0.00,0.00,,24.54%,31.64%,69.49%,
12M 2021,0.30 B,10.10,0.00,0.00,,22.91%,31.18%,40.92%,
12M 2022,0.75 B,5.01,25.15,1.55,,6.67%,9.62%,18.51%,
12M 2023,0.75 B,4.67,25.70,1.19,,3.98%,8.20%,13.40%,1.94
12M 2024,0.79 B,4.66,75.11,2.94,,3.17%,7.87%,20.63%,1.50
