Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Pinjaman Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Pinjaman Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,951842000.000000,17418287000.000000,17418287000.000000,,17418287000.000000,580333000.000000,580333000.000000,580333000.000000,50110766000.000000,1922813000.000000,70984041000.000000,,,2503218000.000000,47849565000.000000,1211689000.000000,990686000.000000,52555158000.000000,20059186000.000000,143598385000.000000,,,169734290000.000000,119629700000.000000,,28773028000.000000,28773028000.000000,,2058253000.000000,,2058253000.000000,16964102000.000000,2293144000.000000,,16063000.000000,,16063000.000000,,,169734290000.000000,151814738000.000000,,,113950909000.000000,113950909000.000000,,27108479000.000000,10755350000.000000,151814738000.000000,205429000.000000,321754457000.000000,,49118000000.000000,1437950000.000000,-220587340000.000000,,,-220587340000.000000,,-8124682000.000000,-178156072000.000000,143598385000.000000,146312474.000000
12M 2011,,,2347063000.000000,42784880000.000000,42784880000.000000,,42784880000.000000,344316000.000000,344316000.000000,344316000.000000,78434313000.000000,4659848000.000000,128570420000.000000,,,226533000.000000,33638279000.000000,1160058000.000000,740867000.000000,35765737000.000000,7534095000.000000,171870252000.000000,,,129501893000.000000,89587824000.000000,,24494379000.000000,24494379000.000000,,433352000.000000,,433352000.000000,6436022000.000000,2138715000.000000,,64001000.000000,,64001000.000000,6347600000.000000,,129501893000.000000,140103298000.000000,,112002000.000000,54754039000.000000,54866041000.000000,,74344000000.000000,10893257000.000000,140103298000.000000,,269605191000.000000,,73156237000.000000,1437950000.000000,-171914266000.000000,,,-171914266000.000000,208842000.000000,-623702000.000000,-97734939000.000000,171870252000.000000,146312474.000000
12M 2012,,,826918000.000000,64957923000.000000,64957923000.000000,,64957923000.000000,545400000.000000,545400000.000000,545400000.000000,105030045000.000000,10208759000.000000,181569045000.000000,,,2754515000.000000,246808572000.000000,1102315000.000000,406781000.000000,251072183000.000000,773646000.000000,433414874000.000000,,,174841133000.000000,68221519000.000000,,78605071000.000000,78605071000.000000,,490642000.000000,,490642000.000000,14513601000.000000,786665000.000000,,464890000.000000,5473245000.000000,5938135000.000000,6285500000.000000,,174841133000.000000,171647798000.000000,,616196000.000000,81993914000.000000,82610110000.000000,,77360000000.000000,11677688000.000000,171647798000.000000,,346488931000.000000,,73156237000.000000,1437950000.000000,6198823000.000000,,,6198823000.000000,222629000.000000,5910304000.000000,86925943000.000000,433414874000.000000,146312474.000000
12M 2013,,,263460.000000,5936733.000000,5936733.000000,,5936733.000000,127021.000000,127021.000000,127021.000000,11317929.000000,460298.000000,18105441.000000,,,123473.000000,27040038.000000,145399.000000,71721.000000,27380631.000000,74662.000000,45560734.000000,,,17972500.000000,10121428.000000,,4200894.000000,4200894.000000,,186444.000000,,186444.000000,923833.000000,126946.000000,,112305.000000,666660.000000,778965.000000,,1633990.000000,17972500.000000,17151382.000000,,128407.000000,8006327.000000,8134734.000000,,8000000.000000,1016648.000000,17151382.000000,,35123882.000000,,8817516.000000,158574.000000,1533693.000000,65773.000000,1467920.000000,1533693.000000,22883.000000,-95814.000000,10436852.000000,45560734.000000,160817474.000000
12M 2014,,,245047.000000,7886535.000000,7886535.000000,,7886535.000000,151928.000000,151928.000000,151928.000000,11243124.000000,238200.000000,19764834.000000,,,143876.000000,25908395.000000,126658.000000,277848.000000,26456777.000000,74662.000000,46296273.000000,,,19707005.000000,12609729.000000,,2350596.000000,2350596.000000,,33378.000000,,33378.000000,1279931.000000,78426.000000,,88285.000000,1666660.000000,1754945.000000,1600000.000000,,19707005.000000,13885927.000000,,36978.000000,6408554.000000,6445532.000000,,6400000.000000,1040395.000000,13885927.000000,,33592932.000000,,8817516.000000,158574.000000,3782091.000000,137581.000000,3644510.000000,3782091.000000,1048.000000,-55888.000000,12703341.000000,46296273.000000,160817474.000000
12M 2015,,,3459153.000000,9540038.000000,9540038.000000,,9540038.000000,186539.000000,186539.000000,186539.000000,12762639.000000,767777.000000,26716146.000000,,,441134.000000,25500386.000000,147471.000000,185624.000000,26274615.000000,,52990761.000000,,,21234332.000000,14226301.000000,,1911299.000000,1911299.000000,,202738.000000,,202738.000000,1827831.000000,86157.000000,,33346.000000,2946660.000000,2980006.000000,,,21234332.000000,14620407.000000,,,10861894.000000,10861894.000000,,1600000.000000,2158513.000000,14620407.000000,,35854739.000000,,8817516.000000,158574.000000,8214499.000000,362421.000000,7852078.000000,8214499.000000,1048.000000,-55615.000000,17136022.000000,52990761.000000,160817474.000000
12M 2016,,,3498245.000000,5403449.000000,5403449.000000,,5403449.000000,103660.000000,103660.000000,103660.000000,11918765.000000,540057.000000,21464176.000000,,,743751.000000,29898771.000000,160129.000000,392170.000000,31194821.000000,,52658997.000000,,,16919686.000000,11967078.000000,,1591169.000000,1591169.000000,,32811.000000,,32811.000000,1465250.000000,119837.000000,,74656.000000,1668885.000000,1743541.000000,,,16919686.000000,15738028.000000,,146482.000000,4160000.000000,4306482.000000,,8600000.000000,2831546.000000,15738028.000000,,32657714.000000,,8817516.000000,158574.000000,9557464.000000,889150.000000,8668314.000000,9557464.000000,1048.000000,1466681.000000,20001283.000000,52658997.000000,1286539792.000000
12M 2017,,,1645054.000000,7790126.000000,7790126.000000,,7790126.000000,147851.000000,147851.000000,147851.000000,16832472.000000,1598758.000000,28014261.000000,,,904654.000000,29566847.000000,151680.000000,621427.000000,31244608.000000,,59258869.000000,,,26955857.000000,19797433.000000,,3222167.000000,3222167.000000,,24807.000000,,24807.000000,1761721.000000,89302.000000,,80427.000000,1280000.000000,1360427.000000,700000.000000,,26955857.000000,14426005.000000,,64844.000000,2880000.000000,2944844.000000,,7900000.000000,3581161.000000,14426005.000000,,41381862.000000,,8817516.000000,158574.000000,7449712.000000,1045086.000000,6404626.000000,7449712.000000,1048.000000,1450158.000000,17877008.000000,59258870.000000,1286539792.000000
12M 2018,,,863429.000000,8582865.000000,8582865.000000,,8582865.000000,4831280.000000,4831280.000000,4831280.000000,13572495.000000,2299026.000000,30149095.000000,,,882363.000000,31300424.000000,159353.000000,94619.000000,32436759.000000,,62585854.000000,,,29906222.000000,21976389.000000,,3550787.000000,3550787.000000,,180874.000000,,180874.000000,1932235.000000,194591.000000,,60708.000000,1280000.000000,1340708.000000,,730638.000000,29906222.000000,13664816.000000,,,1600000.000000,1600000.000000,,8600000.000000,3464816.000000,13664816.000000,,43571038.000000,,8817516.000000,158574.000000,8887654.000000,1045086.000000,7842568.000000,8887654.000000,1048.000000,1150024.000000,19014816.000000,62585854.000000,1286539792.000000
12M 2019,,,2821306.000000,10377323.000000,10377323.000000,,10377323.000000,1169569.000000,1169569.000000,1169569.000000,21032342.000000,2010277.000000,37410817.000000,,,526828.000000,33227069.000000,171106.000000,87148.000000,34012151.000000,,71422968.000000,,,34699482.000000,24420812.000000,,5450738.000000,5450738.000000,114647.000000,,,114647.000000,3313807.000000,119478.000000,,,1280000.000000,1280000.000000,,,34699482.000000,17161070.000000,,,320000.000000,320000.000000,,13600000.000000,3241070.000000,17161070.000000,,51860552.000000,,8817516.000000,158574.000000,9448988.000000,1151060.000000,8297928.000000,9448988.000000,1048.000000,1136290.000000,19562416.000000,71422968.000000,1286539792.000000
12M 2020,,,3422037.000000,7940412.000000,7940412.000000,,7940412.000000,1175357.000000,1175357.000000,1175357.000000,20706467.000000,1387213.000000,34631486.000000,,,405538.000000,33141996.000000,198144.000000,187494.000000,33933172.000000,,68564658.000000,,,33954907.000000,23592423.000000,,5561911.000000,5561911.000000,159795.000000,,,159795.000000,2903645.000000,135883.000000,,,320000.000000,320000.000000,1281250.000000,,33954907.000000,16367100.000000,,,,,,12318750.000000,4048350.000000,16367100.000000,,50322007.000000,,8817516.000000,158574.000000,8143106.000000,1235218.000000,6907888.000000,8143106.000000,1048.000000,1122407.000000,18242651.000000,68564658.000000,1286539792.000000
12M 2021,,,3986427.000000,7456778.000000,7456778.000000,,7456778.000000,1276258.000000,1276258.000000,1276258.000000,24570565.000000,1260604.000000,38550632.000000,,,248839.000000,33589088.000000,190879.000000,118499.000000,34147305.000000,,72697937.000000,,,35494506.000000,27943463.000000,,4063919.000000,4063919.000000,29206.000000,,,29206.000000,3186457.000000,271461.000000,,,,,,,35494506.000000,17289886.000000,,,,,,13600000.000000,3689886.000000,17289886.000000,,52784392.000000,,8817516.000000,158574.000000,9827875.000000,1235218.000000,8592657.000000,9827875.000000,1048.000000,1108532.000000,19913545.000000,72697937.000000,1286539792.000000
12M 2022,,,1129371.000000,13006622.000000,13006622.000000,,13006622.000000,204976.000000,204976.000000,204976.000000,28871628.000000,1444835.000000,44657432.000000,,,85892.000000,33681944.000000,176670.000000,114712.000000,34059218.000000,,78716650.000000,,,37852787.000000,28361789.000000,,5720642.000000,5720642.000000,28691.000000,,,28691.000000,3195976.000000,538115.000000,,6884.000000,,6884.000000,,690.000000,37852787.000000,17354901.000000,,,,,,13600000.000000,3754901.000000,17354901.000000,,55207688.000000,,8817516.000000,158574.000000,13437366.000000,1393582.000000,12043784.000000,13437366.000000,1048.000000,1094458.000000,23508962.000000,78716650.000000,1286539792.000000
12M 2023,,,3468645.000000,15626495.000000,15625912.000000,583.000000,15626495.000000,157528.000000,157528.000000,157528.000000,23819210.000000,1601450.000000,44673328.000000,,31613.000000,160226.000000,34581465.000000,155039.000000,162679.000000,35091022.000000,,79764350.000000,,,34948205.000000,24681950.000000,,6207624.000000,6207624.000000,42438.000000,,,42438.000000,3147436.000000,265453.000000,,,600000.000000,600000.000000,,3304.000000,34948205.000000,19743654.000000,,,2150000.000000,2150000.000000,,13000000.000000,4593654.000000,19743654.000000,,54691859.000000,,8817516.000000,158574.000000,15014682.000000,1785201.000000,13229481.000000,15014682.000000,1048.000000,1080671.000000,25072491.000000,79764350.000000,1286539792.000000
12M 2024,,,3869985.000000,15346807.000000,15306521.000000,40286.000000,15346807.000000,335645.000000,335645.000000,335645.000000,25531267.000000,2317555.000000,47401259.000000,,132171.000000,44721.000000,34762883.000000,125574.000000,343884.000000,35409233.000000,,82810492.000000,,,38995799.000000,26959423.000000,,5713105.000000,5713105.000000,,66395.000000,44934.000000,111329.000000,3564547.000000,259017.000000,,37157.000000,600000.000000,637157.000000,1747917.000000,3304.000000,38995799.000000,16958766.000000,,60347.000000,1550000.000000,1610347.000000,,11252083.000000,4096336.000000,16958766.000000,,55954565.000000,,8817516.000000,158574.000000,16812102.000000,2058285.000000,14753817.000000,16812102.000000,1048.000000,1066687.000000,26855927.000000,82810492.000000,1286539792.000000
