Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Klaim,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Pendapatan Bunga,Beban Keuangan,Beban Bunga,Others,Total Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,257516503000.000000,-225838545000.000000,31677958000.000000,-30416789000.000000,-13355758000.000000,-20307131000.000000,-287869000.000000,3533969000.000000,-30416789000.000000,1261169000.000000,83171389000.000000,103482000.000000,,,-13137556000.000000,-163581000.000000,-13301137000.000000,186173000.000000,36252000.000000,,96146619000.000000,83171389000.000000,84432558000.000000,-2359381000.000000,-161354000.000000,-2198027000.000000,-2359381000.000000,82073177000.000000,-24593000.000000,82048584000.000000,5677102000.000000,5677102000.000000,5677102000.000000,87725686000.000000,82048584000.000000,82077828000.000000,-29244000.000000,82048584000.000000,87725686000.000000,87755833000.000000,-30147000.000000,87725686000.000000
12M 2012,467537138000.000000,-444065154000.000000,23471984000.000000,-31815757000.000000,-11383862000.000000,-19482147000.000000,-2091979000.000000,1142231000.000000,-31815757000.000000,-8343773000.000000,12150204000.000000,13182000.000000,,,-6853623000.000000,-2154294000.000000,-9007917000.000000,31493000.000000,-20860000.000000,,21134306000.000000,12150204000.000000,3806431000.000000,2389485000.000000,-173834000.000000,2563319000.000000,2389485000.000000,6195916000.000000,,6195916000.000000,5062280000.000000,5062280000.000000,5062280000.000000,11258196000.000000,6195916000.000000,6198823000.000000,-2907000.000000,6195916000.000000,11258196000.000000,11247163000.000000,11033000.000000,11258196000.000000
12M 2013,56984140.000000,-52639640.000000,4344500.000000,-2762312.000000,-1274890.000000,-1848061.000000,-121344.000000,481983.000000,-2762312.000000,1582188.000000,-682652.000000,218337.000000,1108.000000,,-921186.000000,-235780.000000,-1156966.000000,255139.000000,-270.000000,,,-682652.000000,899536.000000,-181593.000000,-20215.000000,-161378.000000,-181593.000000,717943.000000,,717943.000000,-20331.000000,-20331.000000,-20331.000000,697612.000000,717943.000000,718083.000000,-140.000000,717943.000000,697612.000000,697752.000000,-140.000000,697612.000000
12M 2014,54432884.000000,-48323491.000000,6109393.000000,-2654337.000000,-816574.000000,-1875570.000000,-42201.000000,80008.000000,-2654337.000000,3455056.000000,-1206196.000000,168387.000000,1274.000000,,-850027.000000,-237273.000000,-1087300.000000,40493.000000,,-329050.000000,,-1206196.000000,2248860.000000,-462.000000,-20864.000000,20402.000000,-462.000000,2248398.000000,,2248398.000000,45885.000000,45885.000000,45885.000000,2294283.000000,2248398.000000,2248398.000000,,2248398.000000,2294283.000000,2294283.000000,,2294283.000000
12M 2015,69181934.000000,-60141082.000000,9040852.000000,-2930823.000000,-1077845.000000,-1818909.000000,-50486.000000,16417.000000,-2930823.000000,6110029.000000,-787618.000000,238920.000000,1830.000000,,-862176.000000,-238920.000000,-1101096.000000,72728.000000,,,,-787618.000000,5322411.000000,-971.000000,-19935.000000,18964.000000,-971.000000,5321440.000000,-54151.000000,5267289.000000,77176.000000,77176.000000,77176.000000,5344465.000000,5267289.000000,5267289.000000,,5267289.000000,5344465.000000,5344465.000000,,5344465.000000
12M 2016,70555051.000000,-64146528.000000,6408523.000000,-3143035.000000,-1080922.000000,-2062211.000000,-9073.000000,9171.000000,-3143035.000000,3265488.000000,-1093875.000000,-179462.000000,2444.000000,,-907478.000000,-467559.000000,-1375037.000000,547875.000000,-89695.000000,,,-1093875.000000,2171613.000000,-612258.000000,-837245.000000,224987.000000,-612258.000000,1559355.000000,,1559355.000000,1305906.000000,1305906.000000,1305906.000000,2865261.000000,1559355.000000,1559355.000000,,1559355.000000,2865261.000000,2865261.000000,,2865261.000000
12M 2017,71671310.000000,-68363151.000000,3308159.000000,-3993431.000000,-1753145.000000,-2230352.000000,-21427.000000,11493.000000,-3993431.000000,-685272.000000,-1106634.000000,,1676.000000,,-1157894.000000,,-1157894.000000,49584.000000,,,,-1106634.000000,-1791906.000000,29428.000000,-10884.000000,40312.000000,29428.000000,-1762478.000000,,-1762478.000000,-361798.000000,-361798.000000,-361798.000000,-2124276.000000,-1762477.000000,-1762477.000000,,-1762477.000000,-2124275.000000,-2124275.000000,,-2124275.000000
12M 2018,75869418.000000,-69452702.000000,6416716.000000,-4081372.000000,-1741618.000000,-2390886.000000,-65820.000000,116952.000000,-4081372.000000,2335344.000000,-1063251.000000,,1359.000000,,-1244272.000000,,-1244272.000000,179662.000000,,,,-1063251.000000,1272093.000000,-212349.000000,-190057.000000,-22292.000000,-212349.000000,1059744.000000,,1059744.000000,78064.000000,78064.000000,78064.000000,1137808.000000,1059744.000000,1059744.000000,,1059744.000000,1137808.000000,1137808.000000,,1137808.000000
12M 2019,86361445.000000,-78446255.000000,7915190.000000,-5315557.000000,-1757134.000000,-3281429.000000,-373289.000000,96295.000000,-5315557.000000,2599633.000000,-1300065.000000,,2317.000000,-1411347.000000,,,-1411347.000000,112760.000000,,,-3795.000000,-1300065.000000,1299568.000000,-457985.000000,-4419.000000,-453566.000000,-457985.000000,841583.000000,,841583.000000,-293983.000000,-293983.000000,-293983.000000,547600.000000,841583.000000,841583.000000,,841583.000000,547600.000000,547600.000000,,547600.000000
12M 2020,75638350.000000,-69620257.000000,6018093.000000,-3320172.000000,-1194192.000000,-2220212.000000,4998.000000,89234.000000,-3320172.000000,2697921.000000,-3459820.000000,,19517.000000,-1373510.000000,,,-1373510.000000,56066.000000,4995.000000,,-2166888.000000,-3459820.000000,-761899.000000,-208597.000000,,-208597.000000,-208597.000000,-970496.000000,,-970496.000000,-349270.000000,-349270.000000,-349270.000000,-1319766.000000,-970496.000000,-970496.000000,,-970496.000000,-1319765.000000,-1319765.000000,,-1319765.000000
