Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Untuk Beban Usaha Dan Lain-Lain,Penerimaan Dari Pendapatan Keuangan,Penerimaan Dari Pendapatan Operasi Lain,Pembayaran Pajak Penghasilan Badan,Pembayaran Biaya Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Perolehan Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penerimaan Dari Ipo Dan Penerbitan Saham Baru,Penerimaan Utang Bank Jangka Panjang,Penurunan Piutang Lain-Lain Kepada Pihak Berelasi,Penerimaan Utang Lain-Lain Dari Pihak Berelasi,Pembayaran Utang Bank,Jangka Pendek,Jangka Panjang,Total Pembayaran Utang Bank,Pembayaran Utang Lain-Lain Dari Pihak Berelasi,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Kenaikan Piutang Lain-Lain Kepada Pihak Berelasi,Pembayaran Deviden Kas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2020,24900660932.000000,721886492995.000000,-561374608625.000000,-60232431488.000000,-34929473804.000000,36937346.000000,233778674.000000,-13369855235.000000,-27350178931.000000,24900660932.000000,-3776245194.000000,,-3806245194.000000,30000000.000000,-3776245194.000000,-20891388553.000000,129559350186.000000,,22125000000.000000,,,-163708154423.000000,,,-163708154423.000000,,-3999999996.000000,-1200000000.000000,-864187020.000000,-2803397300.000000,,-20891388553.000000,233027185.000000,164287891.000000,38556.000000,397353632.000000
12M 2021,-134042764874.000000,557960976697.000000,-546801842816.000000,-60768772288.000000,-37996214703.000000,109702143.000000,596365800.000000,-10257455051.000000,-36885524656.000000,-134042764874.000000,-15152126351.000000,,-15152126351.000000,,-15152126351.000000,150661854490.000000,171016640527.000000,,,6965778948.000000,,-16895220703.000000,,,-16895220703.000000,,-8499999996.000000,-1200000000.000000,-725344286.000000,,,150661854490.000000,1466963265.000000,397353632.000000,30996.000000,1864347893.000000
12M 2022,-35491748643.000000,399005732675.000000,-316831034987.000000,-43107188278.000000,-31026591036.000000,20001886.000000,1132919178.000000,-11925529464.000000,-32760058617.000000,-35491748643.000000,-2099778780.000000,,-2099778780.000000,,-2099778780.000000,35902244620.000000,124610952144.000000,,70000000000.000000,26436356000.000000,27950000000.000000,-166561432954.000000,,,-166561432954.000000,,-9499999976.000000,-450000000.000000,-583630594.000000,,-36000000000.000000,35902244620.000000,-1689282803.000000,1864347893.000000,10674062.000000,185739152.000000
12M 2023,-48130903423.000000,759521424303.000000,-642622914730.000000,-49448700050.000000,-58417126116.000000,19559541.000000,2099133081.000000,-21226663206.000000,-38055616246.000000,-48130903423.000000,-7698911755.000000,,-7698911755.000000,,-7698911755.000000,55894445869.000000,359497843010.000000,,10000000000.000000,3067644000.000000,,-263154955689.000000,,,-263154955689.000000,-27950000000.000000,-24364406796.000000,-450000000.000000,-751678656.000000,,,55894445869.000000,64630691.000000,185739152.000000,-4731048.000000,245638795.000000
12M 2024,-144192294906.000000,573802700660.000000,-568421173530.000000,-52843930135.000000,-45750505717.000000,1327749512.000000,1746319881.000000,-10979955575.000000,-43073500002.000000,-144192294906.000000,-15738794012.000000,,-17000055273.000000,1261261261.000000,-15738794012.000000,363710962093.000000,623595069428.000000,384620578208.000000,100000000000.000000,,,-700894210462.000000,,,-700894210462.000000,,-42533898326.000000,-450000000.000000,-626576755.000000,,,363710962093.000000,181015088741.000000,245638795.000000,-7108612.000000,181253618924.000000
