Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,4711340.05,0.00,0.00,98.92 B,7.86%,39.03%,112.65%,3.21
12M 2021,0.00 B,4101034.84,0.00,0.00,100.27 B,5.50%,25.29%,51.50%,2.42
12M 2022,5.00 B,8.42,0.00,0.00,99.38 B,5.52%,25.01%,40.89%,2.73
12M 2023,5.00 B,10.60,0.00,0.00,118.37 B,5.73%,23.90%,41.07%,2.78
12M 2024,6.67 B,3.12,29.17,1.06,82.86 B,1.70%,3.32%,14.01%,1.64
