Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,397353632.000000,105533278952.000000,25902790985.000000,79630487967.000000,105533278952.000000,36469778948.000000,36469778948.000000,36469778948.000000,300917893942.000000,11717744176.000000,455036049650.000000,,137928070441.000000,1313426901.000000,1058680521.000000,4015247986.000000,144315425849.000000,599351475499.000000,,,441092160855.000000,273094455283.000000,,4478946214.000000,141953460547.000000,146432406761.000000,,,2684981926.000000,2684981926.000000,3883459141.000000,1614609931.000000,,8499999996.000000,494009322.000000,906123492.000000,9900132810.000000,3482115003.000000,441092160855.000000,37535086176.000000,,29291666655.000000,322110841.000000,3287805742.000000,32901583238.000000,4633502938.000000,37535086176.000000,478627247031.000000,,1000000000.000000,,119724228468.000000,,119724228468.000000,119724228468.000000,,,120724228468.000000,599351475499.000000,10000.000000
12M 2021,,,1864347893.000000,123994043358.000000,88471794027.000000,35522249331.000000,123994043358.000000,29504000000.000000,29504000000.000000,29504000000.000000,408160496359.000000,32178135558.000000,595701023168.000000,,142420256301.000000,2939897689.000000,1482134425.000000,3011435990.000000,149853724405.000000,745554747573.000000,,,555029283406.000000,427215875107.000000,,564230021.000000,80341600178.000000,80905830199.000000,,,1843740067.000000,1843740067.000000,3634901697.000000,3860147830.000000,,8499999996.000000,386750180.000000,995066279.000000,9881816455.000000,27686972051.000000,555029283406.000000,28340109391.000000,,20791666659.000000,252174241.000000,2292739463.000000,23336580363.000000,5003529028.000000,28340109391.000000,583369392797.000000,,1000000000.000000,,161185354776.000000,,161185354776.000000,161185354776.000000,,,162185354776.000000,745554747573.000000,10000.000000
12M 2022,,,185739152.000000,171875592296.000000,156605195381.000000,15270396915.000000,171875592296.000000,3067644000.000000,3067644000.000000,3067644000.000000,376109807614.000000,71857935640.000000,623096718702.000000,,132474575740.000000,4258130698.000000,1627040157.000000,1505717995.000000,139865464590.000000,762962183292.000000,,,520999202954.000000,385265394297.000000,,189650130.000000,58132936887.000000,58322587017.000000,,27950000000.000000,1594022123.000000,29544022123.000000,3784449547.000000,10898372581.000000,,22499999996.000000,227808416.000000,339796309.000000,23067604721.000000,10116772668.000000,520999202954.000000,73668112208.000000,,67291666683.000000,159085411.000000,1232927154.000000,68683679248.000000,4984432960.000000,73668112208.000000,594667315162.000000,,125000000000.000000,,43294868130.000000,1000000000.000000,42294868130.000000,43294868130.000000,,,168294868130.000000,762962183292.000000,5000000000.000000
12M 2023,,,245638795.000000,204910916745.000000,150262512208.000000,54648404537.000000,204910916745.000000,,,,505465168802.000000,76588491657.000000,787210215999.000000,,130137414711.000000,4681633878.000000,1904048174.000000,1129288496.000000,137852385259.000000,925062601258.000000,,,644812759580.000000,481608281618.000000,,27830127633.000000,57732470564.000000,85562598197.000000,,,1870737500.000000,1870737500.000000,4731004715.000000,3248445283.000000,,24166666663.000000,510576559.000000,373149854.000000,25050393076.000000,42741299191.000000,644812759580.000000,58497189934.000000,,51260593220.000000,821305279.000000,859777299.000000,52941675798.000000,5555514136.000000,58497189934.000000,703309949514.000000,,125000000000.000000,,96752651744.000000,1500000000.000000,95252651744.000000,96752651744.000000,,,221752651744.000000,925062601258.000000,5000000000.000000
12M 2024,,,181253618924.000000,242254847121.000000,201182573053.000000,41072274068.000000,242254847121.000000,,,,593813708768.000000,45094815690.000000,1062416990503.000000,,158425757286.000000,4043217436.000000,2184505428.000000,752858997.000000,165406339147.000000,1227823329650.000000,,,500435774679.000000,404309140584.000000,,3696708829.000000,27249839503.000000,30946548332.000000,,,941502530.000000,941502530.000000,4948076463.000000,693692718.000000,,40125000000.000000,551914892.000000,409777299.000000,41086692191.000000,17510121861.000000,500435774679.000000,99568581826.000000,,92768361557.000000,573002804.000000,450000000.000000,93791364361.000000,5777217465.000000,99568581826.000000,600004356505.000000,,166666667500.000000,342953910708.000000,118198394937.000000,2500000000.000000,115698394937.000000,118198394937.000000,,,627818973145.000000,1227823329650.000000,6666666700.000000
