Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain-Lain,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,25679080367.000000,,33182247538.000000,,33182247538.000000,50104800.000000,20969882280.000000,451692863.000000,80333007848.000000,,194493973397.000000,,,1255693021.000000,195749666418.000000,276082674266.000000,,,119086244492.000000,35931621199.000000,14144774139.000000,,,14144774139.000000,1682699397.000000,92862700.000000,,92862700.000000,807796140.000000,66426490917.000000,,,,66426490917.000000,,,119086244492.000000,31514063002.000000,27568076902.000000,,,,27568076902.000000,,2657412035.000000,1288574065.000000,31514063002.000000,150600307494.000000,,130000000000.000000,4367923968.000000,-8885557196.000000,,,-8885557196.000000,,,125482366772.000000,276082674266.000000,1300000000.000000
12M 2009,,,43339890021.000000,,43323637952.000000,,43323637952.000000,55014994.000000,27170169269.000000,746775477.000000,114635487713.000000,,187461988513.000000,83041500.000000,,200592900.000000,187745622913.000000,302381110626.000000,,,81752634834.000000,59461174390.000000,11810234601.000000,,,11810234601.000000,76862642.000000,44048187.000000,,44048187.000000,1259063830.000000,9101251184.000000,,,,9101251184.000000,,,81752634834.000000,65003394387.000000,45085858287.000000,,,,45085858287.000000,,18329375900.000000,1588160200.000000,65003394387.000000,146756029221.000000,,130000000000.000000,4367923968.000000,21257157437.000000,,,21257157437.000000,,,155625081405.000000,302381110626.000000,1300000000.000000
12M 2010,,,67593025965.000000,,43984108135.000000,,43984108135.000000,51256028.000000,31373189021.000000,15156639309.000000,158158218458.000000,,176591737639.000000,,,200592900.000000,176792330539.000000,334950548997.000000,,,84930157694.000000,63218778659.000000,16049325984.000000,,,16049325984.000000,3289221216.000000,,,,1322870535.000000,153161300.000000,,,,153161300.000000,,896800000.000000,84930157694.000000,20560623758.000000,128338374.000000,,,,128338374.000000,,18457040328.000000,1975245056.000000,20560623758.000000,105490781452.000000,,150000000000.000000,33542841148.000000,45916926397.000000,,,45916926397.000000,,,229459767545.000000,334950548997.000000,1500000000.000000
12M 2011,,,34563701662.000000,,55249723337.000000,,55249723337.000000,121544597.000000,33166497679.000000,15755015813.000000,138856483088.000000,,184399973247.000000,,,10096001535.000000,194495974782.000000,333352457870.000000,,,98985394546.000000,64919044708.000000,23791798193.000000,,,23791798193.000000,1008504306.000000,,,,1662461281.000000,76636058.000000,,,,76636058.000000,,7526950000.000000,98985394546.000000,12984564748.000000,51750000.000000,,,,51750000.000000,,10734988587.000000,2197826161.000000,12984564748.000000,111969959294.000000,,150000000000.000000,33542841148.000000,37839657428.000000,,,37839657428.000000,,,221382498576.000000,333352457870.000000,1500000000.000000
12M 2012,,,7986209358.000000,,40655317710.000000,,40655317710.000000,27650106854.000000,43661551141.000000,20126157940.000000,140079343003.000000,,187612240799.000000,,,6175716644.000000,193787957443.000000,333867300446.000000,,,97499476226.000000,75402316236.000000,15044922998.000000,,,15044922998.000000,359181012.000000,,,,2577683599.000000,284125004.000000,,,,284125004.000000,,3831247377.000000,97499476226.000000,17732030831.000000,208645830.000000,,,,208645830.000000,,14505267768.000000,3018117233.000000,17732030831.000000,115231507057.000000,,150000000000.000000,33542841148.000000,36506984914.000000,,,36506984914.000000,,-1414032673.000000,218635793389.000000,333867300446.000000,1500000000.000000
12M 2013,,,38871839096.000000,,43465444160.000000,,43465444160.000000,642807723.000000,33591526509.000000,10334084179.000000,126905701667.000000,,171880874270.000000,,,4807914609.000000,176688788879.000000,303594490546.000000,,,68941583137.000000,44195120910.000000,13924151033.000000,,,13924151033.000000,2105844358.000000,3422843068.000000,,3422843068.000000,3039065267.000000,,,,,,203645838.000000,2050912663.000000,68941583137.000000,16929718484.000000,,5000000.000000,,,5000000.000000,,12776519129.000000,4148199355.000000,16929718484.000000,85871301621.000000,,150000000000.000000,33542841148.000000,38388571177.000000,2986200804.000000,35402370373.000000,38388571177.000000,,-4208223400.000000,217723188925.000000,303594490546.000000,1500000000.000000
12M 2014,,,673291474.000000,,49153447552.000000,,49153447552.000000,,35111850724.000000,4570799165.000000,89509388915.000000,,165967227248.000000,5252376600.000000,,12397665031.000000,183617268879.000000,273126657794.000000,,,31090308805.000000,3793959040.000000,17772936450.000000,,,17772936450.000000,4894036270.000000,857479773.000000,,857479773.000000,2303373298.000000,,,,,,5000000.000000,1463523974.000000,31090308805.000000,16778422887.000000,,,,,,,11348780221.000000,5429642666.000000,16778422887.000000,47868731692.000000,,150000000000.000000,33542841148.000000,48015142824.000000,3017787067.000000,44997355757.000000,48015142824.000000,,-6300057870.000000,225257926102.000000,273126657794.000000,1500000000.000000
12M 2015,,,4807616248.000000,,33735103522.000000,,33735103522.000000,,30089436015.000000,12487471157.000000,81119626942.000000,,171109293254.000000,,,56391467052.000000,227500760306.000000,308620387248.000000,,,68835516891.000000,50988279262.000000,8778233079.000000,,,8778233079.000000,859195244.000000,1895580320.000000,,1895580320.000000,4855647371.000000,,,,,,,1458581615.000000,68835516891.000000,18223789606.000000,,,,,,,10412895628.000000,7810893978.000000,18223789606.000000,87059306497.000000,,150000000000.000000,33542841148.000000,49933923351.000000,3048868968.000000,46885054383.000000,49933923351.000000,,-11915683748.000000,221561080751.000000,308620387248.000000,1500000000.000000
12M 2016,,,407682981.000000,,38577151928.000000,,38577151928.000000,,24140007939.000000,8006736152.000000,71131579000.000000,,231786730367.000000,,,11550380763.000000,243337111130.000000,314468690130.000000,,,47573871564.000000,22972728400.000000,12485885019.000000,,,12485885019.000000,5534867098.000000,2849042448.000000,,2849042448.000000,2177424651.000000,,,,,,,1553923948.000000,47573871564.000000,20393374115.000000,,,,,,,9616391427.000000,10776982688.000000,20393374115.000000,67967245679.000000,,150000000000.000000,33542841148.000000,75043405545.000000,3100000000.000000,71943405545.000000,75043405545.000000,,-12084802242.000000,246501444451.000000,314468690130.000000,1500000000.000000
12M 2017,,,5634250207.000000,,57587237763.000000,,57587237763.000000,,53923042843.000000,9260421794.000000,126404952607.000000,,261132927270.000000,,735187489.000000,10425712253.000000,272293827012.000000,398698779619.000000,,,73638951697.000000,21872153523.000000,40272595145.000000,,,40272595145.000000,2548610263.000000,1723931703.000000,,1723931703.000000,5027082590.000000,,,,,,84158400.000000,2110420073.000000,73638951697.000000,97875830674.000000,,123282000.000000,,,123282000.000000,67616047090.000000,12533930406.000000,17602571178.000000,97875830674.000000,171514782371.000000,,136267140000.000000,-8407840449.000000,87439706598.000000,3600000000.000000,83839706598.000000,87439706598.000000,9299761.000000,11875691338.000000,227183997248.000000,398698779619.000000,1362671400.000000
12M 2018,,,60972250077.000000,6011966450.000000,66822259178.000000,,66822259178.000000,,58505007209.000000,9612120134.000000,201923603048.000000,,255455817507.000000,,911449964.000000,44886628595.000000,301253896066.000000,503177499114.000000,,,201327226691.000000,129522174148.000000,48602950769.000000,,,48602950769.000000,3747433645.000000,1816747084.000000,,1816747084.000000,15853829069.000000,,,,,,84158400.000000,1699933576.000000,201327226691.000000,97665395766.000000,,39123600.000000,,,39123600.000000,69042228297.000000,11576057943.000000,17007985926.000000,97665395766.000000,298992622457.000000,,136267140000.000000,-8407840449.000000,63988115386.000000,4000000000.000000,59988115386.000000,63988115386.000000,-34446365.000000,12371908085.000000,204184876657.000000,503177499114.000000,1362671400.000000
12M 2019,,,10481380913.000000,851775317.000000,55345178335.000000,,55345178335.000000,,54309807884.000000,2681496931.000000,123669639380.000000,,284043986042.000000,,307324624.000000,11243579402.000000,295594890068.000000,419264529448.000000,,,87957256576.000000,49966526353.000000,18879688764.000000,,,18879688764.000000,6445038151.000000,1264498056.000000,,1264498056.000000,2929236780.000000,,6780446808.000000,,,6780446808.000000,39123600.000000,1652698064.000000,87957256576.000000,118566202436.000000,,,18646228724.000000,,18646228724.000000,72162343168.000000,9889043464.000000,17868587080.000000,118566202436.000000,206523459012.000000,,136267140000.000000,-8407840449.000000,73606541965.000000,4000000000.000000,69606541965.000000,73606541965.000000,-63968662.000000,11339197582.000000,212741070436.000000,419264529448.000000,1362671400.000000
