Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,300785748347.000000,-267004443566.000000,33781304781.000000,-10580980258.000000,-4711814271.000000,-5869165987.000000,,-10580980258.000000,23200324523.000000,-25136417630.000000,-19031179822.000000,506668557.000000,-5985648789.000000,,-626257576.000000,-25136417630.000000,-1936093107.000000,-2885359074.000000,-4821452181.000000,,-4821452181.000000,-4821452181.000000,-4821452181.000000,,-4821452181.000000,-4821452181.000000,-4821452181.000000,,-4821452181.000000
12M 2009,284538777148.000000,-236846781482.000000,47691995666.000000,-12963341160.000000,-4946039708.000000,-8017301452.000000,,-12963341160.000000,34728654506.000000,11086023992.000000,15514187892.000000,1529736360.000000,-5304793068.000000,,-653107192.000000,11086023992.000000,45814678498.000000,-15671963865.000000,30142714633.000000,,30142714633.000000,30142714633.000000,30142714633.000000,,30142714633.000000,30142714633.000000,30142714633.000000,,30142714633.000000
12M 2010,283739415791.000000,-245337000477.000000,38402415314.000000,-17395566840.000000,-6804350748.000000,-10591216092.000000,,-17395566840.000000,21006848474.000000,11850496414.000000,11513613806.000000,1662101313.000000,-841620840.000000,144200000.000000,-627797865.000000,11850496414.000000,32857344888.000000,-8197575928.000000,24659768960.000000,,24659768960.000000,24659768960.000000,24659768960.000000,,24659768960.000000,24659768960.000000,24659768960.000000,,24659768960.000000
12M 2011,308433994818.000000,-267669388537.000000,40764606281.000000,-24423669651.000000,-9326063631.000000,-15097606020.000000,,-24423669651.000000,16340936630.000000,2547756410.000000,893646490.000000,2291035998.000000,-274733878.000000,92470833.000000,-454663033.000000,2547756410.000000,18888693040.000000,3034037991.000000,21922731031.000000,,21922731031.000000,21922731031.000000,21922731031.000000,,21922731031.000000,21922731031.000000,21922731031.000000,,21922731031.000000
12M 2012,343677756488.000000,-300063216554.000000,43614539934.000000,-38032620145.000000,-11396555751.000000,-17978389582.000000,-8657674812.000000,-38032620145.000000,5581919789.000000,379223128.000000,,1249211089.000000,-869987961.000000,,,379223128.000000,5961142917.000000,-1757442104.000000,4203700813.000000,,4203700813.000000,4203700813.000000,4203700813.000000,,4203700813.000000,4203700813.000000,4203700813.000000,,4203700813.000000
12M 2013,281551386863.000000,-235985977232.000000,45565409631.000000,-42036996367.000000,-10737120690.000000,-19449590202.000000,-11850285475.000000,-42036996367.000000,3528413264.000000,-785960640.000000,,187444742.000000,-973405382.000000,,,-785960640.000000,2742452624.000000,-860866361.000000,1881586263.000000,,1881586263.000000,1881586263.000000,1881586263.000000,,1881586263.000000,1881586263.000000,1881586263.000000,,1881586263.000000
12M 2014,294081114204.000000,-252120115599.000000,41960998605.000000,-25645821304.000000,-7384602017.000000,-17559377039.000000,-701842248.000000,-25645821304.000000,16315177301.000000,304899188.000000,,659758052.000000,-354858864.000000,,,304899188.000000,16620076489.000000,-6993504842.000000,9626571647.000000,,9626571647.000000,9626571647.000000,9626571647.000000,,9626571647.000000,9626571647.000000,9626571647.000000,,9626571647.000000
12M 2015,260667211707.000000,-226502498890.000000,34164712817.000000,-30012311265.000000,-9140578506.000000,-23173830920.000000,2302098161.000000,-30012311265.000000,4152401552.000000,-1823320740.000000,,489379625.000000,-2312700365.000000,,,-1823320740.000000,2329080812.000000,-474806076.000000,1854274736.000000,-658019967.000000,1196254769.000000,1854274736.000000,1854274736.000000,,1854274736.000000,1196254769.000000,1196254769.000000,,1196254769.000000
12M 2016,319727703679.000000,-258296152218.000000,61431551461.000000,-26770004168.000000,-7981163132.000000,-19379681883.000000,590840847.000000,-26770004168.000000,34661547293.000000,-1137894846.000000,,360719799.000000,-1498614645.000000,,,-1137894846.000000,33523652447.000000,-8414170253.000000,25109482194.000000,-169118494.000000,24940363700.000000,25109482194.000000,25109482194.000000,,25109482194.000000,24940363700.000000,24940363700.000000,,24940363700.000000
12M 2017,382238397027.000000,-327121759711.000000,55116637316.000000,-49957900620.000000,-15480287226.000000,-35442372955.000000,964759561.000000,-49957900620.000000,5158736696.000000,-1261128613.000000,,173627676.000000,-1434756289.000000,,,-1261128613.000000,3897608083.000000,-5227037284.000000,-1329429201.000000,-1031992636.000000,-2361421837.000000,-1329429201.000000,-1329429201.000000,,-1329429201.000000,-2361421837.000000,-2361421837.000000,,-2361421837.000000
12M 2018,438050805734.000000,-379484749437.000000,58566056297.000000,-72042550167.000000,-27512029983.000000,-44764129297.000000,233609113.000000,-72042550167.000000,-13476493870.000000,-6322983372.000000,,441957925.000000,-6764941297.000000,,,-6322983372.000000,-19799477242.000000,-3697194134.000000,-23496671376.000000,-22999120591.000000,-46495791967.000000,-23496671376.000000,-23496671376.000000,,-23496671376.000000,-46495791967.000000,-46495791967.000000,,-46495791967.000000
12M 2019,437990210351.000000,-360577446990.000000,77412763361.000000,-48253732475.000000,-21401365242.000000,-26363927937.000000,-488439296.000000,-48253732475.000000,29159030886.000000,-9588462977.000000,,606457075.000000,-10194920052.000000,,,-9588462977.000000,19570567909.000000,-9981886539.000000,9588681370.000000,-1032487591.000000,8556193779.000000,9588681370.000000,9618426579.000000,-29745209.000000,9588681370.000000,8556193779.000000,8585716076.000000,-29522297.000000,8556193779.000000
12M 2020,325538152468.000000,-278236221095.000000,47301931373.000000,-38800097698.000000,-12138615245.000000,-28605256698.000000,1943774245.000000,-38800097698.000000,8501833675.000000,-10572495008.000000,,434700749.000000,-11007195757.000000,,,-10572495008.000000,-2070661333.000000,-4353364330.000000,-6424025663.000000,-589782996.000000,-7013808659.000000,-6424025663.000000,-6408219501.000000,-15806162.000000,-6424025663.000000,-7013808659.000000,-6998200859.000000,-15607800.000000,-7013808659.000000
12M 2021,420717433375.000000,-357786876359.000000,62930557016.000000,-30781315051.000000,-11434558091.000000,-23907336211.000000,4560579251.000000,-30781315051.000000,32149241965.000000,-6376908332.000000,,741128905.000000,-7118037237.000000,,,-6376908332.000000,25772333633.000000,-2545039671.000000,23227293962.000000,1816660191.000000,25043954153.000000,23227293962.000000,23232797736.000000,-5503774.000000,23227293962.000000,25043954153.000000,25049433655.000000,-5479502.000000,25043954153.000000
12M 2022,526828140182.000000,-417658529238.000000,109169610944.000000,-43594120512.000000,-15016594051.000000,-32075816451.000000,3498289990.000000,-43594120512.000000,65575490432.000000,-4342448875.000000,,1276388129.000000,-5618837004.000000,,,-4342448875.000000,61233041557.000000,-14633904874.000000,46599136683.000000,1320986401.000000,47920123084.000000,46599136683.000000,46609418559.000000,-10281876.000000,46599136683.000000,47920123084.000000,47930460426.000000,-10337342.000000,47920123084.000000
12M 2023,469138780462.000000,-352405571676.000000,116733208786.000000,-48677606336.000000,-15930450333.000000,-34580159798.000000,1833003795.000000,-48677606336.000000,68055602450.000000,-1344343618.000000,,2641515591.000000,-3985859209.000000,,,-1344343618.000000,66711258832.000000,-16310668015.000000,50400590817.000000,4493834399.000000,54894425216.000000,50400590817.000000,50415186821.000000,-14596004.000000,50400590817.000000,54894425216.000000,54909433128.000000,-15007912.000000,54894425216.000000
12M 2024,399693178434.000000,-330825967765.000000,68867210669.000000,-47885310609.000000,-14936731567.000000,-31933725471.000000,-1014853571.000000,-47885310609.000000,20981900060.000000,1772216373.000000,,3738580596.000000,-1966364223.000000,,,1772216373.000000,22754116433.000000,-5796877729.000000,16957238704.000000,251671168.000000,17208909872.000000,16957238704.000000,16970253071.000000,-13014367.000000,16957238704.000000,17208909872.000000,17221797179.000000,-12887307.000000,17208909872.000000
