Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha,Tagihan Pajak Penghasilan,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Beban Keuangan/Bunga,Kegiatan Operasi Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap Dan Uang Muka Pembelian Aset Tetap,Pembayaran Untuk Akuisisi Entitas Anak,Hasil Penjualan Aset Tetap,Uang Muka Investasi Saham,Hasil Penjualan Investasi Dalam Surat Berharga,Penempatan Investasi Dalam Surat Berharga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Utang Bank Jangka Panjang,Penerimaan Put 1,Pembayaran Emisi Saham,Utang Pembiayaan Konsumen,Utang Sewa Guna Usaha,Utang Pihak Berelasi,Piutang Pihak Berelasi,Pembayaran Dividen,Modal Saham,Tambahan Modal Disetor,Pembayaran Bunga,Utang Jangka Panjang,Deposito Kas Yang Dibatasi Penggunaannya,Saham Treasuri,Dividen Kas,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,37835498710.000000,313211366952.000000,-261739035339.000000,,,,506668557.000000,-112163536.000000,-3060288355.000000,-10971049569.000000,,37835498710.000000,-10645382408.000000,-10645382408.000000,,,,,,-10645382408.000000,-8230468113.000000,2102189760.000000,-10237187873.000000,,,,-95470000.000000,,,,,,,,,,,,-8230468113.000000,18959648189.000000,,6719432178.000000,25679080367.000000
12M 2009,39483367398.000000,274315880236.000000,-241382933379.000000,,,,1529736360.000000,-181160346.000000,-3574561791.000000,8776406318.000000,,39483367398.000000,-5544652587.000000,-5817152588.000000,,272500001.000000,,,,-5544652587.000000,-16277905157.000000,19989529690.000000,-36209300797.000000,,,,-58134050.000000,,,,,,,,,,,,-16277905157.000000,17660809654.000000,,25679080367.000000,43339890021.000000
12M 2010,30870127945.000000,283975745608.000000,-243485131692.000000,,,,1662101313.000000,-5820406255.000000,-9808607920.000000,4346426891.000000,,30870127945.000000,-1911253149.000000,-2220253149.000000,,309000000.000000,,,,-1911253149.000000,8300833906.000000,3757604269.000000,-44357519219.000000,,,,-357209824.000000,,83041500.000000,,20000000000.000000,29174917180.000000,,,,,,,8300833906.000000,37259708702.000000,,30333317263.000000,67593025965.000000
12M 2011,1345919378.000000,297098091047.000000,-277154428592.000000,,,,2291035999.000000,-11645400314.000000,-274733878.000000,-8968644884.000000,,1345919378.000000,-4222130065.000000,-4318530065.000000,,96400000.000000,,,,-4222130065.000000,-30153113616.000000,,,,,,-153113616.000000,,,,,,,,,,-30000000000.000000,,-30153113616.000000,-33029324303.000000,,67593025965.000000,34563701662.000000
12M 2012,-14311946160.000000,357740419258.000000,-311705396787.000000,-14221893805.000000,-9943625860.000000,,1247044235.000000,-5763082350.000000,-286829604.000000,-31378581247.000000,,-14311946160.000000,-20357613243.000000,-20597221243.000000,,239608000.000000,,,,-20357613243.000000,7948838957.000000,10483271528.000000,,,,,,,,,,,-583158357.000000,-160365224.000000,-376876317.000000,-1414032673.000000,,,7948838957.000000,-26720720446.000000,143228142.000000,34563701662.000000,7986209358.000000
12M 2013,62415415884.000000,279488024146.000000,-209064785318.000000,-18578397166.000000,-6216422673.000000,1879669635.000000,187444742.000000,-1834907918.000000,-160772046.000000,16715562482.000000,,62415415884.000000,-2618240447.000000,-8898440447.000000,,6280200000.000000,,,,-2618240447.000000,-29657982116.000000,-31207195326.000000,,,,,,,,,,,-812633336.000000,-284124996.000000,5440162269.000000,-2794190727.000000,,,-29657982116.000000,30139193321.000000,746436417.000000,7986209358.000000,38871839096.000000
12M 2014,22314328339.000000,288680803659.000000,-242844214796.000000,-15579031570.000000,-5525166625.000000,,659758052.000000,-1559077517.000000,-354858864.000000,-1163884000.000000,,22314328339.000000,-25756396362.000000,-20908530016.000000,,,,,-4847866346.000000,-25756396362.000000,-34755025819.000000,-40401161870.000000,,,,,,,,,,,,-203645846.000000,8346126621.000000,-2496344724.000000,,,-34755025819.000000,-38197093842.000000,-1453780.000000,38871839096.000000,673291474.000000
12M 2015,24587547474.000000,275035834947.000000,-220388987979.000000,-15764662837.000000,-7386987338.000000,,489379625.000000,-8462291835.000000,-2312700365.000000,3377963256.000000,,24587547474.000000,-54144081126.000000,-57987322021.000000,,350363636.000000,,4642596107.000000,-1149718848.000000,-54144081126.000000,33365056651.000000,47194320222.000000,,,,,,,,,,,,-5000000.000000,-9616098339.000000,-4208165232.000000,,,33365056651.000000,3808522999.000000,325801775.000000,673291474.000000,4807616248.000000
12M 2016,49685387363.000000,316200707803.000000,-222196768583.000000,-31625711975.000000,-7701254909.000000,,336582424.000000,-5724151169.000000,-1498614645.000000,1894598417.000000,,49685387363.000000,-31724737346.000000,-29242197327.000000,,611076364.000000,,,-3093616383.000000,-31724737346.000000,-23647857293.000000,-29309037992.000000,,,,,,,,,,,,,5661180699.000000,,,,-23647857293.000000,-5687207276.000000,-6213121.000000,4807616248.000000,-885804149.000000
12M 2017,10904672310.000000,366753226802.000000,-292271885654.000000,-47344667619.000000,-7110861732.000000,,197765050.000000,-5768481145.000000,-1238348631.000000,-2312074761.000000,,10904672310.000000,-13037800815.000000,-6445772638.000000,-7000000000.000000,407971823.000000,,,,-13037800815.000000,5445489160.000000,-1100574876.000000,,,,-21039600.000000,,,6815000000.000000,,,,,,-247896364.000000,,,,5445489160.000000,3312360655.000000,17498431.000000,2304391121.000000,5634250207.000000
