Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,15152702224.000000,-10388689090.000000,4764013134.000000,-11253056468.000000,-585066344.000000,-10667990124.000000,-11253056468.000000,-6489043334.000000,-2353855320.000000,,,-1720991104.000000,-632864216.000000,-2353855320.000000,-8842898654.000000,-113600750.000000,,,,,-113600750.000000,-8956499404.000000,178373777146.000000,169417277742.000000,-8956499404.000000,-6709448905.000000,-2247050499.000000,,-8956499404.000000,169417277742.000000,161199169824.000000,8218107918.000000,,169417277742.000000
12M 2018,20292781632.000000,-13048857590.000000,7243924042.000000,-19186036757.000000,-925768585.000000,-18260268172.000000,-19186036757.000000,-11942112715.000000,-14370335375.000000,,,-12433316794.000000,-1937018581.000000,-14370335375.000000,-26312448090.000000,291413500.000000,,,,,291413500.000000,-26021034590.000000,31315529531.000000,5294494941.000000,-26021034590.000000,-24284990477.000000,-1736044113.000000,,-26021034590.000000,5294494941.000000,5877674064.000000,-583179123.000000,,5294494941.000000
12M 2019,21536730690.000000,-8298355319.000000,13238375371.000000,-28527841848.000000,-720454738.000000,-27807387110.000000,-28527841848.000000,-15289466477.000000,-15451522949.000000,196308191.000000,,-11794374696.000000,-3853456444.000000,-15451522949.000000,-30740989426.000000,106444027.000000,,,,,106444027.000000,-30634545399.000000,1478489732.000000,-29156055667.000000,-30634545399.000000,-30438373609.000000,-196171790.000000,,-30634545399.000000,-29156055667.000000,-28959883877.000000,-196171790.000000,,-29156055667.000000
12M 2020,10095970057.000000,-5067861923.000000,5028108134.000000,-23518116111.000000,-541165146.000000,-22976950965.000000,-23518116111.000000,-18490007977.000000,-9577087190.000000,200218002.000000,,-10976566248.000000,1199261056.000000,-9577087190.000000,-28067095167.000000,429626951.000000,,,,,429626951.000000,-27637468216.000000,13118824.000000,-27624349392.000000,-27637468216.000000,-27438700195.000000,-198768021.000000,,-27637468216.000000,-27624349392.000000,-27425581371.000000,-198768021.000000,,-27624349392.000000
12M 2021,12383996473.000000,-4996399995.000000,7387596478.000000,-22651889348.000000,-462205623.000000,-22189683725.000000,-22651889348.000000,-15264292870.000000,-8626801840.000000,144561077.000000,-18437500.000000,-9669774741.000000,916849324.000000,-8626801840.000000,-23891094710.000000,670353905.000000,,,,,670353905.000000,-23220740805.000000,530983188.000000,-22689757617.000000,-23220740805.000000,-23099816610.000000,-120924195.000000,,-23220740805.000000,-22689757617.000000,-22568833422.000000,-120924195.000000,,-22689757617.000000
12M 2022,19396218333.000000,-6616368438.000000,12779849895.000000,-23031544613.000000,-953020176.000000,-22078524437.000000,-23031544613.000000,-10251694718.000000,-6534040080.000000,106825953.000000,,-7955645882.000000,1314779849.000000,-6534040080.000000,-16785734798.000000,-266810794.000000,722446560.000000,-989257354.000000,,,-266810794.000000,-16518924004.000000,231046327.000000,-16287877677.000000,-16518924004.000000,-16435931076.000000,-82992928.000000,,-16518924004.000000,-16287877677.000000,-16204884749.000000,-82992928.000000,,-16287877677.000000
12M 2023,22585256898.000000,-7774656754.000000,14810600144.000000,-21071584866.000000,-1012577807.000000,-20059007059.000000,-21071584866.000000,-6260984722.000000,-7465161468.000000,169565409.000000,113120000.000000,-7673358860.000000,-74488017.000000,-7465161468.000000,-13726146190.000000,-50412563.000000,565315181.000000,106718816.000000,,-722446560.000000,-50412563.000000,-13675733627.000000,-61732583.000000,-13737466210.000000,-13675733627.000000,-13614219411.000000,-61514216.000000,,-13675733627.000000,-13737466210.000000,-13675951994.000000,-61514216.000000,,-13737466210.000000
12M 2024,22552571484.000000,-8204582156.000000,14347989328.000000,-23102984010.000000,-1091950350.000000,-22011033660.000000,-23102984010.000000,-8754994682.000000,-7399530475.000000,142040718.000000,21793694.000000,-6490911929.000000,-1072452958.000000,-7399530475.000000,-16154525157.000000,459210131.000000,478471358.000000,-17297482.000000,,-1963745.000000,459210131.000000,-16613735288.000000,69410688.000000,-16544324600.000000,-16613735288.000000,-16459368951.000000,-154366337.000000,,-16613735288.000000,-16544324600.000000,-16390053767.000000,-154270833.000000,,-16544324600.000000
