Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Kas Lainnya Dari Aktivitas Operasi,Penerimaan(Pembayaraan),Penghasilan Bunga,Pajak Penghasilan,Uang Jaminan,Pajak Final,Beban Keuangan,Kegiatan Operasional Lainnya,Total Penerimaan(Pembayaraan),Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pelunasan Utang Setoran Modal Atas Kelompok Aset Lepasan,Uang Muka Aset Tetap,Perolehan Aset Hak Guna,Perolehan Aset Tetap,Penjualan Aset Tetap,Aset Tetap Dalam Pembangunan,Pengurangan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Pengurangan Akumulasi,Pembayaran Piutang,Penerimaan Dari Pelepasan Kepentingan Di Entitas Anak Tanpa Hilangnya Pengendalian Dari Kegiatan Investasi,Penerimaan Dari Penjualan Properti Investasi,Pembayaran Untuk Perolehan Properti Investasi,Pembayaran Uang Muka Atas Pembelian Tanah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan Piutang Lain-Lain,Pembayaran Bunga,Penurunan Piutang Lain-Lain,Pembayaran Liabilitas Sewa Pembiayaan,Peningkatan Utang Bank,Pembayaran Utang Bank,Peningkatan Utang Lain-Lain,Penurunan Utang Lain-Lain,Penerimaan Bunga Dari Aktivitas Pendanaan,Pembayaran Bunga Dari Aktivitas Pendanaan,Pembayaran Pajak Penghasilan,Peningkatan Modal Disetor,Pelaksanaan Waran,Penerimaan Dari Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-3369679630.000000,15155948499.000000,-9290705482.000000,-7089614543.000000,,,21244443.000000,,,-20000000.000000,-1720991104.000000,-425561443.000000,-2145308104.000000,-3369679630.000000,-49399310460.000000,,,,-6059147686.000000,,,,,,,,,,-43340162774.000000,-49399310460.000000,76859359025.000000,,,,-9486290181.000000,99000000000.000000,-11612066958.000000,,-1042283836.000000,,,,,,,76859359025.000000,24090368935.000000,10636576409.000000,34726945344.000000
12M 2018,-15405748333.000000,20285348991.000000,-13318654305.000000,-9866667534.000000,,,69737971.000000,-224141644.000000,,,-12433316794.000000,81944982.000000,-12505775485.000000,-15405748333.000000,-70570666490.000000,-4950000000.000000,,,-62620666490.000000,,,,,,,,,,-3000000000.000000,-70570666490.000000,133428603582.000000,-1310723460.000000,,275060394.000000,-9048197536.000000,,-3600000000.000000,50048315296.000000,-14234985946.000000,,,,50000000000.000000,,61299134834.000000,133428603582.000000,47452188759.000000,34726945344.000000,82179134103.000000
12M 2019,-32099306017.000000,21787618134.000000,-7104981464.000000,-12729036021.000000,,,196308191.000000,-3522822813.000000,,,-11783665966.000000,-18942726078.000000,-34052906666.000000,-32099306017.000000,-34385102791.000000,,,,-60283702791.000000,,,,,,,,,,25898600000.000000,-34385102791.000000,741184210.000000,-5241266891.000000,,,-3479360061.000000,,-4500000000.000000,13961808162.000000,,,,,3000.000000,,,741184210.000000,-65743224598.000000,82179134103.000000,16435909505.000000
12M 2020,-19025929798.000000,10237870945.000000,-4662776149.000000,-10478795167.000000,,,200218022.000000,-220443189.000000,,,-10959354145.000000,-3142650115.000000,-14122229427.000000,-19025929798.000000,-5946135168.000000,,,,-5946135168.000000,,,,,,,,,,,-5946135168.000000,21465725989.000000,6849509885.000000,,,2218457006.000000,,-5400000000.000000,17797759098.000000,,,,,,,,21465725989.000000,-3506338977.000000,16435909505.000000,12929570528.000000
12M 2021,-14418298491.000000,12934062021.000000,-5045642336.000000,-10037236661.000000,,,144561077.000000,-598206124.000000,,,-9526605502.000000,-2289230966.000000,-12269481515.000000,-14418298491.000000,201450040.000000,,,,-453549960.000000,,,,655000000.000000,,,,,,,201450040.000000,16740522931.000000,-508771226.000000,,,-2073963096.000000,,-6000000000.000000,25323250253.000000,,,,,7000.000000,,,16740522931.000000,2523674480.000000,12929570529.000000,15453245009.000000
12M 2022,-11191385760.000000,19624832186.000000,-6104990812.000000,-11205007942.000000,,,106825953.000000,-661757602.000000,,,-7855986454.000000,-5095301089.000000,-13506219192.000000,-11191385760.000000,-624564636.000000,,,,-703566636.000000,,79002000.000000,,,,,,,,,-624564636.000000,8194097200.000000,298870805.000000,,,-1216899300.000000,,-6600000000.000000,15712125695.000000,,,,,,,,8194097200.000000,-3621853196.000000,15453245009.000000,11831391813.000000
12M 2023,1885080692.000000,22668364458.000000,-7811904847.000000,-10814439333.000000,,,169565409.000000,,,,,-2326504995.000000,-2156939586.000000,1885080692.000000,-1705090446.000000,,,-282600000.000000,-1108403310.000000,,-427207136.000000,,113120000.000000,,,,,,,-1705090446.000000,-123476539.000000,1203630616.000000,-7667802460.000000,,-43960000.000000,,-7200000000.000000,13582277905.000000,,,,,2377400.000000,,,-123476539.000000,56513707.000000,11831391813.000000,11887905520.000000
12M 2024,-4235151062.000000,21907436300.000000,-10458513357.000000,-10607868661.000000,,,158194647.000000,,,,,-5234399991.000000,-5076205344.000000,-4235151062.000000,-1060779932.000000,,,,-984573625.000000,,-98000001.000000,,21793694.000000,,,,,,,-1060779932.000000,-869490914.000000,,-6389612853.000000,,-65940000.000000,,-7800000000.000000,11377822062.000000,2008239877.000000,,,,,,,-869490914.000000,-6165421908.000000,11887905520.000000,5722483612.000000
