Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Untuk Beban Operasi,Penerimaan (Pembayaran) Lainnya,Pembayaran Pajak Penghasilan,Pembayaran Beban Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Properti Investasi,Penerimaan Dari Penjualan Aset Tetap,Penempatan Setara Kas Yang Dibatasi Penggunaannya,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana,Biaya Emisi Saham,Penerimaan Setoran Modal Dari Pelaksanaan Waran,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-8950787106.000000,128249982920.000000,-92487216570.000000,-17719664252.000000,-18087414636.000000,-15408208.000000,-417591932.000000,-8473474428.000000,-8950787106.000000,-721341280.000000,,,,-721341280.000000,-721341280.000000,10129124884.000000,,,,47333877916.000000,-34001578507.000000,230000000.000000,-1800000000.000000,-1633174525.000000,,10129124884.000000,456996498.000000,22636016.000000,14921735503.000000,15401368017.000000
12M 2019,9530075247.000000,119583307503.000000,-83281398979.000000,-14612486757.000000,-6583003150.000000,2252904309.000000,-428224872.000000,-7401022807.000000,9530075247.000000,-9467100900.000000,-9000000000.000000,,,-467100900.000000,-9467100900.000000,-21784443183.000000,,,,12894616145.000000,-42209344560.000000,11400000000.000000,-2332866153.000000,-1536848615.000000,,-21784443183.000000,-21721468836.000000,-2015094.000000,15401368017.000000,-6322115913.000000
12M 2020,-1412893188.000000,79242196096.000000,-61056328447.000000,-8466695790.000000,-7305050662.000000,2669749161.000000,-155429849.000000,-6341333697.000000,-1412893188.000000,-1015790573.000000,,,,-1015790573.000000,-1015790573.000000,-12942063661.000000,,,,8859037037.000000,-18217248576.000000,9420000000.000000,-11657756062.000000,-1346096060.000000,,-12942063661.000000,-15370747422.000000,3252208.000000,-6322115913.000000,-21689611127.000000
12M 2021,26688698910.000000,197576877963.000000,-144088364333.000000,-9107936534.000000,-8939371157.000000,1156778620.000000,-2329455097.000000,-7579830552.000000,26688698910.000000,-945676841.000000,,,,-945676841.000000,-945676841.000000,642849280.000000,,,,8020576480.000000,-4216513701.000000,,-1355664699.000000,-1805548800.000000,,642849280.000000,26385871349.000000,1242646.000000,-21689611127.000000,4697502868.000000
12M 2022,-45627005655.000000,105747561870.000000,-121872942993.000000,-12369860835.000000,-11001064497.000000,3759530103.000000,-6621465170.000000,-3268764133.000000,-45627005655.000000,-6307314774.000000,,301500000.000000,,-6608814774.000000,-6307314774.000000,46656889902.000000,62460000000.000000,-4337297800.000000,26570060.000000,22262333574.000000,-22322954854.000000,,-8588631905.000000,-222522285.000000,-2620606888.000000,46656889902.000000,-5277430527.000000,,4697502868.000000,-579927659.000000
12M 2023,-9455131103.000000,200768251934.000000,-185533727987.000000,-13693571116.000000,-7160192651.000000,2731976851.000000,-2798647402.000000,-3769220732.000000,-9455131103.000000,-7727928325.000000,,601500000.000000,-4059107850.000000,-4270320475.000000,-7727928325.000000,15400489435.000000,,,32963600.000000,26020516220.000000,-8068776281.000000,,-2043828222.000000,-540385882.000000,,15400489435.000000,-1782569993.000000,,-579927659.000000,-2362497652.000000
12M 2024,-16073570401.000000,151542603039.000000,-143172467879.000000,-13688164099.000000,-6749401651.000000,5099528423.000000,-2876188856.000000,-6229479378.000000,-16073570401.000000,-2801982669.000000,,61500000.000000,-2493670334.000000,-369812335.000000,-2801982669.000000,13084360824.000000,,,,85040182737.000000,-68844109260.000000,,-2253595189.000000,-858117464.000000,,13084360824.000000,-5791192246.000000,,-2362497652.000000,-8153689898.000000
