Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,5939525000.000000,-1195396750.000000,4744128250.000000,-2618621449.000000,-2618621449.000000,-2618621449.000000,2125506801.000000,124573927.000000,3653622.000000,120920305.000000,124573927.000000,2250080728.000000,-304376817.000000,-304376817.000000,,-304376817.000000,1945703911.000000,1945703911.000000,,1945703911.000000,1945703911.000000,1945703911.000000,,1945703911.000000,1945703911.000000,1945703911.000000,,1945703911.000000
12M 2021,7866430000.000000,-2187136416.000000,5679293584.000000,-3297963791.000000,-3297963791.000000,-3297963791.000000,2381329793.000000,315647210.000000,5811886.000000,309835324.000000,315647210.000000,2696977003.000000,-567602064.000000,-567602064.000000,,-567602064.000000,2129374939.000000,2129374939.000000,,2129374939.000000,2129374939.000000,2129374939.000000,,2129374939.000000,2129374939.000000,2129374939.000000,,2129374939.000000
12M 2022,12525312378.000000,-3465965906.000000,9059346472.000000,-4815549225.000000,-4815549225.000000,-4815549225.000000,4243797247.000000,717350383.000000,2945748.000000,714404635.000000,717350383.000000,4961147630.000000,-903982681.000000,-922926700.000000,18944019.000000,-903982681.000000,4057164949.000000,4057164949.000000,,4057164949.000000,4057164949.000000,4057164949.000000,,4057164949.000000,4057164949.000000,4057164949.000000,,4057164949.000000
12M 2023,17267332513.000000,-4564452710.000000,12702879803.000000,-13110122185.000000,-13110122185.000000,-13110122185.000000,-407242382.000000,513757187.000000,-94581941.000000,608339128.000000,513757187.000000,106514805.000000,-18815500.000000,-27602812.000000,8787312.000000,-18815500.000000,87699305.000000,87699305.000000,27659031.000000,115358336.000000,87699305.000000,87699305.000000,,87699305.000000,115358336.000000,115358336.000000,,115358336.000000
12M 2024,11468835800.000000,-6513264238.000000,4955571562.000000,-16176414868.000000,-16176414868.000000,-16176414868.000000,-11220843306.000000,-123778552.000000,-121876883.000000,-1901669.000000,-123778552.000000,-11344621858.000000,2487086747.000000,,2487086747.000000,2487086747.000000,-8857535111.000000,-8857535111.000000,7650598.000000,-8849884513.000000,-8857535111.000000,-8857535111.000000,,-8857535111.000000,-8849884513.000000,-8849884513.000000,,-8849884513.000000
