Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pendapatan Bunga,Pembayaran Pajak Penghasilan,Penerimaan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Pembelian Aset,Penambahan Piutang Lain Lain,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,"Uang Muka Dan Pinjaman Diberikan Kepada Pihak Lain, Selain Institusi Keuangan",Penambahan Investasi Dalam Saham,Pembayaran Utang Atas Perolehan Aset Hak Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penambahan Modal Melalui Penawaran Umum,Penerimaan Dari Pelaksanaan Waran,Pembayaran Biaya Emisi,Pembayaran Utang Bank,Penambahan Modal Disetor,Penambahan Beban Yang Ditangguhkan,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,2449308795.000000,5242305000.000000,-1833538349.000000,-1158837688.000000,3653622.000000,-12701490.000000,208427700.000000,2449308795.000000,-2568176802.000000,,,-14306981.000000,-2166893811.000000,,-119974000.000000,-267002010.000000,-2568176802.000000,,,,,,,,,,,-118868007.000000,382760720.000000,263892713.000000
12M 2021,2911198002.000000,9163980000.000000,-5107294535.000000,-1222588603.000000,5811886.000000,-11645746.000000,82935000.000000,2911198002.000000,-2819379404.000000,,,-98523430.000000,-2570855974.000000,,,-150000000.000000,-2819379404.000000,,,,,,,,,,,91818598.000000,263892713.000000,355711311.000000
12M 2022,-10441113624.000000,8535254100.000000,-16558259913.000000,-1569463218.000000,2945748.000000,-851590341.000000,,-10441113624.000000,-14500840997.000000,-8656318315.000000,,-3284659750.000000,-2374862932.000000,,,-185000000.000000,-14500840997.000000,23931368366.000000,1790000000.000000,,,,-44750001.000000,23000000000.000000,-813881633.000000,,23931368366.000000,123852943.000000,355711311.000000,479564254.000000
12M 2023,-15827196630.000000,11861908025.000000,-25181035863.000000,-3066407920.000000,22650182.000000,-68000000.000000,603688946.000000,-15827196630.000000,-32449957523.000000,-10561265772.000000,,-12121628560.000000,-9767063191.000000,,,,-32449957523.000000,48200775796.000000,,52640000000.000000,19541250.000000,-4279765450.000000,-179000004.000000,,,,48200775796.000000,-76378357.000000,479564254.000000,403185897.000000
12M 2024,268293569.000000,10247253707.000000,-6171711248.000000,-3183360824.000000,565575.000000,-882529512.000000,258075871.000000,268293569.000000,-567242902.000000,,,-567242902.000000,,,,,-567242902.000000,244752153.000000,426377993.000000,,707500.000000,,-182333340.000000,,,,244752153.000000,-54197180.000000,403185896.000000,348988716.000000
