Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Sewa Pembiayaan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,263892713.000000,53500000.000000,53500000.000000,53500000.000000,3000000.000000,3000000.000000,3000000.000000,,119974000.000000,440366713.000000,,497569840.000000,2203250478.000000,,744269562.000000,3445089880.000000,3885456593.000000,,,2499472805.000000,148273000.000000,322179750.000000,335058636.000000,27350000.000000,895561419.000000,,,,771050000.000000,2499472805.000000,,,,,,,2499472805.000000,,500000000.000000,,885983788.000000,,1385983788.000000,3885456593.000000,500.000000
12M 2021,,,355711311.000000,128500000.000000,128500000.000000,128500000.000000,36000000.000000,36000000.000000,36000000.000000,,1466604000.000000,1986815311.000000,,426475046.000000,4761666452.000000,,413483090.000000,5601624588.000000,7588439899.000000,,,4073081172.000000,117036000.000000,116908122.000000,891014955.000000,,804522095.000000,,,,2143600000.000000,4073081172.000000,,,,,,,4073081172.000000,,500000000.000000,,3015358727.000000,,3515358727.000000,7588439899.000000,500.000000
12M 2022,,,479564254.000000,3714857165.000000,3714857165.000000,3714857165.000000,,,,,3254850816.000000,7449272235.000000,,3506538970.000000,7114106050.000000,18944019.000000,19198783933.000000,29838372972.000000,37287645207.000000,,,5062762358.000000,23000000.000000,1650000000.000000,1239363467.000000,231500000.000000,,,179000004.000000,179000004.000000,1739898887.000000,5062762358.000000,1652359173.000000,,1566249995.000000,1566249995.000000,86109178.000000,1652359173.000000,6715121531.000000,,30000000000.000000,,572523676.000000,,30572523676.000000,37287645207.000000,750000000.000000
12M 2023,,,403185896.000000,7589637768.000000,7589637768.000000,7589637768.000000,130666232.000000,130666232.000000,130666232.000000,5000000000.000000,7735398248.000000,20858888144.000000,,14977168535.000000,16845700241.000000,19930066.000000,29478248922.000000,61321047764.000000,82179935908.000000,,,1652436896.000000,21000000.000000,,1243181890.000000,,,,179000004.000000,179000004.000000,209255002.000000,1652436896.000000,1459841200.000000,,1387249991.000000,1387249991.000000,72591209.000000,1459841200.000000,3112278096.000000,,41203126600.000000,37176649200.000000,660222981.000000,27659031.000000,79067657812.000000,82179935908.000000,1030078165.000000
12M 2024,,,348988716.000000,8636411579.000000,8636411579.000000,8636411579.000000,,,,4394000000.000000,2526750000.000000,15906150295.000000,,24302265660.000000,16073430736.000000,2504858952.000000,16490809851.000000,59371365199.000000,75277515494.000000,,,3725815489.000000,2690000000.000000,,382657428.000000,,,,192333348.000000,192333348.000000,460824713.000000,3725815489.000000,1333219206.000000,,1231583307.000000,1231583307.000000,101635899.000000,1333219206.000000,5059034695.000000,,41203239800.000000,37177243500.000000,-8197312130.000000,35309629.000000,70218480799.000000,75277515494.000000,1030080995.000000
