Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Kepada Pemasok,Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Beban Usaha,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak,Penerimaan Pajak,Penerimaan Lainnya,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Dalam Penyelesaian,Penjualan Investasi Diperusahaan Asosiasi,Pembayaran Ke Pemegang Saham,Penambahan (Penurunan) Atas Investasi Pada Entitas Anak,Uang Muka Investasi,Hasil (Beban) Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Pinjaman,Jangka Pendek,Jangka Panjang,Total Penambahan Pinjaman,Pengurangan Pinjaman,Jangka Pendek,Jangka Panjang,Total Pengurangan Pinjaman,Penambahan (Pengurangan) Utang - Pihak Berelasi,Kenaikan (Penurunan) Modal Saham,Penurunan Modal Di Entitas Anak Dari Kepentingan Non-Pengendali,Pembayaran Dividen,Pembayaran Dividen Kepada Kepentingan Non-Pengendali Oleh Entitas Anak,Kenaikan Tambahan Modal Disetor,(Pengembalian) Tambahan Modal Disetor Lainnya,Pembayaran Pinjaman Bank,Utang Obligasi,Pembelian Kembali Pinjaman Jangka Panjang - Obligasi,Biaya Penerbitan Obligasi,Penerimaan Pinjaman Sindikasi,Pembayaran Pinjaman Sindikasi,Pembayaran Emisi Saham,Utang Sewa Pembiayaan,Peningkatan Agio Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Dampak Kehilangan Pengendalian Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-57466433592.000000,333861274335.000000,,,-244016539436.000000,-244016539436.000000,-106263339456.000000,,-31715275588.000000,-15325239509.000000,,5992686062.000000,,-57466433592.000000,-95011616855.000000,-95265363598.000000,,,,,,,253746743.000000,-95011616855.000000,236613743618.000000,,168485441821.000000,68128301797.000000,236613743618.000000,,,,,,,,,,,,,,,,,,,,,236613743618.000000,84135693171.000000,-100251145754.000000,,36903507593.000000,20788055010.000000
12M 2009,130668623250.000000,364521095769.000000,,,-120147531331.000000,-120147531331.000000,-79340407761.000000,,-37780125286.000000,,2904185657.000000,511406202.000000,,130668623250.000000,-17736527149.000000,-18196858125.000000,,,,,353750000.000000,,106580976.000000,-17736527149.000000,-118811045232.000000,,,,,,-56309757571.000000,-62501287661.000000,-118811045232.000000,,,,,,,,,,,,,,,,,-118811045232.000000,-5878949131.000000,-581222233.000000,,20788055010.000000,14327883646.000000
12M 2010,2995549571.000000,1416565285349.000000,-1384807827145.000000,,,-1384807827145.000000,,,-27634442700.000000,-1110113162.000000,,,-17352771.000000,2995549571.000000,-26203545012.000000,-26632040476.000000,,,,,,,428495464.000000,-26203545012.000000,39406629452.000000,,,77430414271.000000,77430414271.000000,,-38023784819.000000,,-38023784819.000000,,,,,,,,,,,,,,,,,39406629452.000000,16198634011.000000,-3208759397.000000,,14327883646.000000,27317758260.000000
12M 2011,41390410288.000000,2090166669987.000000,-2005043073118.000000,,,-2005043073118.000000,,,-15711073604.000000,-26246758424.000000,,,-1775354553.000000,41390410288.000000,-229132753191.000000,-231646529427.000000,,,,,,,2513776236.000000,-229132753191.000000,341189446899.000000,,33113709977.000000,,33113709977.000000,,,-123648483321.000000,-123648483321.000000,,32052541500.000000,,,,399671678743.000000,,,,,,,,,,,341189446899.000000,153447103996.000000,-3915724950.000000,,27317758260.000000,176849137306.000000
12M 2012,34993077504.000000,2545049784760.000000,-2450369404680.000000,,,-2450369404680.000000,,,-17587189383.000000,-45902749477.000000,,3802636284.000000,,34993077504.000000,-176695985785.000000,-176951440330.000000,,,,,,,255454545.000000,-176695985785.000000,155615717760.000000,,160524794649.000000,,160524794649.000000,,,-2545434100.000000,-2545434100.000000,,43763700.000000,,-3063861989.000000,,656455500.000000,,,,,,,,,,,155615717760.000000,13912809479.000000,-19217307491.000000,,176849137305.000000,171544639293.000000
12M 2013,21965680.000000,345462216.000000,,-270473541.000000,-46616478.000000,-317090019.000000,,,-4704241.000000,-4340145.000000,1455723.000000,2039995.000000,-857849.000000,21965680.000000,-14731063.000000,-7341391.000000,-4269480.000000,-3576399.000000,,,,,456207.000000,-14731063.000000,10418240.000000,,205951.000000,172605000.000000,172810951.000000,,-69585331.000000,-93605000.000000,-163190331.000000,,49852.000000,,,,747768.000000,,,,,,,,,,,10418240.000000,17652857.000000,2972348.000000,,17739854.000000,38365059.000000
12M 2014,18612889.000000,333111333.000000,,-256520660.000000,-55554259.000000,-312074919.000000,,5751374.000000,-6699800.000000,-4381588.000000,2538160.000000,1444071.000000,-1075742.000000,18612889.000000,-31547953.000000,-16675133.000000,-5776226.000000,-9177931.000000,,,,,81337.000000,-31547953.000000,99698328.000000,,8442597.000000,36927403.000000,45370000.000000,,,-28116254.000000,-28116254.000000,,6966810.000000,,-549614.000000,,76027386.000000,,,,,,,,,,,99698328.000000,86763264.000000,2703142.000000,,38365058.000000,127831464.000000
12M 2015,-26865028.000000,405751315.000000,,-355531436.000000,-65769268.000000,-421300704.000000,,3433572.000000,-7273181.000000,-7180800.000000,1592068.000000,1078758.000000,-2966056.000000,-26865028.000000,-63025347.000000,-57215191.000000,-4661740.000000,-1318887.000000,,,,,170471.000000,-63025347.000000,35016620.000000,,5476233.000000,48109027.000000,53585260.000000,,-8442597.000000,-9646191.000000,-18088788.000000,,,,-479852.000000,,,,,,,,,,,,,35016620.000000,-54873755.000000,654225.000000,,127831466.000000,73611936.000000
12M 2016,-35840726.000000,465084277.000000,,-404000156.000000,-85924866.000000,-489925022.000000,,1924800.000000,-8267766.000000,-5920637.000000,735081.000000,2507910.000000,-1979369.000000,-35840726.000000,-20852185.000000,-14001757.000000,-4563848.000000,-2377003.000000,,,,,90423.000000,-20852185.000000,64436143.000000,,10415405.000000,54327682.000000,64743087.000000,,,,,,,,-954586.000000,,647642.000000,,,,,,,,,,,64436143.000000,7743232.000000,-3001816.000000,,73611937.000000,78353353.000000
12M 2017,-21472671.000000,549255001.000000,,-466428994.000000,-94747647.000000,-561176641.000000,,2134869.000000,-10344420.000000,-6568705.000000,2379536.000000,3986457.000000,-1138768.000000,-21472671.000000,-7446409.000000,-3310584.000000,-3673573.000000,-2995269.000000,,,,,2533017.000000,-7446409.000000,31070599.000000,,56002.000000,,56002.000000,,,-14150000.000000,-14150000.000000,,,,-1353698.000000,,,,,200000000.000000,,-4457591.000000,,-148459375.000000,,-564739.000000,,31070599.000000,2151519.000000,-941797.000000,,78353353.000000,79563075.000000
