Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Beban Penyusutan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1758095115963.000000,-1563338897229.000000,194756218734.000000,-135786059248.000000,-59333561198.000000,-76452498050.000000,,-135786059248.000000,58970159486.000000,-99961379328.000000,267485914.000000,253746743.000000,-74492536551.000000,-31989023753.000000,,5998948319.000000,-99961379328.000000,-40991219842.000000,-405795251.000000,,-405795251.000000,-405795251.000000,-41397015093.000000,138564251.000000,-41258450842.000000,,,,,-41258450842.000000,-41397015093.000000,138564251.000000,,-41258450842.000000,,,,
12M 2009,1593602200888.000000,-1435854534904.000000,157747665984.000000,-112697584783.000000,-45924392259.000000,-66773192524.000000,,-112697584783.000000,45050081201.000000,-9832805753.000000,180100217.000000,106580976.000000,27329332351.000000,-37960225503.000000,,511406206.000000,-9832805753.000000,35217275448.000000,-1814518701.000000,-1660555680.000000,-153963021.000000,-1814518701.000000,33402756747.000000,-121146239.000000,33281610508.000000,,,,,33281610508.000000,33402756747.000000,-121146239.000000,,33281610508.000000,,,,
12M 2010,1428090019385.000000,-1268709998409.000000,159380020976.000000,-99708013751.000000,-40374833177.000000,-59333180574.000000,,-99708013751.000000,59672007225.000000,-15454129740.000000,757655387.000000,428495464.000000,11682501956.000000,-28392098087.000000,-941368613.000000,1010684153.000000,-15454129740.000000,44217877485.000000,-8522760233.000000,-9108040700.000000,585280467.000000,-8522760233.000000,35695117252.000000,-86668314.000000,35608448938.000000,,,,,35608448938.000000,35695117252.000000,-86668314.000000,,35608448938.000000,,,,
12M 2011,2170706640132.000000,-1919436302190.000000,251270337942.000000,-152897424009.000000,-36733395611.000000,-116164028398.000000,,-152897424009.000000,98372913933.000000,-8028714591.000000,13501880291.000000,2482699326.000000,-3915724950.000000,-29212953895.000000,-902522664.000000,10017907301.000000,-8028714591.000000,90344199342.000000,-18223689579.000000,-18844993073.000000,621303494.000000,-18223689579.000000,72120509763.000000,,72120509763.000000,-243281290.000000,-243281290.000000,-243281290.000000,71877228473.000000,72120509763.000000,72323329058.000000,-202819295.000000,,72120509763.000000,71877228473.000000,72080047768.000000,-202819295.000000,71877228473.000000
12M 2012,2698804647288.000000,-2385443683678.000000,313360963610.000000,-172241083336.000000,-37813264280.000000,-134427819056.000000,,-172241083336.000000,141119880274.000000,-31781804867.000000,15824418313.000000,-264259080.000000,-16235804875.000000,-34894964875.000000,-696980020.000000,4485785670.000000,-31781804867.000000,109338075407.000000,-18924930826.000000,-18445718562.000000,-479212264.000000,-18924930826.000000,90413144581.000000,,90413144581.000000,52114299307.000000,52114299307.000000,52114299307.000000,142527443888.000000,90413144580.000000,73656853486.000000,16756291094.000000,,90413144580.000000,142527443887.000000,125771152793.000000,16756291094.000000,142527443887.000000
12M 2013,339723836.000000,-297918384.000000,41805452.000000,-23028659.000000,-5514979.000000,-17513680.000000,,-23028659.000000,18776793.000000,-6031214.000000,469444.000000,113054.000000,-922460.000000,-5171185.000000,,-520067.000000,-6031214.000000,12745579.000000,-2296171.000000,,,-2296171.000000,10449408.000000,,10449408.000000,39352.000000,39352.000000,39352.000000,10488760.000000,10449408.000000,10552233.000000,-102825.000000,,10449408.000000,10488760.000000,10591585.000000,-102825.000000,10488760.000000
12M 2014,338529242.000000,-298971729.000000,39557513.000000,-26118866.000000,-5342867.000000,-20775999.000000,,-26118866.000000,13438647.000000,-523821.000000,,,,,,,-523821.000000,12914826.000000,-2807132.000000,,,-2807132.000000,10107694.000000,,10107694.000000,-25062.000000,-25062.000000,-25062.000000,10082632.000000,10107695.000000,10354014.000000,-246319.000000,,10107695.000000,10082632.000000,10328951.000000,-246319.000000,10082632.000000
12M 2015,418575192.000000,-364943992.000000,53631200.000000,-36490973.000000,-8495678.000000,-27995295.000000,,-36490973.000000,17140227.000000,-5645417.000000,,,,,,,-5645417.000000,11494810.000000,-2873313.000000,,,-2873313.000000,8621497.000000,,8621497.000000,1909267.000000,1909267.000000,1909267.000000,10530764.000000,8621497.000000,9386535.000000,-765038.000000,,8621497.000000,10530764.000000,11295802.000000,-765038.000000,10530764.000000
12M 2016,482204159.000000,-416944064.000000,65260095.000000,-43257737.000000,-13287618.000000,-29970119.000000,,-43257737.000000,22002358.000000,-3721194.000000,,,,-8267766.000000,,4546572.000000,-3721194.000000,18281164.000000,-4994946.000000,,,-4994946.000000,13286218.000000,,13286218.000000,-561130.000000,-561130.000000,-561130.000000,12725088.000000,13286218.000000,14580560.000000,-1294342.000000,,13286218.000000,12725088.000000,14704457.000000,-1979369.000000,12725088.000000
12M 2017,549355786.000000,-472721419.000000,76634367.000000,-48607482.000000,-17314868.000000,-31292614.000000,,-48607482.000000,28026885.000000,-17072700.000000,,,,-17644091.000000,,571391.000000,-17072700.000000,10954185.000000,-3137669.000000,,,-3137669.000000,7816516.000000,,7816516.000000,772850.000000,,772850.000000,8589366.000000,7816516.000000,9349568.000000,-1533052.000000,,7816516.000000,8589366.000000,10501486.000000,-1912120.000000,8589366.000000
