Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.00,220.55,0.00,220.55,446 B,122 B,568 B,(21 B),11 B
12M 2009,0.00,295.27,0.00,295.27,387 B,58 B,446 B,431 B,4 B
12M 2010,0.00,375.21,0.00,375.21,354 B,134 B,488 B,460 B,124 B
12M 2011,1.71,218.98,1.77,211.29,520 B,4 B,524 B,347 B,344 B
12M 2012,1.54,259.11,1.60,250.38,682 B,2 B,684 B,512 B,355 B
12M 2013,0.93,381.97,0.97,368.50,8 B,960 B,968 B,500 B,"1,449 B"
12M 2014,1.39,363.68,1.41,357.50,162 B,"1,034 B","1,196 B",(395 B),"2,621 B"
12M 2015,1.33,419.48,1.36,412.92,89 B,"1,863 B","1,952 B",936 B,"3,094 B"
12M 2016,1.05,437.10,1.08,426.79,317 B,"2,451 B","2,767 B","1,714 B","3,813 B"
12M 2017,1.16,460.67,1.19,450.02,40 B,"3,219 B","3,259 B","2,181 B","4,649 B"
12M 2018,1.03,532.05,1.05,524.78,55 B,"3,674 B","3,729 B","2,681 B","5,519 B"
12M 2019,0.93,549.38,0.95,539.66,76 B,"4,275 B","4,351 B","3,111 B","6,217 B"
12M 2020,0.41,603.89,0.41,596.40,"1,993 B","2,447 B","4,439 B","3,795 B","4,831 B"
12M 2021,0.24,646.92,0.24,640.57,"4,489 B",29 B,"4,518 B","4,003 B","2,764 B"
12M 2022,0.13,829.33,0.13,823.35,101 B,"2,673 B","2,774 B","1,492 B","9,182 B"
12M 2023,0.20,246.86,0.20,245.39,"2,397 B","2,655 B","5,052 B","4,639 B","6,785 B"
