Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,20788055010.000000,144194751590.000000,131155717473.000000,13039034117.000000,144194751590.000000,67309219047.000000,19471420168.000000,47837798879.000000,67309219047.000000,360457819827.000000,,118617407116.000000,711367252590.000000,,566000000.000000,4763610561.000000,223328550332.000000,,,12716882619.000000,241375043512.000000,952742296102.000000,,,700283860964.000000,433269350887.000000,,201608418699.000000,2141192401.000000,203749611100.000000,,39303484652.000000,390217307.000000,39693701959.000000,9687024610.000000,1545575143.000000,,,,,12338597265.000000,197719301.000000,,12338597265.000000,,700283860964.000000,153606687767.000000,,121709240045.000000,,116317513.000000,,121825557558.000000,,31781130209.000000,153606687767.000000,853890548731.000000,,44544000000.000000,19463678310.000000,34234435662.000000,6000000000.000000,28234435662.000000,34234435662.000000,411914098.000000,,98654028070.000000,952544576801.000000,445440000.000000
12M 2009,,,14327883646.000000,122239119173.000000,110876897054.000000,11362222119.000000,122239119173.000000,46986514064.000000,20330768831.000000,26655745233.000000,46986514064.000000,302135966330.000000,,111477384853.000000,597166868066.000000,,212250000.000000,4609647540.000000,206895788218.000000,,,10680691496.000000,222398377254.000000,819565245320.000000,,,593456622883.000000,352451976636.000000,,162711387422.000000,1264465468.000000,163975852890.000000,,33200841346.000000,390179057.000000,33591020403.000000,7717771467.000000,1062452451.000000,,,,,34657549036.000000,116317513.000000,,34657549036.000000,,593456622883.000000,93935520107.000000,,58458635718.000000,,,,58458635718.000000,,35476884389.000000,93935520107.000000,687392142990.000000,,44544000000.000000,19463678310.000000,67516046170.000000,6000000000.000000,61516046170.000000,67516046170.000000,533060337.000000,,132056784817.000000,819448927807.000000,445440000.000000
12M 2010,,,27317758260.000000,152218128323.000000,146967903619.000000,5250224704.000000,152218128323.000000,29249963475.000000,15386618127.000000,13863345348.000000,29249963475.000000,381527225454.000000,,81822778840.000000,672135854352.000000,,212250000.000000,5194928008.000000,201490527389.000000,,,8250546700.000000,215148252097.000000,887284106449.000000,,,547811644241.000000,316704863394.000000,,150331982211.000000,1141262640.000000,151473244851.000000,,24781767995.000000,390179057.000000,25171947052.000000,9469106604.000000,7856258914.000000,,,,,37136223426.000000,76185122.000000,,37136223426.000000,,547811644241.000000,171828661891.000000,,133509137555.000000,,92253477.000000,,133601391032.000000,,38227270859.000000,171828661891.000000,719640306132.000000,,44544000000.000000,19463678310.000000,103124495108.000000,7000000000.000000,96124495108.000000,103124495108.000000,435441777.000000,,167567615195.000000,887207921327.000000,445440000.000000
12M 2011,,,176849137305.000000,318307308067.000000,312660783343.000000,5646524724.000000,318307308067.000000,43541960846.000000,15123860965.000000,28418099881.000000,43541960846.000000,423545894066.000000,,163745191434.000000,1125989491718.000000,,212250000.000000,6158060717.000000,348591354198.000000,23570519616.000000,,10516763647.000000,389048948178.000000,1515038439896.000000,,,778796157314.000000,482409171568.000000,,216764950750.000000,1192047113.000000,217956997863.000000,,24778597302.000000,390179057.000000,25168776359.000000,10607369892.000000,11862924375.000000,,,,,30790917257.000000,3224233459.000000,,30790917257.000000,,778796157314.000000,48681609315.000000,,2115203397.000000,,2345931249.000000,,4461134646.000000,,44220474669.000000,48681609315.000000,827477766629.000000,,76596541500.000000,419135357053.000000,175447824166.000000,8000000000.000000,167447824166.000000,175447824166.000000,13399998378.000000,-243281290.000000,684336439807.000000,1511814206436.000000,3063861660.000000
12M 2012,,,171544639293.000000,508867887652.000000,508505185260.000000,362702392.000000,508867887652.000000,51094478383.000000,20083782362.000000,31010696021.000000,51094478383.000000,523193448878.000000,,229602272962.000000,1484302727168.000000,,185987752.000000,6498149194.000000,474636442299.000000,26777129310.000000,,10697196104.000000,518794904659.000000,2003097631827.000000,,,1125474034674.000000,672984152193.000000,,408003622031.000000,2062318992.000000,410065941023.000000,,16243186417.000000,463735390.000000,16706921807.000000,19013082324.000000,4749717357.000000,,,,,1954219970.000000,3456849092.000000,,1954219970.000000,,1125474034674.000000,49666507152.000000,,330636640.000000,,1747810742.000000,,2078447382.000000,,47588059770.000000,49666507152.000000,1175140541826.000000,,76640305200.000000,419791812553.000000,246040815664.000000,9000000000.000000,237040815664.000000,246040815664.000000,30156289472.000000,51871018017.000000,824500240906.000000,1999640782732.000000,3065612208.000000
12M 2013,,,38365058.000000,45254418.000000,45254418.000000,,45254418.000000,5409583.000000,5409583.000000,,5409583.000000,55645518.000000,,24976501.000000,169651078.000000,,19384.000000,1561863.000000,56820807.000000,,3408104.000000,2381271.000000,64191429.000000,233842507.000000,,,50826013.000000,,,42204469.000000,91397.000000,42295866.000000,,3372061.000000,47956.000000,3420017.000000,2793471.000000,2004158.000000,,,,,,312501.000000,,312501.000000,,50826013.000000,83959183.000000,,78451526.000000,,248076.000000,,78699602.000000,,5259581.000000,83959183.000000,134785196.000000,,23239822.000000,48590996.000000,37568713.000000,1086114.000000,36482599.000000,37568713.000000,2455711.000000,-12797936.000000,99057306.000000,233842502.000000,3084902672.000000
12M 2014,,,127831466.000000,51874076.000000,51836568.000000,37508.000000,51874076.000000,11323900.000000,4207833.000000,7116067.000000,11323900.000000,67440255.000000,,25765728.000000,284235425.000000,,19384.000000,1505179.000000,75760328.000000,,3217992.000000,1756170.000000,82259053.000000,366494478.000000,,,73311762.000000,8442597.000000,,50471724.000000,442070.000000,50913794.000000,,3046953.000000,44811.000000,3091764.000000,5171119.000000,1690488.000000,,,,,4002000.000000,270171.000000,,4002000.000000,,73311762.000000,88286268.000000,,82932426.000000,,201748.000000,,83134174.000000,,5152094.000000,88286268.000000,161598030.000000,,30206632.000000,124618382.000000,34554305.000000,1172619.000000,33381686.000000,34554305.000000,15251147.000000,-4191.000000,204626275.000000,366224305.000000,6478295611.000000
12M 2015,,,73611937.000000,65668912.000000,65668912.000000,,65668912.000000,10610284.000000,9829285.000000,780999.000000,10610284.000000,88645422.000000,,72014646.000000,310551201.000000,,19384.000000,3012058.000000,122867260.000000,,3080159.000000,3311160.000000,132290021.000000,442841222.000000,,,86301441.000000,5476233.000000,,58129252.000000,2298012.000000,60427264.000000,,9341486.000000,46743.000000,9388229.000000,7232832.000000,3282556.000000,,,,,,494327.000000,,494327.000000,,86301441.000000,140682979.000000,,134911712.000000,,109333.000000,,135021045.000000,,5661934.000000,140682979.000000,226984420.000000,,30206632.000000,124618382.000000,41266384.000000,1247627.000000,40018757.000000,41266384.000000,18865735.000000,899669.000000,215856802.000000,442841222.000000,6478295611.000000
12M 2016,,,78353353.000000,80462162.000000,80462162.000000,,80462162.000000,12265837.000000,12155918.000000,109919.000000,12265837.000000,101629921.000000,,113859750.000000,386571023.000000,,19384.000000,3260213.000000,123416244.000000,,4974090.000000,1265813.000000,132935744.000000,519506767.000000,,,102549167.000000,15891638.000000,,57875480.000000,77012.000000,57952492.000000,,6837160.000000,1310211.000000,8147371.000000,9172796.000000,3993024.000000,,,,,7223005.000000,223445.000000,,7223005.000000,168841.000000,102549167.000000,189093643.000000,,182236370.000000,,160234.000000,,182396604.000000,24613.000000,6672426.000000,189093643.000000,291642810.000000,,30206632.000000,125266024.000000,55609476.000000,1247627.000000,54361849.000000,55609476.000000,16886366.000000,-327986.000000,227640512.000000,519283322.000000,6478295611.000000
12M 2017,,,79563075.000000,95941410.000000,95623969.000000,317441.000000,95941410.000000,11346183.000000,10684292.000000,661891.000000,11346183.000000,119411680.000000,,132742971.000000,439005319.000000,,19384.000000,3640923.000000,121327766.000000,,5092664.000000,4265237.000000,134345974.000000,573351293.000000,,,95835481.000000,1797640.000000,,58062676.000000,1115257.000000,59177933.000000,,10873435.000000,1443903.000000,12317338.000000,17621875.000000,4122899.000000,,,,,,592798.000000,,592798.000000,204998.000000,95835481.000000,242719916.000000,,41000000.000000,196045616.000000,532953.000000,,237578569.000000,10592.000000,5130755.000000,242719916.000000,338555397.000000,,30206632.000000,125266024.000000,66079385.000000,1397952.000000,64681433.000000,66079385.000000,14513638.000000,-1269783.000000,234795896.000000,573351293.000000,6478295611.000000
