Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Hasil Investasi,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Klaim Reasuransi,Beban Komisi,Beban Underwriting,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,55852859679.000000,70815963990.000000,-13479531971.000000,-3914472636.000000,2430900296.000000,55852859679.000000,-53400646722.000000,-31860612433.000000,13340247930.000000,-18738134814.000000,,-14579234681.000000,-1562912724.000000,-53400646722.000000,2452212957.000000,140051823.000000,2592264780.000000,-27508020.000000,-196855100.000000,169347080.000000,-27508020.000000,2564756760.000000,,,,,2564756760.000000,2564756760.000000,,2564756760.000000,,,,
12M 2009,83518941066.000000,107783555725.000000,-20360763585.000000,-8275351546.000000,4371500472.000000,83518941066.000000,-77598061377.000000,-30816658383.000000,7374295681.000000,-29561178261.000000,,-16000483440.000000,-8594036974.000000,-77598061377.000000,5920879689.000000,1397938188.000000,7318817877.000000,-41513615.000000,-169561280.000000,128047665.000000,-41513615.000000,7277304262.000000,,,,,7277304262.000000,7277304262.000000,,7277304262.000000,,,,
12M 2010,120424541379.000000,150027950725.000000,-23911163041.000000,-9495722274.000000,3803475969.000000,120424541379.000000,-112001108767.000000,-66532768526.000000,24012564081.000000,-44506018483.000000,,-19617577836.000000,-5357308003.000000,-112001108767.000000,8423432612.000000,1222732080.000000,9646164692.000000,-233040750.000000,-381400000.000000,148359250.000000,-233040750.000000,9413123942.000000,,,,,9413123942.000000,9413123942.000000,,9413123942.000000,,,,
12M 2011,150183271977.000000,165182493076.000000,-19304041984.000000,500025357.000000,3804795528.000000,150183271977.000000,-136229684118.000000,-59353910333.000000,17948258417.000000,-66322857905.000000,,-24108396770.000000,-4392777527.000000,-136229684118.000000,13953587859.000000,1264040674.000000,15217628533.000000,-786903250.000000,-1038107000.000000,251203750.000000,-786903250.000000,14430725283.000000,-90460303.000000,-90460303.000000,-90460303.000000,14340264980.000000,14430725283.000000,14430725283.000000,,14430725283.000000,14340264980.000000,14340264980.000000,,14340264980.000000
12M 2012,185760177201.000000,215533611607.000000,-23253020859.000000,-10400766517.000000,3880352970.000000,185760177201.000000,-170116063651.000000,-65541098722.000000,15745209403.000000,-86790309317.000000,,-29219236608.000000,-4310628407.000000,-170116063651.000000,15644113550.000000,1982468250.000000,17626581800.000000,-1077870250.000000,-1641979000.000000,564108750.000000,-1077870250.000000,16548711550.000000,-1093527062.000000,-1093527062.000000,-1093527062.000000,15455184488.000000,16548711550.000000,16548711550.000000,,16548711550.000000,15455184488.000000,15455184488.000000,,15455184488.000000
12M 2013,227638960149.000000,277080167974.000000,-42485106008.000000,-12195638790.000000,5239536973.000000,227638960149.000000,-206006520439.000000,-80901604867.000000,22958787664.000000,-93927011713.000000,,-38971480065.000000,-15165211458.000000,-206006520439.000000,21632439710.000000,2251047814.000000,23883487524.000000,-2336434000.000000,-2884367250.000000,547933250.000000,-2336434000.000000,21547053524.000000,-476513097.000000,-476513097.000000,-476513097.000000,21070540427.000000,21547053524.000000,21547053524.000000,,21547053524.000000,21070540427.000000,21070540427.000000,,21070540427.000000
12M 2014,263685953050.000000,335139154414.000000,-59039528216.000000,-18198679417.000000,5785006269.000000,263685953050.000000,-241066093175.000000,-112995926333.000000,28118003631.000000,-93584823353.000000,,-50009925036.000000,-12593422084.000000,-241066093175.000000,22619859875.000000,2363883675.000000,24983743550.000000,-2781003499.000000,-3731067750.000000,950064251.000000,-2781003499.000000,22202740051.000000,738397732.000000,738397732.000000,738397732.000000,22941137783.000000,22202740051.000000,22202740051.000000,,22202740051.000000,22941137783.000000,22941137783.000000,,22941137783.000000
12M 2015,251656947088.000000,326277830482.000000,-90578279020.000000,8622079461.000000,7335316165.000000,251656947088.000000,-240693366879.000000,-133243194178.000000,25437064262.000000,-75622704777.000000,,-57716643844.000000,452111658.000000,-240693366879.000000,10963580209.000000,148603884.000000,11112184093.000000,-2971794750.000000,-3533315000.000000,561520250.000000,-2971794750.000000,8140389343.000000,8229660472.000000,8229660472.000000,8229660472.000000,16370049815.000000,8140389343.000000,8140389343.000000,,8140389343.000000,16370049815.000000,16370049815.000000,,16370049815.000000
12M 2016,224259266333.000000,328363174675.000000,-112019486113.000000,578309339.000000,7337268432.000000,224259266333.000000,-214928663098.000000,-141437051046.000000,20775565823.000000,-54409706283.000000,,-66885039237.000000,27027567645.000000,-214928663098.000000,9330603235.000000,1536502375.000000,10867105610.000000,-2670018000.000000,-3476797000.000000,806779000.000000,-2670018000.000000,8197087610.000000,118597749.000000,118597749.000000,118597749.000000,8315685359.000000,8197087610.000000,8197087610.000000,,8197087610.000000,8315685359.000000,8315685359.000000,,8315685359.000000
12M 2017,173299790263.000000,290151673518.000000,-113798125973.000000,-5836131332.000000,2782374050.000000,173299790263.000000,-215043815594.000000,-142522723247.000000,30320204692.000000,-49803703969.000000,,-65465215587.000000,12427622517.000000,-215043815594.000000,-41744025331.000000,2316392201.000000,-39427633130.000000,-1994037000.000000,-2167583750.000000,173546750.000000,-1994037000.000000,-41421670130.000000,177318508.000000,177318508.000000,177318508.000000,-41244351622.000000,-41421670130.000000,-41421670130.000000,,-41421670130.000000,-41244351622.000000,-41244351622.000000,,-41244351622.000000
12M 2018,147026255211.000000,278442540820.000000,-138463373762.000000,-1269370699.000000,8316458852.000000,147026255211.000000,-188617619589.000000,-154846277203.000000,57049332472.000000,-2694951714.000000,,-79778053280.000000,-8347669864.000000,-188617619589.000000,-41591364378.000000,14890276462.000000,-26701087916.000000,-24910000.000000,-793747000.000000,768837000.000000,-24910000.000000,-26725997916.000000,2039892221.000000,2039892221.000000,2039892221.000000,-24686105695.000000,-26725997916.000000,-26725997916.000000,,-26725997916.000000,-24686105695.000000,-24686105695.000000,,-24686105695.000000
