Period,Aset,Investasi Jangka Pendek,Deposito Berjangka,Others,Total Investasi Jangka Pendek,Kas Dan Setara Kas,Piutang Premi,Aset Reasuransi,Piutang Reasuransi,Pihak Ketiga,Pihak Berelasi,Total Piutang Reasuransi,Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Liabilitas Kontrak Asuransi,Pihak Ketiga,Pihak Berelasi,Estimasi Liabilitas Klaim,Premi Yang Belum Merupakan Pendapatan,Pihak Ketiga,Pihak Berelasi,Total Premi Yang Belum Merupakan Pendapatan,Total Liabilitas Kontrak Asuransi,Obligasi Subordinasi,Utang Reasuransi,Pihak Ketiga,Pihak Berelasi,Total Utang Reasuransi,Utang Pajak,Beban Akrual,Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,37607000000.000000,3456265872.000000,41063265872.000000,8645191323.000000,18181392151.000000,,,3704841904.000000,,3704841904.000000,373171588.000000,5506691939.000000,1407654680.000000,948824254.000000,79831033711.000000,,,7387667431.000000,20419319169.000000,,,6364315773.000000,,13904830395.000000,150173001.000000,14055003396.000000,20419319169.000000,,2890451856.000000,2890451856.000000,,2890451856.000000,408168480.000000,132563440.000000,61534285.000000,2425022223.000000,33724726884.000000,,25000000000.000000,5340000000.000000,15858575047.000000,,,15858575047.000000,-92268220.000000,46106306827.000000,79831033711.000000,500000000.000000
12M 2009,,,45894000000.000000,12845302110.000000,58739302110.000000,5576337560.000000,24313776471.000000,,,4192660157.000000,,4192660157.000000,214656273.000000,5317858806.000000,1535702345.000000,879486204.000000,100769779926.000000,,,4410009750.000000,37288707689.000000,,,14958352747.000000,,22265403798.000000,64951144.000000,22330354942.000000,37288707689.000000,,2979696575.000000,2979696575.000000,,2979696575.000000,193377567.000000,134583495.000000,43266237.000000,2934459164.000000,47984100477.000000,,25000000000.000000,5340000000.000000,23105879309.000000,,,23105879309.000000,-660199860.000000,52785679449.000000,100769779926.000000,500000000.000000
12M 2010,,,43227660000.000000,13402082741.000000,56629742741.000000,4206252968.000000,39038305799.000000,,,15899423068.000000,,15899423068.000000,199794553.000000,5682307772.000000,1684061595.000000,3209847026.000000,126549735522.000000,,,7016132154.000000,52141737966.000000,,,20315660750.000000,,31708139872.000000,117937344.000000,31826077216.000000,52141737966.000000,,5629935674.000000,5629935674.000000,,5629935674.000000,613391369.000000,92661904.000000,68531647.000000,2458988142.000000,68021378856.000000,,25000000000.000000,5340000000.000000,28989003251.000000,,,28989003251.000000,-800646585.000000,58528356666.000000,126549735522.000000,500000000.000000
12M 2011,,,51025261843.000000,13525283305.000000,64550545148.000000,3872541376.000000,47868087017.000000,,,16162734105.000000,19490207.000000,16182224312.000000,175902459.000000,7730315042.000000,1935265345.000000,2657048681.000000,144971929380.000000,,,9020167499.000000,56034490135.000000,,,24708438276.000000,,31316239775.000000,9812084.000000,31326051859.000000,56034490135.000000,,5277496605.000000,5273498850.000000,3997755.000000,5277496605.000000,989369197.000000,100248499.000000,42475129.000000,3139060670.000000,74603307734.000000,,25000000000.000000,5340000000.000000,40889728534.000000,,,40889728534.000000,-861106888.000000,70368621646.000000,144971929380.000000,500000000.000000
12M 2012,,,61934344415.000000,17042643446.000000,78976987861.000000,8269669646.000000,63116476383.000000,74446462769.000000,,15003720053.000000,40842933.000000,15044562986.000000,475938445.000000,7324094795.000000,2499374095.000000,2224485884.000000,252378052864.000000,,,6776204886.000000,145192347834.000000,,,,,,,,145192347834.000000,,11919708791.000000,11919708791.000000,,11919708791.000000,1275023706.000000,304242424.000000,65213996.000000,4171505093.000000,169704246730.000000,,25000000000.000000,5340000000.000000,54258440084.000000,,,54258440084.000000,-1924633950.000000,82673806134.000000,252378052864.000000,500000000.000000
12M 2013,,,78076948933.000000,17003381843.000000,95080330776.000000,6093642616.000000,82366106941.000000,75668725112.000000,,17513827847.000000,54355625.000000,17568183472.000000,851673601.000000,8292567462.000000,3047307345.000000,7438057568.000000,296406594893.000000,,,7466690439.000000,173775460440.000000,,,,,,,,173775460440.000000,,4828687277.000000,4828687277.000000,,4828687277.000000,2034564618.000000,486320864.000000,90259402.000000,7480265292.000000,196162248332.000000,,25000000000.000000,5340000000.000000,72275493608.000000,,,72275493608.000000,-2371147047.000000,100244346561.000000,296406594893.000000,500000000.000000
12M 2014,,,78680574875.000000,11845836931.000000,90526411806.000000,4725895425.000000,132248946693.000000,86735951048.000000,,29904277262.000000,198225278.000000,30102502540.000000,672196820.000000,8148966508.000000,3997371595.000000,8486090127.000000,365644332562.000000,,,10137428816.000000,215634787876.000000,,,,,,,,215634787876.000000,,6048779516.000000,6048779516.000000,,6048779516.000000,2041254722.000000,154200740.000000,90259402.000000,8352137147.000000,242458848219.000000,,25000000000.000000,5340000000.000000,94448233658.000000,,,94448233658.000000,-1602749315.000000,123185484343.000000,365644332562.000000,500000000.000000
12M 2015,,,20500000000.000000,10234971529.000000,30734971529.000000,104806550764.000000,141412051776.000000,127524202750.000000,,27458085288.000000,325083905.000000,27783169193.000000,672158464.000000,22807428132.000000,4558891845.000000,8291602439.000000,468591026892.000000,,,9125237609.000000,247348848465.000000,247319465812.000000,29382653.000000,,,,,,247348848465.000000,,15276904508.000000,,,15276904508.000000,638235723.000000,88363636.000000,268967845.000000,9851939842.000000,282598497628.000000,,42000000000.000000,38590000000.000000,99470066319.000000,540000000.000000,98930066319.000000,99470066319.000000,5932462945.000000,185992529264.000000,468591026892.000000,840000000.000000
12M 2016,,,20500000000.000000,15799859947.000000,36299859947.000000,53975505471.000000,222368086370.000000,77169564802.000000,9669489958.000000,,,9669489958.000000,608096238.000000,31144203789.000000,5365670845.000000,7393291153.000000,443993768573.000000,,,29291363099.000000,169388333534.000000,,,,,,,,169388333534.000000,,39810387163.000000,,,39810387163.000000,626150051.000000,145363636.000000,122429623.000000,11981526843.000000,251365553949.000000,,42000000000.000000,38590000000.000000,105987153929.000000,570000000.000000,105417153929.000000,105987153929.000000,6051060694.000000,192628214623.000000,443993768572.000000,840000000.000000
12M 2017,,,20500000000.000000,14843884805.000000,35343884805.000000,69097069379.000000,194043492960.000000,75981497712.000000,4881881738.000000,,,4881881738.000000,544111373.000000,28969276539.000000,5539217595.000000,5386420236.000000,419786852337.000000,,,20685829032.000000,161608775260.000000,,,,,,,,161608775260.000000,,21186179870.000000,,,21186179870.000000,576006787.000000,160363635.000000,120491101.000000,14905343651.000000,219242989336.000000,,42000000000.000000,38590000000.000000,63725483799.000000,600000000.000000,63125483799.000000,63725483799.000000,56228379202.000000,200543863001.000000,419786852337.000000,840000000.000000
12M 2018,,,20500000000.000000,74865050333.000000,95365050333.000000,77344564946.000000,270506948027.000000,145627860255.000000,7342042388.000000,,,7342042388.000000,3238289299.000000,18984662006.000000,6308054595.000000,3747390530.000000,628464862379.000000,,,9230749277.000000,240872178364.000000,,,,,,,,240872178364.000000,,50719873347.000000,,,50719873347.000000,400354201.000000,2744718482.000000,125991100.000000,60498827825.000000,364592692596.000000,,147000000000.000000,79565500000.000000,37592966906.000000,600000000.000000,36992966906.000000,37592966906.000000,-286297123.000000,263872169783.000000,628464862379.000000,2940000000.000000
12M 2019,,,47806560000.000000,80693848823.000000,128500408823.000000,4673514281.000000,215436596192.000000,151514051486.000000,46824086377.000000,,,46824086377.000000,5014460320.000000,17524577087.000000,5584494075.000000,7164055385.000000,582236244026.000000,,,17530587427.000000,261156603409.000000,,,,,,,,261156603409.000000,,102382764540.000000,,,102382764540.000000,315951567.000000,7547482792.000000,1641885982.000000,42736113806.000000,433311389523.000000,,147000000000.000000,79565500000.000000,-77859726959.000000,600000000.000000,-78459726959.000000,-77859726959.000000,219081462.000000,148924854503.000000,582236244026.000000,2940000000.000000
12M 2020,,,66430188350.000000,72774487333.000000,139204675683.000000,13411780777.000000,170691527628.000000,232866188621.000000,17320897669.000000,,,17320897669.000000,1918846811.000000,19736077839.000000,5653767087.000000,11543305273.000000,612347067388.000000,,,917458433.000000,357255433174.000000,,,,,,,,357255433174.000000,,61983836208.000000,,,61983836208.000000,787946735.000000,2939358860.000000,4104150928.000000,44187484023.000000,472175668361.000000,,147000000000.000000,79565500000.000000,-92419188031.000000,600000000.000000,-93019188031.000000,-92419188031.000000,6025087058.000000,140171399027.000000,612347067388.000000,2940000000.000000
12M 2021,,,131782819100.000000,71826046641.000000,203608865741.000000,5516122743.000000,109916556809.000000,295545688046.000000,24590287744.000000,,,24590287744.000000,2432026722.000000,9824717149.000000,3993108509.000000,11476389145.000000,666903762608.000000,,,2256894624.000000,429924220190.000000,,,,,,,,429924220190.000000,25000000000.000000,31984989417.000000,,,31984989417.000000,2500396835.000000,3184437191.000000,13681648069.000000,36234955924.000000,544767542250.000000,,147000000000.000000,79565500000.000000,-111605765972.000000,600000000.000000,-112205765972.000000,-111605765972.000000,7176486330.000000,122136220358.000000,666903762608.000000,2940000000.000000
12M 2022,,,135052400000.000000,66516871946.000000,201569271946.000000,12997982539.000000,98637749374.000000,478006031302.000000,118734669434.000000,,,118734669434.000000,2213172078.000000,8910690968.000000,4570411799.000000,7639468613.000000,933279448053.000000,,,4264053598.000000,652624526916.000000,,,,,,,,652624526916.000000,,26814718185.000000,,,26814718185.000000,1139817646.000000,5911759672.000000,8425279896.000000,24032028854.000000,723212184767.000000,,245000000000.000000,78178625152.000000,-119075149179.000000,600000000.000000,-119675149179.000000,-119075149179.000000,5963787313.000000,210067263286.000000,933279448053.000000,4900000000.000000
12M 2023,,,192473600000.000000,66388099254.000000,258861699254.000000,12798662310.000000,88140102378.000000,489264041171.000000,108578539530.000000,,,108578539530.000000,11894234320.000000,7001221183.000000,8155556756.000000,12805006363.000000,997499063265.000000,,,3745550803.000000,699587304849.000000,,,,,,,,699587304849.000000,30000000000.000000,19251935912.000000,,,19251935912.000000,1329543555.000000,1153784838.000000,260894203.000000,26190937384.000000,781519951544.000000,,245000000000.000000,78178625152.000000,-114096417808.000000,600000000.000000,-114696417808.000000,-114096417808.000000,6896904377.000000,215979111721.000000,997499063265.000000,4900000000.000000
12M 2024,,,203611360000.000000,66757663330.000000,270369023330.000000,13573987974.000000,133963974506.000000,494390232870.000000,122493644591.000000,,,122493644591.000000,903460822.000000,6049755789.000000,10566223506.000000,18718869468.000000,1071029172856.000000,,,1793209592.000000,706262623887.000000,,,,,,,,706262623887.000000,30000000000.000000,82742377751.000000,,,82742377751.000000,1487459731.000000,810130122.000000,138858033.000000,24503467048.000000,847738126164.000000,,245000000000.000000,78178625152.000000,-107158974111.000000,725991100.000000,-107884965211.000000,-107158974111.000000,7271395651.000000,223291046692.000000,1071029172856.000000,4900000000.000000
